time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0
2001.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0
2002.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0
2003.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0
2004.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0
2005.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0
2006.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0
2007.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0
2008.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0
2009.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0
2010.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0
2011.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0
2012.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0
2013.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0
2014.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0
2015.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0
2016.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0
2017.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0
2018.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0
2019.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0
2020.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0
2021.0,727121000000.0,725523600000.0,717216000000.0,716221250000.0,715650300000.0
2022.0,721253000000.0,705317100000.0,706736800000.0,698650200000.0,711985200000.0
2023.0,713813800000.0,687882000000.0,690967600000.0,689793300000.0,703864640000.0
2024.0,695985440000.0,673632350000.0,679282800000.0,676572230000.0,679230960000.0
2025.0,686812700000.0,653867900000.0,666979300000.0,673502860000.0,665094650000.0
2026.0,665284640000.0,642803100000.0,655100000000.0,655397200000.0,639551100000.0
2027.0,653206400000.0,624798660000.0,630409500000.0,638880400000.0,615911700000.0
2028.0,637717300000.0,613713000000.0,606576700000.0,620905300000.0,590127240000.0
2029.0,612433200000.0,599796740000.0,590984640000.0,604789800000.0,575401000000.0
2030.0,594979650000.0,596831700000.0,582386700000.0,576015760000.0,555526000000.0
2031.0,589556800000.0,594863850000.0,568504350000.0,556290700000.0,541489760000.0
2032.0,580560160000.0,584725000000.0,555952700000.0,534815050000.0,531567150000.0
2033.0,576562000000.0,574950500000.0,538339970000.0,512861140000.0,512772900000.0
2034.0,566850300000.0,563461750000.0,527786540000.0,510973800000.0,498936020000.0
2035.0,556960200000.0,546352700000.0,513303600000.0,500350000000.0,475983600000.0
2036.0,554036560000.0,527970900000.0,496577800000.0,479122460000.0,460590350000.0
2037.0,543252450000.0,522774940000.0,479530780000.0,465612300000.0,440442320000.0
2038.0,537783800000.0,513052200000.0,464635820000.0,448310080000.0,420416700000.0
2039.0,525650820000.0,507694840000.0,451786800000.0,430128460000.0,404411840000.0
2040.0,515113880000.0,501824980000.0,428656160000.0,421172250000.0,387621500000.0
2041.0,517879200000.0,497144800000.0,413847880000.0,403190580000.0,360407040000.0
2042.0,516694640000.0,497441180000.0,395566650000.0,396012160000.0,350778820000.0
2043.0,508407600000.0,496320050000.0,396023900000.0,381512220000.0,335185840000.0
2044.0,504069300000.0,488819430000.0,389039060000.0,383270700000.0,332821600000.0
2045.0,507093250000.0,481959670000.0,377057480000.0,371532230000.0,325527470000.0
2046.0,501165000000.0,470872060000.0,372084300000.0,355112550000.0,316762520000.0
2047.0,489086600000.0,459685760000.0,361891000000.0,357310960000.0,305421650000.0
2048.0,474432370000.0,456454540000.0,350335270000.0,350856640000.0,296574200000.0
2049.0,467586600000.0,453806720000.0,346173180000.0,343821120000.0,289867040000.0
2050.0,461107920000.0,450573000000.0,341220700000.0,336610720000.0,276348400000.0
2051.0,450961740000.0,439647270000.0,336748350000.0,318190420000.0,270434290000.0
2052.0,449008070000.0,432527280000.0,334625770000.0,308043380000.0,264684580000.0
2053.0,433199480000.0,430428980000.0,326611960000.0,303504400000.0,258078690000.0
2054.0,422705900000.0,426445080000.0,324030530000.0,297369470000.0,250139570000.0
2055.0,411834250000.0,414761900000.0,319581650000.0,298325970000.0,244488200000.0
2056.0,408624400000.0,409989250000.0,315788130000.0,300910970000.0,239217260000.0
2057.0,402853170000.0,409087540000.0,313974460000.0,296247070000.0,231712740000.0
2058.0,396386930000.0,393952720000.0,307417900000.0,292378570000.0,224082180000.0
2059.0,397795720000.0,388310400000.0,305825870000.0,290543340000.0,217177420000.0
2060.0,392293500000.0,382348660000.0,300036850000.0,281706230000.0,212837320000.0
2061.0,387915100000.0,373834550000.0,297706300000.0,272992670000.0,208742220000.0
2062.0,390805950000.0,369018630000.0,299735300000.0,270563720000.0,203070820000.0
2063.0,394900470000.0,362184280000.0,299416700000.0,269837100000.0,203584130000.0
2064.0,387511120000.0,355971630000.0,293184050000.0,259919970000.0,199854640000.0
2065.0,383272520000.0,346913800000.0,291500100000.0,257139460000.0,193910400000.0
2066.0,379462600000.0,341082300000.0,292223800000.0,250635800000.0,193739130000.0
2067.0,379351270000.0,335653400000.0,288142360000.0,246221290000.0,185842060000.0
2068.0,376790970000.0,326778850000.0,281374330000.0,249232180000.0,179473860000.0
2069.0,378285950000.0,318512730000.0,283611230000.0,254845620000.0,177447140000.0
2070.0,377260540000.0,315611100000.0,275016800000.0,260751790000.0,176583870000.0
2071.0,373126140000.0,312810770000.0,273735470000.0,256075530000.0,175269790000.0
2072.0,371531740000.0,302814860000.0,274112000000.0,251807650000.0,174669710000.0
2073.0,371813450000.0,301426400000.0,266172840000.0,249708600000.0,172036690000.0
2074.0,372648200000.0,295728680000.0,263631750000.0,250148400000.0,169553900000.0
2075.0,369913560000.0,294071600000.0,263311310000.0,245383580000.0,171544800000.0
2076.0,369385240000.0,289373600000.0,262729910000.0,238737600000.0,173901740000.0
2077.0,373036060000.0,292138800000.0,259180050000.0,238957260000.0,171885700000.0
2078.0,363854430000.0,298443300000.0,257018970000.0,235832380000.0,173809010000.0
2079.0,363732430000.0,297661170000.0,261084630000.0,234282430000.0,169120240000.0
2080.0,357607900000.0,293636100000.0,260219930000.0,235135390000.0,163952350000.0
2081.0,357824430000.0,293284540000.0,258336470000.0,233515240000.0,163023260000.0
2082.0,357836520000.0,290498480000.0,262621100000.0,228539740000.0,162464650000.0
2083.0,363456140000.0,284014940000.0,262203770000.0,223111610000.0,159808000000.0
2084.0,363903780000.0,280905580000.0,263728320000.0,221113960000.0,157306620000.0
2085.0,361489470000.0,276202550000.0,265374350000.0,217197940000.0,153032110000.0
2086.0,363640360000.0,276688600000.0,265193050000.0,218844200000.0,151318940000.0
2087.0,363595270000.0,274080140000.0,262182140000.0,220675160000.0,147706790000.0
2088.0,358370640000.0,274229170000.0,269972550000.0,215420130000.0,143697040000.0
2089.0,356962040000.0,273926930000.0,271685270000.0,210836930000.0,143584430000.0
2090.0,364474370000.0,271788740000.0,271693190000.0,209519740000.0,147091260000.0
2091.0,374236150000.0,271247200000.0,269736690000.0,209334240000.0,146468100000.0
2092.0,371562740000.0,265773600000.0,270524090000.0,211062650000.0,146619810000.0
2093.0,375107260000.0,270217270000.0,269930150000.0,208465330000.0,148211250000.0
2094.0,383344080000.0,269631930000.0,270434400000.0,209214620000.0,149758570000.0
2095.0,380763670000.0,272009170000.0,264027980000.0,212958300000.0,154243150000.0
2096.0,383268420000.0,281330220000.0,263452670000.0,218874330000.0,157182250000.0
2097.0,375822060000.0,282143420000.0,267518250000.0,222263050000.0,160182260000.0
2098.0,373088900000.0,282794330000.0,264708230000.0,223257840000.0,159167560000.0
2099.0,373615030000.0,280817930000.0,261640930000.0,225451000000.0,158630080000.0
2100.0,373602220000.0,278840440000.0,266953770000.0,222376130000.0,159191300000.0
