time,IPSL-CM6A-LR,MRI-ESM2-0,INM-CM5-0,CAMS-CSM1-0,CANESM5,CESM2,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,INM-CM4-8,ACCESS-ESM1-5,EC-EARTH3
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
2019.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0
2020.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0
2021.0,8089774300000.0,8077966000000.0,8099569000000.0,8104472000000.0,8099419000000.0,8103708300000.0,8110322000000.0,8107654600000.0,8103245000000.0,8105156000000.0,8108504500000.0,8115768500000.0,8100996000000.0,8087724000000.0,8100230700000.0,8100895000000.0,8096985000000.0
2022.0,8056242000000.0,8034552000000.0,8053940000000.0,8080924000000.0,8060340000000.0,8065392000000.0,8077398500000.0,8072740700000.0,8056735000000.0,8065450000000.0,8067773000000.0,8071491400000.0,8047102000000.0,8052222700000.0,8061976600000.0,8064048000000.0,8025322000000.0
2023.0,8008930000000.0,7988322500000.0,8003591300000.0,8050371000000.0,7995307600000.0,8027699700000.0,8040190000000.0,8045604600000.0,8040751300000.0,8027998000000.0,8011946000000.0,8024303000000.0,8015381500000.0,8004171700000.0,8027682400000.0,8015256000000.0,7965513400000.0
2024.0,7973160000000.0,7950924000000.0,7961454000000.0,8013420700000.0,7957629000000.0,7991450000000.0,8012007000000.0,8021944000000.0,8007953000000.0,7992318600000.0,7959157400000.0,7993947000000.0,7992402500000.0,7979368700000.0,7990122400000.0,7990044300000.0,7913932300000.0
2025.0,7934107000000.0,7884748000000.0,7912367300000.0,7981980700000.0,7897245000000.0,7964178000000.0,7995056500000.0,7991456000000.0,7975170000000.0,7947394500000.0,7918506700000.0,7964623000000.0,7945140000000.0,7941726400000.0,7949611000000.0,7955957000000.0,7857595500000.0
2026.0,7891220000000.0,7826533000000.0,7889168600000.0,7947681300000.0,7843745000000.0,7928742400000.0,7965763400000.0,7950668000000.0,7933689000000.0,7901861000000.0,7887803400000.0,7920073300000.0,7894821500000.0,7906907000000.0,7907513500000.0,7916025300000.0,7811213300000.0
2027.0,7833418500000.0,7757215000000.0,7841822000000.0,7915683400000.0,7807633000000.0,7914084000000.0,7926499000000.0,7898910400000.0,7908761000000.0,7870837400000.0,7845244000000.0,7896264000000.0,7822079000000.0,7861831700000.0,7867512000000.0,7863012400000.0,7752649300000.0
