time,CESM2-WACCM,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0
2001.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0
2002.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0
2003.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0
2004.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0
2005.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0
2006.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0
2007.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0
2008.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0
2009.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0
2010.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0
2011.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0
2012.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0
2013.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0
2014.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0
2015.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0
2016.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0
2017.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0
2018.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0
2019.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0
2020.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0
2021.0,8120560500000.0,8100055600000.0,8123675300000.0,8113451000000.0
2022.0,8094753500000.0,8053411300000.0,8073119300000.0,8086434600000.0
2023.0,8061700000000.0,8000746000000.0,8024471000000.0,8039588400000.0
2024.0,8029658400000.0,7947363000000.0,7998877500000.0,7998914000000.0
2025.0,7982901400000.0,7870655500000.0,7954662000000.0,7957292000000.0
2026.0,7944136600000.0,7837205400000.0,7901821000000.0,7913717400000.0
2027.0,7905649600000.0,7790406000000.0,7862626000000.0,7870896000000.0
2028.0,7876261700000.0,7719314500000.0,7821143300000.0,7829408000000.0
2029.0,7850756000000.0,7655036300000.0,7771618500000.0,7792291000000.0
2030.0,7809807700000.0,7606054700000.0,7724993000000.0,7758906000000.0
2031.0,7779211000000.0,7555288400000.0,7688426600000.0,7735755700000.0
2032.0,7747411000000.0,7513243000000.0,7630117400000.0,7696799500000.0
2033.0,7687035000000.0,7430677700000.0,7596570000000.0,7654830000000.0
2034.0,7631615000000.0,7365923400000.0,7545552000000.0,7602349000000.0
2035.0,7570115000000.0,7311753000000.0,7500248000000.0,7553655000000.0
2036.0,7494090000000.0,7236490400000.0,7454221000000.0,7513185500000.0
2037.0,7444401000000.0,7174438000000.0,7410930400000.0,7458178000000.0
2038.0,7381403000000.0,7096664300000.0,7352199700000.0,7404430000000.0
2039.0,7312313000000.0,7021775600000.0,7318449000000.0,7352140000000.0
2040.0,7230713000000.0,6958228700000.0,7271923000000.0,7314953700000.0
2041.0,7149697000000.0,6891869000000.0,7216002000000.0,7255389000000.0
2042.0,7089997000000.0,6794870000000.0,7165912300000.0,7199306300000.0
2043.0,7023138000000.0,6701664000000.0,7089507000000.0,7118185300000.0
2044.0,6945857000000.0,6621548000000.0,7015121000000.0,7056850400000.0
2045.0,6868757400000.0,6546684600000.0,6967448000000.0,6992429000000.0
2046.0,6805491000000.0,6471805300000.0,6911404500000.0,6911442300000.0
2047.0,6743773000000.0,6394234300000.0,6841881300000.0,6845196400000.0
2048.0,6683226500000.0,6295779000000.0,6762302000000.0,6773048600000.0
2049.0,6605387600000.0,6215722600000.0,6686862500000.0,6704584000000.0
2050.0,6511675000000.0,6122675000000.0,6619793500000.0,6622982000000.0
2051.0,6442812000000.0,6037545000000.0,6558640500000.0,6550590000000.0
2052.0,6365781000000.0,5950048000000.0,6482994000000.0,6475226300000.0
2053.0,6291512000000.0,5864007700000.0,6417055000000.0,6384611500000.0
2054.0,6219447000000.0,5757998700000.0,6331757000000.0,6293947400000.0
2055.0,6135715000000.0,5673975300000.0,6241404300000.0,6213044000000.0
2056.0,6051404000000.0,5581767000000.0,6156926300000.0,6139203300000.0
2057.0,5969452000000.0,5503282300000.0,6086859000000.0,6064837000000.0
2058.0,5879592000000.0,5425908000000.0,6004483000000.0,5986164000000.0
2059.0,5791845000000.0,5346300500000.0,5911977400000.0,5905477000000.0
2060.0,5700221000000.0,5263136000000.0,5827797700000.0,5844230500000.0
2061.0,5608418000000.0,5161126000000.0,5739754000000.0,5758948700000.0
2062.0,5531667000000.0,5056519700000.0,5660251000000.0,5692688700000.0
2063.0,5449405000000.0,4959164700000.0,5558977400000.0,5617017000000.0
2064.0,5371664500000.0,4872009000000.0,5469180500000.0,5532408000000.0
2065.0,5280553000000.0,4806019600000.0,5381864000000.0,5456690400000.0
2066.0,5199793000000.0,4710023600000.0,5283220300000.0,5379890600000.0
2067.0,5125832700000.0,4647736000000.0,5182526600000.0,5312461400000.0
2068.0,5045558400000.0,4569322000000.0,5081144000000.0,5262304000000.0
2069.0,4972416600000.0,4476213000000.0,4982149000000.0,5210135600000.0
2070.0,4897519400000.0,4396354400000.0,4884484000000.0,5143905000000.0
2071.0,4844794000000.0,4322033400000.0,4770503000000.0,5082081000000.0
2072.0,4779646000000.0,4247445000000.0,4692472000000.0,4999516500000.0
2073.0,4718222000000.0,4154417700000.0,4597082500000.0,4944021700000.0
2074.0,4640361000000.0,4090054000000.0,4524127000000.0,4871869000000.0
2075.0,4575145000000.0,4016321600000.0,4439643500000.0,4801203500000.0
2076.0,4502610500000.0,3935058500000.0,4306802300000.0,4751947700000.0
2077.0,4454718400000.0,3847281400000.0,4224680500000.0,4692848000000.0
2078.0,4384976800000.0,3782854000000.0,4124248400000.0,4645572300000.0
2079.0,4316332800000.0,3716521700000.0,4020169000000.0,4596534600000.0
2080.0,4249596200000.0,3644940400000.0,3918586000000.0,4545509000000.0
2081.0,4188271300000.0,3570883600000.0,3844455800000.0,4479674000000.0
