time,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0
2001.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0
2002.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0
2003.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0
2004.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0
2005.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0
2006.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0
2007.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0
2008.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0
2009.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0
2010.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0
2011.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0
2012.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0
2013.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0
2014.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0
2015.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0
2016.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0
2017.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0
2018.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0
2019.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0
2020.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0
2021.0,8123451000000.0,8102679700000.0,8126232000000.0,8100353000000.0
2022.0,8088025000000.0,8049876500000.0,8102915600000.0,8071214000000.0
2023.0,8071529600000.0,8007790400000.0,8071568400000.0,8023708000000.0
2024.0,8054235500000.0,7946120000000.0,8040399500000.0,7969960000000.0
2025.0,8015810400000.0,7892199500000.0,7999573700000.0,7902924400000.0
2026.0,7998833000000.0,7841000700000.0,7966134000000.0,7856726700000.0
2027.0,7975092000000.0,7786263500000.0,7915869600000.0,7809689000000.0
2028.0,7948818400000.0,7725453400000.0,7892069000000.0,7748137000000.0
2029.0,7932015500000.0,7664846000000.0,7853106500000.0,7704831600000.0
2030.0,7898098300000.0,7596005700000.0,7808760000000.0,7654112000000.0
2031.0,7863306600000.0,7517480000000.0,7776127400000.0,7621912000000.0
2032.0,7833986300000.0,7457774000000.0,7740883700000.0,7577237000000.0
2033.0,7802257000000.0,7384609600000.0,7707959000000.0,7534568500000.0
2034.0,7755171000000.0,7314860000000.0,7683707500000.0,7497959600000.0
2035.0,7707515000000.0,7232614000000.0,7666190000000.0,7452602400000.0
2036.0,7654812000000.0,7148034000000.0,7634642000000.0,7410325000000.0
2037.0,7633546000000.0,7065975700000.0,7601710400000.0,7376156500000.0
2038.0,7592972600000.0,6985507400000.0,7567638000000.0,7339003000000.0
2039.0,7554495000000.0,6913883000000.0,7519566600000.0,7327647300000.0
2040.0,7503192500000.0,6834650000000.0,7474614600000.0,7293528000000.0
2041.0,7458050000000.0,6750129400000.0,7430466400000.0,7258449000000.0
2042.0,7414140600000.0,6691464700000.0,7381996500000.0,7215233000000.0
2043.0,7377248600000.0,6639241000000.0,7358462300000.0,7197887600000.0
2044.0,7340681600000.0,6582045000000.0,7322570600000.0,7175251400000.0
2045.0,7317225500000.0,6519763000000.0,7287644000000.0,7139368600000.0
2046.0,7278730700000.0,6451083000000.0,7244404500000.0,7120411000000.0
2047.0,7230791400000.0,6385573600000.0,7210306000000.0,7091427000000.0
2048.0,7188915000000.0,6340474300000.0,7180793700000.0,7052389000000.0
2049.0,7150577000000.0,6273211000000.0,7148371000000.0,7016886600000.0
2050.0,7118916000000.0,6214465400000.0,7110552700000.0,6991330700000.0
2051.0,7086369400000.0,6160192600000.0,7087405000000.0,6958138500000.0
2052.0,7060107000000.0,6101553000000.0,7054802000000.0,6916214000000.0
2053.0,7033971500000.0,6036588000000.0,7006619000000.0,6870411000000.0
2054.0,6991888000000.0,5986620000000.0,6986706500000.0,6843308000000.0
2055.0,6942367400000.0,5936330000000.0,6977988000000.0,6797890400000.0
2056.0,6894018000000.0,5868568400000.0,6939902000000.0,6755125300000.0
2057.0,6859188600000.0,5812312000000.0,6907025000000.0,6705585000000.0
2058.0,6828751600000.0,5764841000000.0,6879778400000.0,6677131700000.0
2059.0,6800046000000.0,5726016600000.0,6850300000000.0,6639031700000.0
2060.0,6758149000000.0,5685475500000.0,6799461700000.0,6605350000000.0
2061.0,6721611000000.0,5641301000000.0,6765614700000.0,6559962000000.0
2062.0,6676858500000.0,5614972400000.0,6719450600000.0,6513230300000.0
2063.0,6643507500000.0,5561176000000.0,6675223000000.0,6465219700000.0
2064.0,6620595600000.0,5507844700000.0,6639794000000.0,6427741500000.0
2065.0,6592667300000.0,5475436000000.0,6598324400000.0,6380597500000.0
2066.0,6542635600000.0,5446845300000.0,6566608600000.0,6342362300000.0
2067.0,6504758000000.0,5409919700000.0,6543090600000.0,6300750000000.0
2068.0,6462181000000.0,5366486700000.0,6501393500000.0,6258545000000.0
2069.0,6428373000000.0,5338732400000.0,6476633000000.0,6214233600000.0
2070.0,6363159000000.0,5302371500000.0,6438815500000.0,6174566000000.0
2071.0,6340504000000.0,5284161400000.0,6389380000000.0,6140825000000.0
2072.0,6310332000000.0,5251073600000.0,6356352400000.0,6095135300000.0
2073.0,6272980000000.0,5218623300000.0,6333681000000.0,6058549000000.0
2074.0,6245516000000.0,5182983000000.0,6294216400000.0,6005299600000.0
2075.0,6214589000000.0,5157240000000.0,6241163700000.0,5965547600000.0
2076.0,6192102000000.0,5126018000000.0,6199088000000.0,5924285000000.0
2077.0,6156688000000.0,5074120600000.0,6171623000000.0,5880146300000.0
2078.0,6130570000000.0,5038704400000.0,6141623000000.0,5841499500000.0
2079.0,6095008000000.0,5003251000000.0,6099099500000.0,5812517000000.0
2080.0,6081861000000.0,4974051300000.0,6068871600000.0,5755060600000.0
2081.0,6042225700000.0,4934010000000.0,6044229000000.0,5703000000000.0
