time,IPSL-CM6A-LR,ACCESS-ESM1-5,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,GFDL-ESM4,CESM2,EC-EARTH3,FGOALS-F3-L,BCC-CSM2-MR,CANESM5,MPI-ESM1-2-HR,ACCESS-CM2,INM-CM4-8,INM-CM5-0,NORESM2-MM
2032.0,7610705000000.0,7671175400000.0,7655139000000.0,7710529000000.0,7578973600000.0,7482557000000.0,7744701600000.0,7711477500000.0,7438938000000.0,7699084300000.0,7755484000000.0,7507209600000.0,7759706700000.0,7689235600000.0,7667260000000.0,7631909400000.0,7682941500000.0
2033.0,7552550600000.0,7621397000000.0,7623155000000.0,7669141000000.0,7524609700000.0,7427711000000.0,7714339600000.0,7651679000000.0,7386897600000.0,7657282000000.0,7697894700000.0,7425735000000.0,7733720000000.0,7640611600000.0,7615133000000.0,7595449000000.0,7641305000000.0
2034.0,7509227600000.0,7586270700000.0,7580732600000.0,7635526500000.0,7469412600000.0,7372333000000.0,7681195000000.0,7604336000000.0,7311943000000.0,7620056300000.0,7659354300000.0,7367665600000.0,7688624000000.0,7580960700000.0,7563082500000.0,7545001300000.0,7588462700000.0
2035.0,7448648000000.0,7524618600000.0,7546120000000.0,7602406700000.0,7418230000000.0,7318765300000.0,7645599600000.0,7549448400000.0,7241935000000.0,7584837300000.0,7610281500000.0,7303639600000.0,7639100600000.0,7531917000000.0,7520770000000.0,7498632300000.0,7544914000000.0
2036.0,7398461000000.0,7479755300000.0,7508722000000.0,7573595000000.0,7341588000000.0,7291436300000.0,7607177700000.0,7502311700000.0,7175926700000.0,7551165400000.0,7566593000000.0,7211072400000.0,7597230000000.0,7491451000000.0,7476176000000.0,7450010000000.0,7496696600000.0
2037.0,7363458000000.0,7448733700000.0,7483055000000.0,7565216300000.0,7261785000000.0,7243733400000.0,7568818700000.0,7467562000000.0,7108296000000.0,7508972300000.0,7504004000000.0,7106794600000.0,7564195500000.0,7446931700000.0,7436817000000.0,7408521000000.0,7445441700000.0
2038.0,7321867500000.0,7430697600000.0,7458010000000.0,7523694300000.0,7201904700000.0,7194608000000.0,7523069300000.0,7402364000000.0,7040376000000.0,7464548000000.0,7430651500000.0,7037105000000.0,7524788500000.0,7392551500000.0,7395423000000.0,7370412400000.0,7377761000000.0
2039.0,7281017000000.0,7387020300000.0,7440094000000.0,7494284300000.0,7150371300000.0,7133530000000.0,7483826000000.0,7322140000000.0,6969088000000.0,7416314300000.0,7395489000000.0,6969385000000.0,7474777700000.0,7338205400000.0,7344242600000.0,7340615000000.0,7327064000000.0
2040.0,7227972000000.0,7349418300000.0,7395663000000.0,7464574500000.0,7095895000000.0,7076503000000.0,7433186400000.0,7260684000000.0,6904064500000.0,7381309700000.0,7361985500000.0,6903861000000.0,7437121000000.0,7288336000000.0,7311363000000.0,7295438700000.0,7281846000000.0
2041.0,7168386400000.0,7285485000000.0,7368197000000.0,7407764000000.0,7018932000000.0,7043333000000.0,7386666000000.0,7209108000000.0,6830649000000.0,7326091700000.0,7331606000000.0,6818746600000.0,7395205400000.0,7247815500000.0,7267812400000.0,7265423000000.0,7216557500000.0
