time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CANESM2,GFDL-CM3,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-ESM2G,IPSL-CM5A-LR,CESM1-CAM5
2000.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0
2001.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0
2002.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0
2003.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0
2004.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0
2005.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0
2006.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0
2007.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0
2008.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0
2009.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0
2010.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0
2011.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0
2012.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0
2013.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0
2014.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0
2015.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0
2016.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0
2017.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0
2018.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0
2019.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0
2020.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0
2021.0,2281577200.0,2356893000.0,2306319400.0,2313347800.0,2279182600.0,2347419000.0,2351302700.0,2299974100.0,2393945600.0,2316313600.0,2390144300.0
2022.0,2257645000.0,2323795000.0,2329796600.0,2273926400.0,2271842600.0,2328205300.0,2322946600.0,2352183800.0,2325804000.0,2268913700.0,2308473300.0
2023.0,2237509000.0,2248778800.0,2315672600.0,2307432000.0,2235764000.0,2331240200.0,2260278500.0,2257656800.0,2342672400.0,2277832400.0,2258163200.0
2024.0,2213352700.0,2224492500.0,2255021800.0,2252808000.0,2196877300.0,2267071000.0,2278011600.0,2290428000.0,2279978500.0,2226074600.0,2265390600.0
2025.0,2172391700.0,2202028000.0,2295839200.0,2220312300.0,2168740000.0,2249727000.0,2261422000.0,2240259000.0,2242087700.0,2263869700.0,2206774500.0
2026.0,2178926600.0,2188292600.0,2286224400.0,2190020000.0,2125247100.0,2218383000.0,2241547000.0,2315364000.0,2216528400.0,2203772000.0,2184726800.0
2027.0,2101685100.0,2137192000.0,2288939800.0,2147683800.0,2079366900.0,2176325600.0,2241537000.0,2220335900.0,2191294000.0,2141291600.0,2161388300.0
2028.0,2103317200.0,2123819600.0,2224936700.0,2116070100.0,2030195100.0,2139885200.0,2203621000.0,2163520800.0,2182202000.0,2127607200.0,2121270800.0
2029.0,2045885200.0,2214368800.0,2182468900.0,2105177900.0,1972368000.0,2172911900.0,2152859400.0,2109126100.0,2156045600.0,2095366100.0,2104208600.0
2030.0,2017167000.0,2134615200.0,2144383100.0,2061674100.0,1919623700.0,2123075700.0,2094320900.0,2052679700.0,2168290300.0,2042923000.0,2207989200.0
2031.0,1990832300.0,2104064500.0,2095650300.0,2067777300.0,1877084900.0,2098518800.0,2103514600.0,2046809700.0,2121667100.0,2000629900.0,2054837600.0
2032.0,1946159200.0,2079147400.0,2054086900.0,2005735600.0,1819882500.0,2066154000.0,2064378800.0,2056571300.0,2112577700.0,1994209700.0,2012443400.0
2033.0,1932778600.0,2029361900.0,2020390500.0,1988425100.0,1768609400.0,2011210500.0,2017401700.0,2040696200.0,2063187100.0,1935536300.0,1952965600.0
2034.0,1878137900.0,1987676900.0,2017899100.0,1941845000.0,1699080400.0,1985095600.0,2004673300.0,1966082300.0,2041320800.0,1943905500.0,2023495700.0
2035.0,1858055800.0,1952313100.0,1992252900.0,1897174900.0,1652805200.0,1975342000.0,1945687000.0,1918750300.0,1995162600.0,1826819300.0,1921197000.0
2036.0,1821103200.0,1906361000.0,1967540000.0,1872674300.0,1632187800.0,1915868900.0,1957222400.0,1905283500.0,1963475500.0,1774219600.0,1866776600.0
2037.0,1798259100.0,1878777700.0,1954333700.0,1818522600.0,1561839200.0,1879942900.0,1891949700.0,1828466800.0,2000028400.0,1716031000.0,1820393200.0
2038.0,1780051500.0,1850070000.0,1889092700.0,1771031300.0,1490815100.0,1851114600.0,1906481500.0,1770944300.0,1981412100.0,1669010300.0,1769945500.0
2039.0,1718427500.0,1802825700.0,1865950500.0,1737570800.0,1431714800.0,1812563500.0,1819702900.0,1739057200.0,1933961500.0,1617435800.0,1725345800.0
2040.0,1667056300.0,1749064200.0,1797344900.0,1708441300.0,1367200800.0,1788861400.0,1768543100.0,1781544700.0,1866955500.0,1614553600.0,1692654200.0
2041.0,1630214100.0,1728482400.0,1799914800.0,1669399000.0,1296128600.0,1763292300.0,1760844800.0,1725521400.0,1854876900.0,1518067100.0,1632887000.0
