time,GFDL-CM3,CANESM2,CCSM4,CSIRO-MK3-6-0,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,GISS-E2-R,CNRM-CM5
2000.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0,2619210200.0
2001.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0,2579623000.0
2002.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0,2643142700.0
2003.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0,2597013500.0
2004.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0,2529894100.0
2005.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0,2563755000.0
2006.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0,2510072000.0
2007.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0,2495677400.0
2008.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0,2469614600.0
2009.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0,2456667000.0
2010.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0,2495662300.0
2011.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0,2472575000.0
2012.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0,2417882400.0
2013.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0,2445811000.0
2014.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0,2432652500.0
2015.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0,2399692300.0
2016.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0,2379323100.0
2017.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0,2344771300.0
2018.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0,2376668400.0
2019.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0,2338707700.0
2020.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0,2360481300.0
2021.0,2281540400.0,2317448400.0,2307311400.0,2315982600.0,2307757000.0,2301688800.0,2305185500.0,2326517500.0,2295638800.0,2301959400.0
2022.0,2240618000.0,2267211300.0,2321713000.0,2300932900.0,2308351500.0,2286946800.0,2253631000.0,2337346800.0,2335640300.0,2327462000.0
2023.0,2212521500.0,2263144700.0,2276678700.0,2274604800.0,2262374700.0,2245471500.0,2257138000.0,2306419000.0,2329784600.0,2310410800.0
2024.0,2170559200.0,2227826200.0,2311738000.0,2238382800.0,2238681300.0,2209487000.0,2230683600.0,2247832800.0,2306386200.0,2310679800.0
2025.0,2110195500.0,2205497000.0,2257993500.0,2217873400.0,2198605000.0,2196064800.0,2256447500.0,2284709600.0,2252287200.0,2292295200.0
2026.0,2075116700.0,2183844000.0,2292212000.0,2199141000.0,2185135900.0,2205450500.0,2179596500.0,2218607000.0,2217244400.0,2396580900.0
2027.0,2046153600.0,2131105000.0,2240569600.0,2183698200.0,2165621000.0,2144216400.0,2148015000.0,2217497900.0,2198786800.0,2232509400.0
2028.0,1978008400.0,2111034200.0,2284037000.0,2137308000.0,2196440600.0,2101331600.0,2172403000.0,2172629500.0,2177398500.0,2188724500.0
2029.0,1927065000.0,2080280200.0,2208680200.0,2099258100.0,2120563700.0,2069856000.0,2068912300.0,2167066400.0,2189548800.0,2159892700.0
2030.0,1872639700.0,2040914700.0,2181077500.0,2063331000.0,2087435000.0,2039447800.0,2037590400.0,2132534700.0,2137283200.0,2192887300.0
2031.0,1808156400.0,1995517200.0,2152002800.0,2028332200.0,2090984700.0,2007836900.0,2012970400.0,2109602200.0,2233206000.0,2146994600.0
2032.0,1762659600.0,1966427300.0,2122606700.0,2027160600.0,1985412600.0,1981237200.0,1983528400.0,2078279400.0,2139374500.0,2081885000.0
2033.0,1691416700.0,1945997000.0,2102642600.0,1967890000.0,1949139500.0,1963854100.0,1951420700.0,2013375000.0,2076601100.0,2099016100.0
2034.0,1624419500.0,1909923300.0,2069920800.0,1970620800.0,1903784600.0,1919472400.0,1931396600.0,2031090700.0,2029150000.0,2055162200.0
