time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,GISS-E2-R,GFDL-ESM2G,IPSL-CM5A-LR
2035.0,1894603100.0,2046731300.0,1968848600.0,1685034900.0,2061714000.0,2164527900.0,1874395300.0
2036.0,1854246500.0,2067090400.0,1969538800.0,1631767000.0,1971408100.0,2092803500.0,1871614700.0
2037.0,1810613200.0,2021454200.0,1904045600.0,1575094300.0,1966815200.0,2070940900.0,1796246300.0
2038.0,1806916000.0,1991171300.0,1874286600.0,1550981200.0,1946916600.0,2017346200.0,1748267600.0
2039.0,1748630500.0,1930225800.0,1842138800.0,1481846900.0,1891073500.0,1994870300.0,1703134100.0
2040.0,1741193900.0,1913805600.0,1797125500.0,1430640900.0,1887891500.0,2037189900.0,1650088600.0
2041.0,1677855900.0,1982410200.0,1759473200.0,1368601000.0,1881409300.0,2002932200.0,1608214300.0
2042.0,1635485700.0,1890408100.0,1730170500.0,1306553300.0,1830334000.0,2052704600.0,1559346000.0
2043.0,1615296000.0,1860473200.0,1753778400.0,1250749400.0,1809798000.0,1920683300.0,1510103200.0
2044.0,1561583900.0,1810900200.0,1661223700.0,1204906600.0,1784684400.0,1938028400.0,1500057100.0
2045.0,1525395300.0,1786530000.0,1623426200.0,1150006700.0,1781013100.0,1906340100.0,1431071100.0
2046.0,1488386400.0,1752068700.0,1640420000.0,1091429400.0,1713209000.0,1854314900.0,1392300000.0
2047.0,1561457700.0,1710427000.0,1570314800.0,1044164700.0,1685349000.0,1808327700.0,1329811000.0
2048.0,1466196200.0,1687901600.0,1515659100.0,1005910900.0,1643004000.0,1786995800.0,1292262500.0
2049.0,1390890900.0,1644222800.0,1476735500.0,947543400.0,1618267000.0,1762149600.0,1229178000.0
2050.0,1395412500.0,1593633900.0,1464784600.0,898433600.0,1599233900.0,1715379100.0,1188081800.0
2051.0,1325761800.0,1578065700.0,1439640800.0,847763460.0,1552450600.0,1673017100.0,1137688000.0
2052.0,1285076900.0,1523781500.0,1386222700.0,805100100.0,1578210700.0,1641909600.0,1087917200.0
2053.0,1256623400.0,1501046100.0,1353242000.0,764151200.0,1505337500.0,1624483000.0,1043761860.0
2054.0,1249459600.0,1473934800.0,1353069200.0,715571800.0,1464599300.0,1590076800.0,1000193400.0
2055.0,1208712400.0,1459737300.0,1321387100.0,672583600.0,1466273300.0,1653390200.0,969603700.0
2056.0,1154768800.0,1447490200.0,1299004800.0,641992400.0,1424122600.0,1593294100.0,911374700.0
2057.0,1113319300.0,1396724500.0,1287588000.0,612652100.0,1410657000.0,1504594800.0,873554050.0
2058.0,1095586200.0,1334714000.0,1222003100.0,576334300.0,1445172100.0,1478462500.0,829166100.0
2059.0,1044261950.0,1290573700.0,1183771600.0,550722300.0,1347674600.0,1443817500.0,801400600.0
2060.0,1027145340.0,1253484900.0,1135393000.0,529016400.0,1280812300.0,1404531800.0,766252740.0
2061.0,1010551740.0,1256152600.0,1116627500.0,503745760.0,1266164100.0,1383133700.0,741050940.0
2062.0,964235650.0,1201699100.0,1102783500.0,484059140.0,1226259000.0,1351579300.0,710325760.0
2063.0,913290200.0,1191356400.0,1069981440.0,458286620.0,1223995600.0,1300216200.0,678400100.0
2064.0,883879040.0,1180459300.0,1035440300.0,437571740.0,1180323600.0,1299624700.0,682293950.0
2065.0,853668540.0,1152760000.0,1003110000.0,423413340.0,1179912400.0,1293793700.0,624934340.0
2066.0,819991900.0,1093942500.0,970111500.0,403319260.0,1143450000.0,1255039200.0,611353660.0
2067.0,784467100.0,1071564100.0,959166660.0,384293100.0,1118260700.0,1214583000.0,581608060.0
2068.0,762002000.0,1038495700.0,935156860.0,372932200.0,1110677000.0,1179666800.0,556961400.0
2069.0,735243400.0,1022045600.0,891466300.0,348796670.0,1058525500.0,1153473900.0,530421730.0
2070.0,713752400.0,1001199360.0,873600300.0,332661400.0,1067886100.0,1116904600.0,497492160.0
2071.0,693349570.0,964423040.0,866322900.0,318590500.0,1023638700.0,1130787500.0,477066780.0
2072.0,660523140.0,947938940.0,829852860.0,302724200.0,1000330000.0,1062204900.0,448882430.0
2073.0,629573400.0,936206460.0,825054850.0,280585540.0,995424900.0,1028733250.0,438291600.0
2074.0,609041100.0,896654850.0,801219900.0,266825340.0,964024400.0,1004162500.0,465239420.0
2075.0,587575100.0,892591940.0,760467400.0,251148720.0,1009406700.0,979189700.0,415596030.0
2076.0,566573800.0,870947300.0,749205440.0,240794380.0,926216700.0,948362600.0,397968740.0
2077.0,551564300.0,840024400.0,718044500.0,229400000.0,913471740.0,945825300.0,388191740.0
2078.0,529256220.0,810122400.0,695851000.0,220913840.0,893633900.0,926067300.0,367173820.0
2079.0,519577300.0,795102000.0,677640000.0,208800750.0,870553900.0,890652300.0,354991000.0
2080.0,495202400.0,782482500.0,662620100.0,199954300.0,875627140.0,856157300.0,345610340.0
2081.0,522946050.0,760903800.0,637826370.0,188599870.0,833261000.0,855575100.0,335160450.0
2082.0,469149950.0,734518850.0,624120450.0,181337420.0,822415600.0,831593860.0,326580060.0
2083.0,453772600.0,722989060.0,604291460.0,174792480.0,814679000.0,805446850.0,315961440.0
2084.0,446694620.0,701272300.0,587642560.0,168717100.0,795665340.0,778306200.0,310622370.0
2085.0,427637120.0,680499800.0,570416200.0,160890690.0,777114800.0,785637900.0,299266750.0
2086.0,400696960.0,652248800.0,553311100.0,153515360.0,758890800.0,754560800.0,288272740.0
2087.0,376512420.0,640245440.0,553311900.0,146283760.0,775038600.0,720861500.0,276613150.0
2088.0,380664000.0,621861900.0,521140640.0,138997390.0,736047600.0,737303360.0,270075520.0
2089.0,357847800.0,619892900.0,505377800.0,135443060.0,710759000.0,712938800.0,265663600.0
2090.0,339548480.0,615782600.0,481701020.0,130710936.0,688705400.0,682993200.0,256201800.0
2091.0,327312800.0,573696600.0,465457500.0,125512160.0,687801400.0,690505000.0,245653620.0
2092.0,317854340.0,565313100.0,467865500.0,121953150.0,663314400.0,636234200.0,232296540.0
2093.0,306880260.0,538678100.0,444030100.0,117878740.0,649274000.0,633337800.0,225692260.0
2094.0,293224160.0,530196770.0,429422750.0,114906520.0,635954050.0,709693900.0,221125890.0
2095.0,284293730.0,508905950.0,416000770.0,111062230.0,623820700.0,623841800.0,212966750.0
2096.0,275585570.0,488058140.0,406328000.0,107371600.0,614027700.0,613554800.0,211170140.0
2097.0,266178110.0,469773570.0,392978430.0,105592340.0,604681600.0,606205060.0,200297180.0
2098.0,256531540.0,445416540.0,382509570.0,103251180.0,598203000.0,560682240.0,202013810.0
2099.0,245178080.0,451482240.0,373643420.0,101524490.0,596272450.0,588601700.0,188398530.0
2100.0,236705500.0,411105800.0,360585150.0,98812390.0,603026700.0,541159700.0,184782060.0
