time,ACCESS-CM2,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5
2000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0,154846990780000.0
2001.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0,154740725020000.0
2002.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0,154551745019000.0
2003.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0,154219225948000.0
2004.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0,153909147275000.0
2005.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0,153661811517000.0
2006.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0,153454006270000.0
2007.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0,153162498533000.0
2008.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0,152762676147000.0
2009.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0,152499089637000.0
2010.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0,151992339880000.0
2011.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0,151633380180000.0
2012.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0,151278846061000.0
2013.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0,150957431022000.0
2014.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0,150618963757000.0
2015.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0,150448330412000.0
2016.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0,150156339333000.0
2017.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0,149737891828000.0
2018.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0,149320884259000.0
2019.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0,149064874895000.0
2020.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0,148624635187000.0
2021.0,148092894880000.0,148164191460000.0,148142093749000.0,148177934370000.0,148215297700000.0,148077040692000.0
2022.0,147444273538000.0,147422955955000.0,147486118372000.0,147809008738000.0,147789758226000.0,147487578241000.0
2023.0,147002533663000.0,146865280885000.0,146883756607000.0,147061621321000.0,147185112328000.0,146852570552000.0
2024.0,146315375946000.0,146452841223000.0,146363871869000.0,146439294134000.0,146739439004000.0,146141975715000.0
2025.0,145711614073000.0,145828838418000.0,145698924953000.0,145864209903000.0,146154089062000.0,145304876384000.0
2026.0,145336797327000.0,145026275516000.0,145026914616000.0,145283785443000.0,145643481736000.0,144740129324000.0
2027.0,144702710226000.0,144588381712000.0,144345198562000.0,144738998931000.0,145098533891000.0,144136899241000.0
2028.0,144058679200000.0,143989214914000.0,143729294834000.0,144047729184000.0,144598028147000.0,143327906374000.0
2029.0,143277325986000.0,143428669644000.0,143143623839000.0,143508647578000.0,144153986840000.0,142433221796000.0
2030.0,142585555999000.0,142749001479000.0,142701220642000.0,143014955973000.0,143584294326000.0,141855266529000.0
2031.0,141919588344000.0,141912780884000.0,142260918030000.0,142218766672000.0,142953998926000.0,140980803051000.0
2032.0,141193710606000.0,141123264467000.0,141741960969000.0,141512188443000.0,142317737231000.0,140057293313000.0
2033.0,140583159783000.0,140418865449000.0,141084082897000.0,140863873292000.0,141778318529000.0,139227434914000.0
2034.0,139754132563000.0,139804495197000.0,140411534700000.0,140133395817000.0,141042081439000.0,138317199857000.0
2035.0,138989249673000.0,139275291739000.0,139734161418000.0,139434455059000.0,140443650440000.0,137409731987000.0
2036.0,138231537498000.0,138689807346000.0,139093590148000.0,138722019951000.0,140052268540000.0,136447104332000.0
2037.0,137433502375000.0,138021191479000.0,138377607846000.0,137905969563000.0,139437881920000.0,135597255172000.0
2038.0,136595468418000.0,137239545546000.0,137338848372000.0,137043185790000.0,138905234193000.0,134624855799000.0
2039.0,135823212047000.0,136534167666000.0,136498777826000.0,136106400077000.0,138300966294000.0,133628339438000.0
2040.0,135062895398000.0,135759773278000.0,135635319287000.0,135331823191000.0,137651957328000.0,132743548152000.0
2041.0,134418817434000.0,134984628154000.0,134923207055000.0,134301381924000.0,136956464481000.0,131720153032000.0
2042.0,133734041227000.0,134112884721000.0,134092973019000.0,133316279487000.0,136320765516000.0,130747245167000.0
2043.0,132746008244000.0,133265147277000.0,133135222180000.0,132430693358000.0,135846620511000.0,129633269217000.0
2044.0,131870123577000.0,132386312828000.0,132268072906000.0,131266133978000.0,135149260597000.0,128259284880000.0
2045.0,130964613281000.0,131433935644000.0,131357738118000.0,130193822809000.0,134370441222000.0,127136034396000.0
2046.0,130050992567000.0,130370179040000.0,130411099366000.0,129101523261000.0,133540352462000.0,126014924839000.0
2047.0,129059369506000.0,129260561482000.0,129493396881000.0,128013024717000.0,132531556492000.0,124784245792000.0
2048.0,128146884641000.0,128252616020000.0,128471219965000.0,126774064628000.0,131850979263000.0,123500889775000.0
2049.0,127146882602000.0,127015958841000.0,127294480639000.0,125758647942000.0,131205873670000.0,122241989667000.0
2050.0,126065159342000.0,125815141403000.0,126126110832000.0,124567885753000.0,130476268644000.0,120994812594000.0
2051.0,124966272507000.0,124656586382000.0,124947554686000.0,123296047871000.0,129736654748000.0,119652086798000.0
2052.0,124193634096000.0,123530187040000.0,123972396232000.0,122395955285000.0,128897922426000.0,118403673996000.0
2053.0,123217044889000.0,122437535390000.0,122956159965000.0,121271334298000.0,127794476230000.0,117070359488000.0
2054.0,122099511623000.0,121342613692000.0,121876341216000.0,120080768201000.0,126967775987000.0,115863288970000.0
2055.0,121006480221000.0,120220667159000.0,120490661325000.0,118842820744000.0,125945315655000.0,114607531153000.0
2056.0,119754492289000.0,118949434049000.0,119385726662000.0,117708594188000.0,124915161594000.0,113165081204000.0
