time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51592910000.0,51607314000.0,51601027000.0,51548844000.0,51596194000.0
2022.0,51578212000.0,51767583000.0,51575173000.0,51533705000.0,51556730000.0
2023.0,51593986000.0,51618267000.0,51535680000.0,51533013000.0,51660000000.0
2024.0,51580570000.0,51547860000.0,51800710000.0,51865543000.0,51536770000.0
2025.0,51517043000.0,51760275000.0,51555533000.0,51563490000.0,51902780000.0
2026.0,51496880000.0,51656290000.0,51524116000.0,51578190000.0,51362116000.0
2027.0,51480076000.0,51549766000.0,51501535000.0,51715772000.0,51325223000.0
2028.0,51443110000.0,51479470000.0,51484094000.0,51629180000.0,51144940000.0
2029.0,51426490000.0,51477560000.0,51492280000.0,51434476000.0,51024663000.0
2030.0,51391010000.0,51457650000.0,51474160000.0,51412038000.0,50849310000.0
2031.0,51396400000.0,51597644000.0,51557520000.0,51367850000.0,50611890000.0
2032.0,51358605000.0,51683774000.0,51610050000.0,51502604000.0,50290303000.0
2033.0,51476400000.0,51440610000.0,51701625000.0,51436028000.0,50100146000.0
2034.0,51308167000.0,51421213000.0,51446530000.0,51295270000.0,49850450000.0
2035.0,51287320000.0,51415800000.0,51433767000.0,51243114000.0,49579995000.0
2036.0,51251905000.0,51400753000.0,51498920000.0,51113260000.0,49269043000.0
2037.0,51211460000.0,51360403000.0,51393760000.0,50975000000.0,48884470000.0
2038.0,51190580000.0,51355370000.0,51417367000.0,50870380000.0,48536600000.0
2039.0,51092660000.0,51326157000.0,51397976000.0,50755870000.0,48308360000.0
2040.0,50984178000.0,51284283000.0,51360956000.0,50592080000.0,48052440000.0
2041.0,50907857000.0,51252396000.0,51254250000.0,50494374000.0,48641647000.0
2042.0,50826660000.0,51260830000.0,51225797000.0,50411010000.0,47668700000.0
2043.0,50864790000.0,51203502000.0,51203478000.0,50347594000.0,47496544000.0
2044.0,50736800000.0,51222690000.0,51268145000.0,50176557000.0,47191794000.0
2045.0,50627494000.0,51155636000.0,51150820000.0,49996970000.0,47397163000.0
2046.0,50555146000.0,51092930000.0,51087400000.0,49886212000.0,47005160000.0
2047.0,50474100000.0,51063510000.0,51047760000.0,49656783000.0,46738477000.0
2048.0,50381468000.0,51043283000.0,51087946000.0,49409413000.0,46340694000.0
2049.0,50269622000.0,51038093000.0,50971152000.0,49184220000.0,46019050000.0
2050.0,50194383000.0,51027313000.0,50947006000.0,49046245000.0,45704327000.0
2051.0,50089250000.0,50990320000.0,50869330000.0,48851587000.0,45380360000.0
2052.0,49953817000.0,50882535000.0,50811765000.0,48678260000.0,45087146000.0
2053.0,49713263000.0,50805584000.0,50758177000.0,48377127000.0,44786390000.0
2054.0,49542640000.0,50744430000.0,50623020000.0,48066730000.0,44572504000.0
2055.0,49410343000.0,50714590000.0,50520875000.0,47864970000.0,44095210000.0
2056.0,49295680000.0,50818560000.0,50448183000.0,47582224000.0,43477553000.0
2057.0,49143816000.0,52226896000.0,50362348000.0,47271850000.0,42922370000.0
2058.0,48878450000.0,50621764000.0,50242190000.0,47041958000.0,42350260000.0
2059.0,48668550000.0,50526093000.0,50179002000.0,46794945000.0,41803985000.0
2060.0,48511180000.0,50488760000.0,50070684000.0,46454133000.0,41208885000.0
2061.0,48271630000.0,50398736000.0,49987320000.0,46121470000.0,40765880000.0
2062.0,48167460000.0,50291634000.0,49925472000.0,45871620000.0,40269947000.0
2063.0,47938240000.0,50194760000.0,49822118000.0,45513120000.0,39904715000.0
2064.0,47790244000.0,50198010000.0,49717700000.0,45068415000.0,39617876000.0
2065.0,47587602000.0,50080526000.0,49700975000.0,44813990000.0,39277070000.0
2066.0,47425847000.0,49971315000.0,49546120000.0,44507160000.0,38919220000.0
2067.0,47234834000.0,50291340000.0,49468450000.0,44098870000.0,38611186000.0
2068.0,47019140000.0,49955530000.0,49321718000.0,43677240000.0,38158760000.0
2069.0,46828114000.0,49838830000.0,49182320000.0,43325583000.0,37597577000.0
2070.0,46635800000.0,49683255000.0,49106640000.0,42858190000.0,36931842000.0
2071.0,46303060000.0,49558462000.0,48963150000.0,42593067000.0,36556354000.0
2072.0,46169700000.0,49462710000.0,48852275000.0,42241667000.0,36078200000.0
2073.0,45973234000.0,49300615000.0,48780153000.0,41878820000.0,35502055000.0
2074.0,45739655000.0,49165574000.0,48568005000.0,41520500000.0,34988986000.0
2075.0,45587120000.0,49018233000.0,48483357000.0,41179200000.0,34507104000.0
2076.0,45265930000.0,48833393000.0,48361427000.0,40872006000.0,34019850000.0
2077.0,44999940000.0,48718270000.0,48234058000.0,40563600000.0,33354693000.0
2078.0,44820673000.0,48563663000.0,48130556000.0,40205340000.0,32855462000.0
2079.0,44620170000.0,48400523000.0,48050130000.0,39881417000.0,32358148000.0
2080.0,44387350000.0,48260547000.0,47972030000.0,39434120000.0,31804727000.0
2081.0,44064727000.0,48276922000.0,47923175000.0,38942500000.0,31179430000.0
2082.0,43851063000.0,47946166000.0,47859306000.0,38440140000.0,30638580000.0
2083.0,43579585000.0,47733264000.0,47766990000.0,38115738000.0,30035837000.0
2084.0,43416744000.0,47599358000.0,47744860000.0,37701714000.0,29630810000.0
2085.0,43245400000.0,47449270000.0,47554466000.0,37247560000.0,29110320000.0
2086.0,42918584000.0,47346700000.0,47413404000.0,36706140000.0,28613292000.0
2087.0,42693880000.0,47088775000.0,47284540000.0,36255273000.0,28070638000.0
2088.0,42394350000.0,46879752000.0,47124790000.0,35666650000.0,27459068000.0
2089.0,42150640000.0,46754480000.0,46925870000.0,35215130000.0,26871110000.0
2090.0,41831965000.0,46621676000.0,46771327000.0,34759385000.0,26270833000.0
2091.0,41537614000.0,46415356000.0,46604456000.0,34267441000.0,25791324000.0
2092.0,41182634000.0,46245470000.0,46436225000.0,33745074000.0,25292517000.0
2093.0,40876860000.0,46080827000.0,46354063000.0,33227313000.0,24812630000.0
2094.0,40602157000.0,45866484000.0,46166286000.0,32687256000.0,24169134000.0
2095.0,40351412000.0,45736270000.0,45962994000.0,32108960000.0,23350305000.0
2096.0,40081510000.0,45485494000.0,45840120000.0,31679453000.0,22468792000.0
2097.0,39886287000.0,45367374000.0,45682917000.0,31245408000.0,21763955000.0
2098.0,39627096000.0,45265375000.0,45540143000.0,30637007000.0,20922563000.0
2099.0,39283958000.0,45115056000.0,45403927000.0,30131775000.0,20086462000.0
2100.0,39117250000.0,44925944000.0,45164840000.0,29663408000.0,19210742000.0
