time,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51548650000.0,51590046000.0,51571986000.0,51573540000.0,51564630000.0
2022.0,51540650000.0,51617665000.0,51517970000.0,51542500000.0,51519816000.0
2023.0,51804525000.0,51547365000.0,51503096000.0,51550990000.0,51480437000.0
2024.0,51562790000.0,51527463000.0,51440040000.0,51519476000.0,51455422000.0
2025.0,51507925000.0,51503550000.0,51437138000.0,51921932000.0,51400323000.0
2026.0,51840238000.0,51623560000.0,51412240000.0,51503360000.0,51349440000.0
2027.0,51630910000.0,51496210000.0,51434280000.0,51487080000.0,51236442000.0
2028.0,51447920000.0,51430654000.0,51788360000.0,51452965000.0,51244335000.0
2029.0,51420580000.0,51406406000.0,51886100000.0,51495285000.0,51105178000.0
2030.0,51423130000.0,51378246000.0,51447935000.0,51459860000.0,50997674000.0
2031.0,51899050000.0,51360596000.0,51449074000.0,51501265000.0,50868662000.0
2032.0,51481730000.0,51331375000.0,51258065000.0,51482860000.0,50888126000.0
2033.0,51373855000.0,51297042000.0,51234690000.0,51487146000.0,50636583000.0
2034.0,51322770000.0,51253907000.0,51185340000.0,51427200000.0,50406760000.0
2035.0,51341350000.0,51194397000.0,51157238000.0,51414487000.0,50219336000.0
2036.0,51282180000.0,51137855000.0,51060880000.0,51426020000.0,50153940000.0
2037.0,51607724000.0,51084497000.0,51022184000.0,51402502000.0,49953940000.0
2038.0,51278970000.0,51020915000.0,50900705000.0,51615650000.0,49849580000.0
2039.0,51233390000.0,50953180000.0,50820140000.0,51391046000.0,49573130000.0
2040.0,51477033000.0,50871464000.0,50754392000.0,51418018000.0,49398235000.0
2041.0,51150150000.0,50756588000.0,50645447000.0,51324220000.0,50127090000.0
2042.0,51175850000.0,50731400000.0,50476040000.0,51279180000.0,48860107000.0
2043.0,51087626000.0,50635596000.0,50331170000.0,51219583000.0,48493937000.0
2044.0,51131900000.0,50524676000.0,50188130000.0,51165620000.0,48185710000.0
2045.0,51029393000.0,50457113000.0,50092098000.0,51140645000.0,47715824000.0
2046.0,51030348000.0,50380080000.0,49942594000.0,51086580000.0,47293047000.0
2047.0,50980954000.0,50256593000.0,49808680000.0,51054486000.0,47014003000.0
2048.0,50986074000.0,50148430000.0,49671766000.0,51304430000.0,46687228000.0
2049.0,50958115000.0,50041545000.0,49463665000.0,51014080000.0,46417113000.0
2050.0,51000635000.0,49929580000.0,49311535000.0,51030970000.0,46318965000.0
2051.0,50983907000.0,49812120000.0,49135200000.0,51375043000.0,45878813000.0
2052.0,50869924000.0,49716535000.0,48931450000.0,50999374000.0,45584503000.0
2053.0,51051225000.0,49578920000.0,48768283000.0,51050630000.0,45254540000.0
2054.0,50858693000.0,49508980000.0,48522870000.0,51001310000.0,44804076000.0
2055.0,51037336000.0,49320960000.0,48401220000.0,50885590000.0,44364894000.0
2056.0,50729900000.0,49129275000.0,48186170000.0,50854568000.0,43942253000.0
2057.0,50712840000.0,48981670000.0,47983160000.0,50918770000.0,43539620000.0
2058.0,51100877000.0,48771846000.0,47635304000.0,50741252000.0,43197300000.0
2059.0,51244670000.0,48650658000.0,47398785000.0,50675327000.0,42874150000.0
2060.0,50712465000.0,48471820000.0,47232758000.0,50638115000.0,42385904000.0
2061.0,50615583000.0,48277320000.0,47124910000.0,50554750000.0,41986590000.0
2062.0,50486180000.0,48112562000.0,46934725000.0,50499300000.0,41603826000.0
2063.0,50430386000.0,47950823000.0,46695810000.0,50464748000.0,41203266000.0
2064.0,50349750000.0,47731335000.0,46511407000.0,50418410000.0,40862765000.0
2065.0,50285306000.0,47599247000.0,46256296000.0,50437360000.0,41120997000.0
2066.0,50179977000.0,47320842000.0,46092874000.0,50509070000.0,40629710000.0
2067.0,50209590000.0,47118176000.0,45939077000.0,50363260000.0,39950530000.0
2068.0,50076200000.0,46917968000.0,45704704000.0,50226184000.0,39562543000.0
2069.0,50652790000.0,46712988000.0,45657215000.0,50132677000.0,39255917000.0
2070.0,50158936000.0,46409626000.0,45519900000.0,50177536000.0,38935613000.0
2071.0,50009870000.0,46225940000.0,45351700000.0,50053607000.0,38665277000.0
2072.0,49942716000.0,46059560000.0,45053250000.0,49981784000.0,38481932000.0
2073.0,49967907000.0,45812883000.0,44820943000.0,50232443000.0,38041334000.0
2074.0,49957540000.0,45819360000.0,44571546000.0,49922780000.0,37684744000.0
2075.0,49751527000.0,46073640000.0,44242305000.0,49819087000.0,37160776000.0
2076.0,49701884000.0,45554620000.0,44004130000.0,49850073000.0,36824000000.0
2077.0,49650180000.0,45373387000.0,43672830000.0,49693344000.0,36457595000.0
2078.0,49586774000.0,45218290000.0,43437396000.0,49614540000.0,36112120000.0
2079.0,49561186000.0,45044593000.0,43062825000.0,49612853000.0,35736752000.0
2080.0,50065183000.0,45018330000.0,42859740000.0,49654150000.0,35423113000.0
2081.0,49477652000.0,44809390000.0,42501830000.0,49505583000.0,35047154000.0
2082.0,49407308000.0,44668440000.0,42248940000.0,49491310000.0,34804937000.0
2083.0,49360904000.0,44471497000.0,42082443000.0,49835676000.0,34484030000.0
2084.0,49361630000.0,44302070000.0,41794216000.0,49526206000.0,34151182000.0
2085.0,49276000000.0,44129407000.0,41606685000.0,49344287000.0,33693514000.0
2086.0,49211646000.0,43995250000.0,41374523000.0,49422954000.0,33431867000.0
2087.0,49212330000.0,43816700000.0,41166025000.0,49192255000.0,33187193000.0
2088.0,49053660000.0,43695686000.0,40908190000.0,49108705000.0,33043850000.0
2089.0,48922940000.0,43547316000.0,40660816000.0,49022124000.0,32698788000.0
2090.0,48868733000.0,43565453000.0,40361000000.0,48940122000.0,32411896000.0
2091.0,49184340000.0,43245850000.0,40142615000.0,48930830000.0,31992343000.0
2092.0,49496895000.0,43105595000.0,39854543000.0,49031635000.0,31624733000.0
2093.0,48869278000.0,42971290000.0,39545850000.0,48807660000.0,31249134000.0
2094.0,48701310000.0,42806157000.0,39230410000.0,48755147000.0,30950857000.0
2095.0,48593695000.0,42746910000.0,38934962000.0,49075892000.0,30625837000.0
2096.0,48636957000.0,42539504000.0,38776020000.0,48799298000.0,30345589000.0
2097.0,50159526000.0,42273944000.0,38453367000.0,49153940000.0,30020570000.0
2098.0,48455352000.0,42131390000.0,38229885000.0,48619545000.0,29741718000.0
2099.0,48333685000.0,42238840000.0,38001725000.0,48511324000.0,29482301000.0
2100.0,48263830000.0,42025830000.0,37650477000.0,48488886000.0,29214525000.0
