time,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2036.0,7598322500000.0,7402018000000.0,7442628300000.0,7007806400000.0,7326320000000.0,7486488700000.0,7454313000000.0,7582910000000.0,7654471600000.0,7653336500000.0
2037.0,7568253500000.0,7344525000000.0,7391447000000.0,6922762000000.0,7257516400000.0,7433121000000.0,7400853000000.0,7543377600000.0,7617495700000.0,7598620300000.0
2038.0,7531751000000.0,7302335000000.0,7344995000000.0,6832720000000.0,7194452400000.0,7392407000000.0,7350412000000.0,7506354000000.0,7566891000000.0,7533444500000.0
2039.0,7487704500000.0,7247390300000.0,7301700000000.0,6757310500000.0,7119905000000.0,7333858500000.0,7301402500000.0,7460002000000.0,7514802400000.0,7475840000000.0
2040.0,7445081000000.0,7204650400000.0,7260167700000.0,6660508000000.0,7063672500000.0,7276095600000.0,7261079000000.0,7411455000000.0,7469685300000.0,7410942500000.0
2041.0,7393829700000.0,7164122000000.0,7208550000000.0,6569215400000.0,6999561000000.0,7225077700000.0,7189583000000.0,7378154000000.0,7423327700000.0,7363259000000.0
2042.0,7342938700000.0,7088445600000.0,7141107000000.0,6472940400000.0,6933437000000.0,7174520600000.0,7137891700000.0,7342949000000.0,7388136500000.0,7314196000000.0
2043.0,7300226500000.0,7023505000000.0,7097637000000.0,6369375000000.0,6859419000000.0,7120563500000.0,7065412600000.0,7292252000000.0,7337761000000.0,7254775000000.0
2044.0,7257276000000.0,6969050000000.0,7036141000000.0,6265304000000.0,6796609000000.0,7053449400000.0,6989868000000.0,7242195000000.0,7291265000000.0,7202438000000.0
2045.0,7222537500000.0,6900335000000.0,6958951700000.0,6158734600000.0,6732814000000.0,6985317600000.0,6949883600000.0,7193475000000.0,7239072000000.0,7141417000000.0
2046.0,7184811300000.0,6837298000000.0,6891083700000.0,6055932000000.0,6666031000000.0,6911707000000.0,6882322300000.0,7147873000000.0,7181318000000.0,7092724000000.0
2047.0,7138408700000.0,6765788000000.0,6815341300000.0,5948900400000.0,6601730700000.0,6860738000000.0,6823277500000.0,7106016600000.0,7123255000000.0,7047196000000.0
2048.0,7083228000000.0,6693869600000.0,6758486000000.0,5840993500000.0,6533696500000.0,6775262000000.0,6762984400000.0,7066638400000.0,7087628000000.0,6985350600000.0
2049.0,7035874700000.0,6650741000000.0,6700488700000.0,5729591000000.0,6467893600000.0,6706804000000.0,6693374000000.0,7025198600000.0,7023925700000.0,6931242000000.0
2050.0,6984645500000.0,6583796400000.0,6643572000000.0,5612942400000.0,6403942500000.0,6646093300000.0,6628603600000.0,6985157000000.0,6957808000000.0,6881260000000.0
2051.0,6934975500000.0,6526993400000.0,6586152500000.0,5497400000000.0,6326977000000.0,6590500400000.0,6549082700000.0,6948204300000.0,6897541300000.0,6818893000000.0
2052.0,6892381300000.0,6449875400000.0,6535988000000.0,5370018000000.0,6247172000000.0,6517503000000.0,6466997000000.0,6911181000000.0,6842248000000.0,6762493000000.0
2053.0,6852445000000.0,6375775000000.0,6482200400000.0,5247075400000.0,6177899000000.0,6436922300000.0,6395985000000.0,6858747700000.0,6784895400000.0,6679832000000.0
2054.0,6812946400000.0,6310199300000.0,6415179000000.0,5139441600000.0,6118769000000.0,6367442000000.0,6326346000000.0,6812692600000.0,6723947500000.0,6609579000000.0
2055.0,6746130600000.0,6252833000000.0,6334324400000.0,5034006000000.0,6047809400000.0,6299956300000.0,6241188300000.0,6761777500000.0,6665187000000.0,6564071000000.0
2056.0,6693297600000.0,6184095400000.0,6282749700000.0,4909022000000.0,5971064700000.0,6221289500000.0,6152565000000.0,6724690000000.0,6618688000000.0,6489699000000.0
2057.0,6631666500000.0,6126149000000.0,6243201000000.0,4784794400000.0,5871187300000.0,6150478600000.0,6072817000000.0,6676823400000.0,6566573500000.0,6431086000000.0
2058.0,6584574000000.0,6064571400000.0,6199757000000.0,4654866000000.0,5785167300000.0,6091953000000.0,5970015600000.0,6611114000000.0,6500336000000.0,6364377600000.0
2059.0,6539247000000.0,6001698000000.0,6167935000000.0,4530276000000.0,5693719000000.0,6006760000000.0,5878779000000.0,6564977000000.0,6436307000000.0,6295735000000.0
2060.0,6484808000000.0,5952598700000.0,6110630000000.0,4411873600000.0,5602008400000.0,5949470000000.0,5784635700000.0,6510050000000.0,6381981000000.0,6249438500000.0
2061.0,6443370500000.0,5882255000000.0,6035820500000.0,4295086800000.0,5522508500000.0,5873343700000.0,5686713000000.0,6449317000000.0,6342240000000.0,6165611000000.0
2062.0,6390684000000.0,5799549600000.0,5977041000000.0,4182196400000.0,5442165000000.0,5788761000000.0,5585504000000.0,6388560400000.0,6270718300000.0,6074257600000.0
2063.0,6342445000000.0,5724970000000.0,5922272000000.0,4073812000000.0,5354537600000.0,5710925000000.0,5504116500000.0,6327082000000.0,6198376000000.0,6002645700000.0
2064.0,6280751000000.0,5643131400000.0,5879893000000.0,3953945700000.0,5263903000000.0,5650184700000.0,5399015600000.0,6278339000000.0,6141432600000.0,5920053000000.0
2065.0,6230579000000.0,5571833500000.0,5810085700000.0,3841399000000.0,5160359000000.0,5576401000000.0,5313875000000.0,6228952500000.0,6066285000000.0,5844969700000.0
2066.0,6203638300000.0,5486575400000.0,5735975500000.0,3729776200000.0,5070446000000.0,5510573600000.0,5215417000000.0,6170605000000.0,6000123000000.0,5773899300000.0
2067.0,6146342500000.0,5412563000000.0,5672931400000.0,3608105700000.0,4978050600000.0,5448550000000.0,5108162600000.0,6108454300000.0,5936891000000.0,5730165000000.0
2068.0,6107677300000.0,5335376000000.0,5610887700000.0,3499089000000.0,4877170000000.0,5357218300000.0,5001169000000.0,6025818700000.0,5855731000000.0,5661490000000.0
2069.0,6072267400000.0,5281085000000.0,5545409400000.0,3389554000000.0,4766466300000.0,5260278500000.0,4903947700000.0,5957332500000.0,5798115700000.0,5590530000000.0
2070.0,6038399000000.0,5208944400000.0,5467774400000.0,3274250600000.0,4658912300000.0,5172909000000.0,4808617000000.0,5881769000000.0,5745136000000.0,5528172000000.0
2071.0,5995677000000.0,5146602000000.0,5404622300000.0,3166698500000.0,4561042400000.0,5091007000000.0,4707908000000.0,5820028000000.0,5686789400000.0,5456011000000.0
2072.0,5932169300000.0,5072730000000.0,5351051000000.0,3058502500000.0,4467482000000.0,5001348000000.0,4597879400000.0,5748158000000.0,5614462300000.0,5389044700000.0
2073.0,5901402500000.0,4993633000000.0,5289907600000.0,2955763300000.0,4363424000000.0,4909579000000.0,4506819000000.0,5681260300000.0,5533353000000.0,5323328300000.0
2074.0,5857909700000.0,4910708000000.0,5225455000000.0,2857786100000.0,4256565000000.0,4810629000000.0,4414475600000.0,5594619000000.0,5465834500000.0,5251714000000.0
2075.0,5803877600000.0,4824603600000.0,5150792500000.0,2746951400000.0,4161750400000.0,4721431000000.0,4320930300000.0,5513246400000.0,5391095000000.0,5195012500000.0
2076.0,5748708300000.0,4749242400000.0,5085342500000.0,2648966400000.0,4047949000000.0,4635918600000.0,4201524000000.0,5409908700000.0,5319539300000.0,5128638000000.0
2077.0,5683585500000.0,4670406000000.0,5017469700000.0,2555999200000.0,3941715400000.0,4541295000000.0,4101447600000.0,5330904300000.0,5246741400000.0,5067156000000.0
2078.0,5609946000000.0,4587690400000.0,4935942400000.0,2457467400000.0,3845256600000.0,4445478000000.0,3982897200000.0,5234975000000.0,5177320000000.0,5010857000000.0
2079.0,5551399400000.0,4499552000000.0,4861375500000.0,2365850600000.0,3734701900000.0,4352056800000.0,3884666000000.0,5148331000000.0,5112773000000.0,4944296400000.0
2080.0,5494503600000.0,4406507000000.0,4774089500000.0,2263388000000.0,3621160000000.0,4256196700000.0,3789716700000.0,5056858400000.0,5017014600000.0,4875944000000.0
2081.0,5433381000000.0,4322117000000.0,4717896000000.0,2177692600000.0,3519545300000.0,4179302000000.0,3695873000000.0,4974807400000.0,4944943000000.0,4804832000000.0
