time,IPSL-CM5A-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,GFDL-ESM2G,CESM1-CAM5,GFDL-CM3,GISS-E2-R
2000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0,8724201600000.0
2001.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0,8694935000000.0
2002.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0,8667855000000.0
2003.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0,8648248000000.0
2004.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0,8617599000000.0
2005.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0,8600365000000.0
2006.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0,8598285500000.0
2007.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0,8570997000000.0
2008.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0,8530454600000.0
2009.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0,8494298700000.0
2010.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0,8455708000000.0
2011.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0,8412712700000.0
2012.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0,8379728700000.0
2013.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0,8353865000000.0
2014.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0,8331370400000.0
2015.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0,8291520300000.0
2016.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0,8254025400000.0
2017.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0,8214647000000.0
2018.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0,8195910700000.0
2019.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0,8169581000000.0
2020.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0,8132580300000.0
2021.0,8082494600000.0,8102190000000.0,8100549500000.0,8118077000000.0,8087791500000.0,8076465300000.0,8071051500000.0,8124477500000.0
2022.0,8039216000000.0,8088684300000.0,8075074300000.0,8102893600000.0,8057905000000.0,8019338000000.0,8016220400000.0,8108020000000.0
2023.0,7985381000000.0,8060653300000.0,8028901000000.0,8067383000000.0,8031714700000.0,7959256000000.0,7957881300000.0,8090806000000.0
2024.0,7938450000000.0,8036235000000.0,7993092000000.0,8032020300000.0,7990891000000.0,7894550000000.0,7904868400000.0,8066039000000.0
2025.0,7901901000000.0,7993262300000.0,7959118000000.0,7996560000000.0,7961766000000.0,7815804500000.0,7858837000000.0,8032324400000.0
2026.0,7861117600000.0,7953094000000.0,7909085000000.0,7959667000000.0,7935630500000.0,7737097300000.0,7779920600000.0,8013643000000.0
2027.0,7809207400000.0,7926628500000.0,7863896000000.0,7929288700000.0,7906668000000.0,7688205000000.0,7713739000000.0,7997416300000.0
2028.0,7760461000000.0,7896776000000.0,7817941500000.0,7888668500000.0,7880972400000.0,7623887000000.0,7633748000000.0,7968611000000.0
2029.0,7721328300000.0,7870329000000.0,7777847600000.0,7847187300000.0,7856747700000.0,7544946000000.0,7560007000000.0,7922957000000.0
2030.0,7668554000000.0,7839095000000.0,7738797600000.0,7804125000000.0,7835681300000.0,7475796000000.0,7497340000000.0,7899576000000.0
2031.0,7626902000000.0,7803434400000.0,7698395400000.0,7782590300000.0,7805796000000.0,7390159700000.0,7426938000000.0,7868363300000.0
2032.0,7568289000000.0,7776990400000.0,7658643400000.0,7746885000000.0,7778149600000.0,7326062000000.0,7348986300000.0,7847410700000.0
2033.0,7506326700000.0,7743005500000.0,7623310600000.0,7725925000000.0,7755924000000.0,7253689000000.0,7278166000000.0,7811490000000.0
2034.0,7460901000000.0,7699574000000.0,7584383000000.0,7684439000000.0,7738876000000.0,7177951500000.0,7199801700000.0,7771568000000.0
2035.0,7401438700000.0,7656493300000.0,7534580600000.0,7646107700000.0,7720877400000.0,7095965000000.0,7128039300000.0,7754927300000.0
2036.0,7336688000000.0,7622540000000.0,7485139700000.0,7613606500000.0,7698680600000.0,7027218700000.0,7031641600000.0,7736763400000.0
2037.0,7272443400000.0,7594330000000.0,7441357500000.0,7572668500000.0,7660659300000.0,6940654000000.0,6934078000000.0,7702862000000.0
2038.0,7224292300000.0,7560108000000.0,7397399000000.0,7556533000000.0,7611103600000.0,6859787300000.0,6862983000000.0,7671039700000.0
2039.0,7159065000000.0,7537606300000.0,7371082400000.0,7512092000000.0,7580054700000.0,6770593000000.0,6771859000000.0,7635264300000.0
2040.0,7100300300000.0,7492886600000.0,7329827000000.0,7479534600000.0,7549267000000.0,6689499000000.0,6701268300000.0,7597438000000.0
2041.0,7062503300000.0,7453241500000.0,7263950000000.0,7454251000000.0,7515985000000.0,6608780000000.0,6621365300000.0,7565459600000.0
2042.0,7016052400000.0,7415910600000.0,7219963000000.0,7405229300000.0,7468889400000.0,6535513600000.0,6536790000000.0,7541388500000.0
2043.0,6962289000000.0,7375735000000.0,7165753400000.0,7369640600000.0,7433215000000.0,6450492000000.0,6459971600000.0,7517163000000.0
2044.0,6923920000000.0,7328353000000.0,7111526000000.0,7326885500000.0,7402759400000.0,6372430700000.0,6383981300000.0,7475476000000.0
2045.0,6872347700000.0,7281172300000.0,7062184000000.0,7275506300000.0,7374318300000.0,6287301500000.0,6300663000000.0,7427158700000.0
2046.0,6815980500000.0,7234079700000.0,7000494000000.0,7222319000000.0,7351630300000.0,6200179600000.0,6216563600000.0,7399932400000.0
2047.0,6771057000000.0,7206796000000.0,6941889300000.0,7194992000000.0,7334598300000.0,6092320400000.0,6154684000000.0,7346707000000.0
2048.0,6705006000000.0,7161444000000.0,6880049000000.0,7147450000000.0,7314011000000.0,5992554000000.0,6069226600000.0,7314251000000.0
2049.0,6636610500000.0,7127338300000.0,6833537000000.0,7091938000000.0,7293678000000.0,5911348000000.0,5987765000000.0,7262723600000.0
2050.0,6570068000000.0,7081159000000.0,6787561000000.0,7034697700000.0,7261552000000.0,5825344000000.0,5913092000000.0,7228346000000.0
2051.0,6512123000000.0,7051839300000.0,6745656000000.0,6996055600000.0,7218834400000.0,5718063000000.0,5824854400000.0,7180019000000.0
2052.0,6438665600000.0,7007866000000.0,6691025000000.0,6938048300000.0,7190773500000.0,5615249000000.0,5739832700000.0,7137747500000.0
2053.0,6389485300000.0,6961722600000.0,6632793700000.0,6871580700000.0,7140804000000.0,5517071000000.0,5650194600000.0,7099250000000.0
2054.0,6320603000000.0,6917414500000.0,6579858400000.0,6795448000000.0,7117879000000.0,5438556000000.0,5566716400000.0,7066604000000.0
2055.0,6264767000000.0,6874669000000.0,6519566000000.0,6751289000000.0,7072701000000.0,5353840000000.0,5483443000000.0,7032507000000.0
2056.0,6185654000000.0,6831265500000.0,6456544000000.0,6693472700000.0,7044955000000.0,5256512500000.0,5389475600000.0,7002584000000.0
2057.0,6129237600000.0,6790889000000.0,6383990000000.0,6632026700000.0,7024377000000.0,5159344700000.0,5300689000000.0,6970665000000.0
2058.0,6044915300000.0,6744362700000.0,6318359300000.0,6585105500000.0,6987462000000.0,5095775300000.0,5213994400000.0,6927486000000.0
2059.0,5986421600000.0,6697577000000.0,6262300300000.0,6529308700000.0,6957070500000.0,5007202600000.0,5119855000000.0,6892765600000.0
2060.0,5906040400000.0,6669030400000.0,6191907300000.0,6467184000000.0,6936036600000.0,4914637400000.0,5027325300000.0,6849019500000.0
2061.0,5826957000000.0,6634296300000.0,6116607000000.0,6415372000000.0,6904150500000.0,4827458000000.0,4938821000000.0,6785086000000.0
2062.0,5743643700000.0,6600371700000.0,6042518300000.0,6346929300000.0,6854824400000.0,4730158300000.0,4852104600000.0,6749607000000.0
2063.0,5663003000000.0,6571071000000.0,5969277000000.0,6280354700000.0,6802401400000.0,4644216500000.0,4754587000000.0,6712558400000.0
2064.0,5574832000000.0,6525474600000.0,5895909000000.0,6237322000000.0,6759542000000.0,4558840000000.0,4659633700000.0,6678436000000.0
2065.0,5507310400000.0,6491428400000.0,5819497700000.0,6187147300000.0,6716308600000.0,4471620000000.0,4548172700000.0,6650195000000.0
2066.0,5432028000000.0,6435797000000.0,5737517000000.0,6114438000000.0,6686193500000.0,4376558300000.0,4466342400000.0,6614709400000.0
2067.0,5373977700000.0,6382296000000.0,5661253400000.0,6055888000000.0,6651739000000.0,4271603400000.0,4371698400000.0,6573847500000.0
2068.0,5323180000000.0,6343535600000.0,5586469000000.0,6006777000000.0,6611401000000.0,4174292200000.0,4274729800000.0,6528736700000.0
2069.0,5249221300000.0,6300307000000.0,5522498000000.0,5960260000000.0,6564107000000.0,4087573600000.0,4189570200000.0,6484312000000.0
2070.0,5176290000000.0,6252409700000.0,5460661000000.0,5910122000000.0,6513849000000.0,3989336500000.0,4098380500000.0,6418941300000.0
2071.0,5113771000000.0,6219085000000.0,5368460600000.0,5863217600000.0,6465108600000.0,3893360900000.0,4016624000000.0,6369184300000.0
2072.0,5043637500000.0,6177539000000.0,5278111000000.0,5804323000000.0,6425798500000.0,3806236500000.0,3907571200000.0,6312206300000.0
2073.0,4960635000000.0,6140420000000.0,5202475000000.0,5765347000000.0,6385965000000.0,3729792700000.0,3807234500000.0,6269445000000.0
2074.0,4901091000000.0,6097167000000.0,5131707000000.0,5723664700000.0,6332666600000.0,3648800700000.0,3714018000000.0,6221698400000.0
2075.0,4828471000000.0,6030254000000.0,5047113000000.0,5675773600000.0,6281237000000.0,3558220500000.0,3616456000000.0,6173220700000.0
2076.0,4768333300000.0,5977537500000.0,4953482000000.0,5619344000000.0,6241558500000.0,3480178000000.0,3529103600000.0,6135512000000.0
2077.0,4724073400000.0,5938840300000.0,4864425300000.0,5544716300000.0,6202013000000.0,3414795200000.0,3431822000000.0,6078989300000.0
2078.0,4665099000000.0,5882443700000.0,4782898500000.0,5477310700000.0,6160578000000.0,3330986000000.0,3333021200000.0,6023124400000.0
2079.0,4590226400000.0,5838881000000.0,4705420300000.0,5422973500000.0,6120910000000.0,3247100000000.0,3242576600000.0,5982091500000.0
2080.0,4521531000000.0,5785651000000.0,4608788000000.0,5379491600000.0,6097612600000.0,3162273200000.0,3162300000000.0,5927463300000.0
2081.0,4450541400000.0,5714941600000.0,4519885300000.0,5323915500000.0,6063039000000.0,3085366200000.0,3065464500000.0,5879778000000.0
2082.0,4379105600000.0,5657395000000.0,4421936000000.0,5277267500000.0,6012138400000.0,3014436000000.0,2976302800000.0,5835022000000.0
2083.0,4296727600000.0,5600510000000.0,4324733200000.0,5220225500000.0,5972991400000.0,2933955000000.0,2883140700000.0,5789231000000.0
2084.0,4222434100000.0,5546068400000.0,4241140200000.0,5151989400000.0,5944858600000.0,2858273700000.0,2793462000000.0,5759097000000.0
2085.0,4157075600000.0,5490182000000.0,4159234400000.0,5083867000000.0,5909044000000.0,2785178800000.0,2710132000000.0,5710963000000.0
2086.0,4085028700000.0,5434148700000.0,4067577800000.0,5026172400000.0,5858507400000.0,2709296800000.0,2622190000000.0,5682361000000.0
2087.0,4009133000000.0,5379309000000.0,3988856200000.0,4972016000000.0,5812660500000.0,2639560400000.0,2534649600000.0,5641898300000.0
2088.0,3928351300000.0,5318667000000.0,3910754400000.0,4920874000000.0,5769093000000.0,2559191500000.0,2451862500000.0,5581165300000.0
2089.0,3856848000000.0,5251842700000.0,3839760000000.0,4873437300000.0,5720101600000.0,2485322800000.0,2375666400000.0,5530437000000.0
2090.0,3788660800000.0,5201421400000.0,3751038200000.0,4824946400000.0,5668254000000.0,2409498700000.0,2303704000000.0,5466306000000.0
2091.0,3712135200000.0,5146015000000.0,3651997800000.0,4756625000000.0,5612600600000.0,2331419300000.0,2224603300000.0,5423455000000.0
2092.0,3628353700000.0,5090567500000.0,3571271000000.0,4690356000000.0,5575785600000.0,2266134200000.0,2150136500000.0,5378341300000.0
2093.0,3551861000000.0,5043768000000.0,3497977400000.0,4631419700000.0,5530424000000.0,2192923200000.0,2077798700000.0,5316353700000.0
2094.0,3481968600000.0,4979644000000.0,3414974500000.0,4579184300000.0,5498865000000.0,2123254100000.0,2008818600000.0,5264423500000.0
2095.0,3424687500000.0,4926789000000.0,3343030200000.0,4513215000000.0,5461000600000.0,2055875300000.0,1945387800000.0,5223204500000.0
2096.0,3365994500000.0,4866451000000.0,3254030700000.0,4452374300000.0,5418511000000.0,1993724700000.0,1880884400000.0,5184523000000.0
2097.0,3300373300000.0,4801274300000.0,3161934800000.0,4383325300000.0,5378790000000.0,1931194100000.0,1814344200000.0,5137409500000.0
2098.0,3237128000000.0,4726478000000.0,3081389500000.0,4342464000000.0,5345264500000.0,1863153200000.0,1746019700000.0,5082370300000.0
2099.0,3178673200000.0,4662506000000.0,3012357000000.0,4277678600000.0,5297613000000.0,1798587300000.0,1686494400000.0,5045562000000.0
2100.0,3112976500000.0,4596181000000.0,2930493000000.0,4222269800000.0,5256641000000.0,1733796400000.0,1623896800000.0,5007781400000.0
