time,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,GFDL-CM3,CESM1-CAM5,CCSM4,GFDL-ESM2G,NORESM1-M
2085.0,478716160.0,695550100.0,951883840.0,969466400.0,847325630.0,788796300.0,1130201100.0,570828300.0,786867600.0,1173017100.0,889873150.0
2086.0,477468540.0,811348900.0,950927200.0,993970000.0,821750400.0,787520900.0,1143262300.0,568082600.0,762583300.0,1146666500.0,896656600.0
2087.0,476477250.0,774895100.0,983327740.0,895191100.0,834072600.0,781218400.0,1091290400.0,570305540.0,756570240.0,1155425500.0,918952450.0
2088.0,474309540.0,736687170.0,1044990340.0,891406140.0,872954800.0,839420000.0,1077139100.0,563959700.0,750387400.0,1147378400.0,886760200.0
2089.0,474440400.0,824895000.0,1010700300.0,882096830.0,805359040.0,806867000.0,1071397700.0,563410240.0,748523260.0,1138789600.0,957199300.0
2090.0,472154900.0,858888600.0,1003876160.0,874961540.0,798461600.0,784178500.0,1132662300.0,557036600.0,742314560.0,1128495600.0,903207000.0
2091.0,496752800.0,808635800.0,989829900.0,969141060.0,800310900.0,782495900.0,1141803900.0,585662800.0,738106000.0,1184626300.0,886394430.0
2092.0,471627620.0,770544900.0,1018490050.0,882796400.0,828590660.0,781119200.0,1093100800.0,586520260.0,768210940.0,1215410000.0,944469440.0
2093.0,470907940.0,1016081860.0,1044340540.0,877746750.0,805527940.0,894740300.0,1148900100.0,587874240.0,735347100.0,1255060100.0,931198660.0
2094.0,474035870.0,780082500.0,1007787140.0,946309400.0,787964400.0,830843500.0,1149947300.0,559551800.0,736008700.0,1249202600.0,918185100.0
2095.0,473271500.0,770259700.0,990056260.0,879787800.0,782900200.0,785009800.0,1116414500.0,558944960.0,741943550.0,1201166100.0,966512640.0
2096.0,489470720.0,769479100.0,1032246600.0,889852800.0,803384100.0,790368700.0,1103261800.0,563415000.0,761019840.0,1201766900.0,1023390800.0
2097.0,470277630.0,766980100.0,995177600.0,1020753200.0,781038800.0,828131650.0,1093145000.0,556855900.0,742390500.0,1197780000.0,977791800.0
2098.0,474894940.0,1068359360.0,1159162900.0,969807360.0,776694600.0,914912800.0,1080522500.0,675960600.0,731301200.0,1220776100.0,964605440.0
2099.0,469890720.0,933042240.0,1065519200.0,971687230.0,776228700.0,814089800.0,1075635700.0,578504450.0,723655600.0,1220727900.0,980160830.0
2100.0,481134340.0,866344900.0,1029516000.0,976479400.0,845284500.0,820525250.0,1072891970.0,579520800.0,721569200.0,1206495000.0,977915700.0
