time,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M
2000.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0,1184953300.0
2001.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0,1207306400.0
2002.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0,1182700200.0
2003.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0,1203548900.0
2004.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0,1203019100.0
2005.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0,1252468600.0
2006.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0,1197171000.0
2007.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0,1207884400.0
2008.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0,1195799300.0
2009.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0,1187291300.0
2010.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0,1190126500.0
2011.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0,1179449100.0
2012.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0,1172273200.0
2013.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0,1169653600.0
2014.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0,1160758800.0
2015.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0,1156457000.0
2016.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0,1153217900.0
2017.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0,1144062100.0
2018.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0,1134568300.0
2019.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0,1121302000.0
2020.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0,1112494600.0
2021.0,1094796300.0,1100221400.0,1100179200.0,1102146300.0,1130393600.0,1165145200.0,1111980500.0,1111835300.0,1102568600.0,1104269400.0
2022.0,1086507100.0,1114507500.0,1118561000.0,1085877600.0,1099761000.0,1261882100.0,1090536400.0,1091092000.0,1150257500.0,1084331900.0
2023.0,1072020400.0,1118625300.0,1095592000.0,1066142300.0,1090197000.0,1185174400.0,1072610000.0,1082431900.0,1133743000.0,1101087900.0
2024.0,1060040640.0,1208385200.0,1077666300.0,1050800960.0,1104583000.0,1124660900.0,1070714750.0,1068544900.0,1107219800.0,1082828000.0
2025.0,1041455360.0,1097333900.0,1061076860.0,1037672600.0,1076801800.0,1106239400.0,1044584400.0,1051447600.0,1082716300.0,1070713700.0
2026.0,1024341100.0,1079255200.0,1052080100.0,1022157250.0,1056899300.0,1101717400.0,1031262400.0,1043992400.0,1091087000.0,1066769150.0
2027.0,1009422900.0,1073099650.0,1032172900.0,1009523000.0,1037339600.0,1099777500.0,1015755650.0,1050915500.0,1082591700.0,1051439200.0
2028.0,988065100.0,1066367940.0,1062366100.0,999485760.0,1014897600.0,1091172700.0,994154900.0,1041663100.0,1072063550.0,1038808400.0
2029.0,969994000.0,1053331300.0,1042302400.0,985653700.0,1002825860.0,1073011260.0,979998100.0,1027006850.0,1060894300.0,1041016960.0
2030.0,963241500.0,1048101900.0,1040577150.0,963147500.0,983379900.0,1063528800.0,968577660.0,1017728300.0,1055692400.0,1020709000.0
2031.0,968641540.0,1052762900.0,1006856300.0,951079300.0,969253000.0,1055736900.0,949885900.0,1007355460.0,1048232060.0,1008603800.0
2032.0,956032800.0,1042525630.0,996860300.0,919402430.0,936625800.0,1045852100.0,938494800.0,994752300.0,1041107800.0,993936600.0
2033.0,963241540.0,1036791600.0,982119600.0,910291800.0,957910140.0,1036966850.0,922441300.0,1022310660.0,1046821570.0,973072300.0
2034.0,930509900.0,1031105500.0,967082300.0,882223700.0,908552600.0,1080449400.0,918935200.0,986532700.0,1072335500.0,953351500.0
2035.0,912896800.0,1021633540.0,951810600.0,852806500.0,879916740.0,1087410000.0,896172350.0,968662700.0,1038530600.0,938060200.0
2036.0,899215200.0,1028038140.0,934850050.0,833633000.0,858164540.0,1026759230.0,883291460.0,966892300.0,1031827200.0,927199700.0
2037.0,891155700.0,1027129150.0,917572600.0,814738560.0,842250050.0,1012193700.0,869483840.0,954599230.0,1091509800.0,913360830.0
2038.0,878061250.0,1021885800.0,913225300.0,793278200.0,815859400.0,1003154750.0,851464960.0,941834000.0,1047351740.0,912901250.0
2039.0,867731460.0,1015252300.0,903899460.0,759918500.0,788289400.0,1007893570.0,833484860.0,933849000.0,1027460740.0,892603840.0
2040.0,855319000.0,1010004900.0,886230660.0,736706240.0,761398800.0,1035925700.0,809165500.0,922501200.0,1028254600.0,882290800.0
2041.0,838043900.0,995781950.0,863242500.0,718546900.0,736636160.0,1033573600.0,792742500.0,902702340.0,1018950140.0,880428350.0
2042.0,820405000.0,989276160.0,852725060.0,707338100.0,716022300.0,993789200.0,780274400.0,886561540.0,1007382700.0,855500160.0
2043.0,831626300.0,984083700.0,839245400.0,696317630.0,697505300.0,978336640.0,762906000.0,879392900.0,1006937400.0,834833900.0
2044.0,807865900.0,978327700.0,810856060.0,677272770.0,706753300.0,972366460.0,748354700.0,870046700.0,995659200.0,822073400.0
2045.0,822342850.0,975166900.0,796436200.0,661250900.0,721583040.0,956159600.0,730436860.0,852862600.0,986754700.0,802607900.0
2046.0,801010000.0,976829060.0,788450100.0,636767600.0,691440260.0,945602000.0,868457860.0,854019000.0,980296900.0,780664300.0
2047.0,793188800.0,967011260.0,783252100.0,614510400.0,676106200.0,931633150.0,768842560.0,823728200.0,974921000.0,759700300.0
2048.0,783645760.0,968107900.0,776490750.0,597297540.0,651723460.0,906146300.0,737557250.0,801422600.0,993977600.0,749089900.0
2049.0,776610600.0,998551360.0,758265400.0,587185400.0,639136600.0,892167200.0,718000260.0,780137500.0,961452740.0,743451650.0
2050.0,765837400.0,957364100.0,746906400.0,570560450.0,629450430.0,874925800.0,743625100.0,759981400.0,950802200.0,730045700.0
2051.0,758551900.0,944315650.0,741621760.0,562349760.0,626933000.0,861138050.0,701523600.0,746747650.0,943462140.0,715750500.0
2052.0,763459100.0,940565570.0,727497000.0,554412300.0,613994500.0,856222600.0,694776600.0,731671900.0,937883300.0,701191900.0
2053.0,743835970.0,936706500.0,754709570.0,538662400.0,601350900.0,833794200.0,675272640.0,711512060.0,932951000.0,678622850.0
2054.0,737790850.0,929934660.0,728074750.0,525790100.0,585251260.0,817844860.0,676284540.0,688975900.0,925481200.0,666721660.0
2055.0,730912800.0,921877200.0,740573100.0,518418020.0,565732600.0,801970500.0,662105340.0,677940800.0,919432600.0,657770800.0
2056.0,722933400.0,948192300.0,723080800.0,518447360.0,553812100.0,779803300.0,660194940.0,672559700.0,901196300.0,645474240.0
2057.0,711077300.0,925525600.0,719585700.0,506281400.0,547011300.0,756062100.0,652583200.0,657147200.0,884482940.0,637253900.0
2058.0,701794100.0,909216450.0,710929000.0,496856320.0,534692260.0,738055200.0,651347600.0,641636350.0,872561100.0,621232600.0
2059.0,692297800.0,898464500.0,696496200.0,490584420.0,525527330.0,731638000.0,645929000.0,623449860.0,861986300.0,598159550.0
2060.0,680770200.0,886937540.0,686772300.0,478211520.0,514261630.0,715863040.0,633518000.0,622993300.0,850866050.0,591076600.0
