time,CESM1-CAM5,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40392536000.0,40426897000.0,40404496000.0,40465617000.0
2022.0,40331317000.0,40377860000.0,40381362000.0,40377190000.0
2023.0,40258822000.0,40351662000.0,40318743000.0,40331440000.0
2024.0,40162660000.0,40371745000.0,40266527000.0,40325812000.0
2025.0,40057725000.0,40333005000.0,40203424000.0,40275083000.0
2026.0,39980466000.0,40263426000.0,40170865000.0,40209800000.0
2027.0,39883580000.0,40206135000.0,40114196000.0,40145908000.0
2028.0,39774370000.0,40303276000.0,40096547000.0,40180900000.0
2029.0,39657796000.0,40176914000.0,40017228000.0,40075903000.0
2030.0,39503675000.0,40121926000.0,39990014000.0,40002224000.0
2031.0,39360102000.0,40050676000.0,39932723000.0,39953650000.0
2032.0,39187700000.0,40024930000.0,39887745000.0,39898382000.0
2033.0,38976640000.0,39960180000.0,39832117000.0,39822766000.0
2034.0,38792364000.0,39906710000.0,39804146000.0,39786566000.0
2035.0,38634840000.0,39910294000.0,39739757000.0,39724913000.0
2036.0,38408580000.0,39812130000.0,39675204000.0,39652680000.0
2037.0,38180745000.0,39801270000.0,39600865000.0,39577450000.0
2038.0,37881180000.0,39715684000.0,39520150000.0,39494090000.0
2039.0,37600453000.0,39638716000.0,39449950000.0,39444464000.0
2040.0,37285380000.0,39596683000.0,39355260000.0,39353623000.0
2041.0,36960666000.0,39509510000.0,39265340000.0,39282913000.0
2042.0,36686676000.0,39435460000.0,39158452000.0,39256687000.0
2043.0,36303426000.0,39374606000.0,39084204000.0,39125578000.0
2044.0,35906417000.0,39323013000.0,38992540000.0,39186526000.0
2045.0,35522520000.0,39217070000.0,38899433000.0,39022916000.0
2046.0,35125137000.0,39141520000.0,38747996000.0,38912918000.0
2047.0,34709234000.0,39031575000.0,38601822000.0,38848730000.0
2048.0,34296940000.0,38923395000.0,38467817000.0,38725104000.0
2049.0,33937844000.0,38832742000.0,38346060000.0,38696923000.0
2050.0,33467912000.0,38739223000.0,38209114000.0,38551327000.0
2051.0,33028290000.0,38638047000.0,38057103000.0,38451840000.0
2052.0,32562086000.0,38534420000.0,37934543000.0,38386480000.0
2053.0,32005240000.0,38722507000.0,37799940000.0,38237946000.0
2054.0,31545522000.0,38483067000.0,37638190000.0,38182715000.0
2055.0,31055917000.0,38281912000.0,37486756000.0,38050940000.0
2056.0,30427777000.0,38178610000.0,37334100000.0,37943173000.0
2057.0,29863030000.0,38023725000.0,37156745000.0,37794652000.0
2058.0,29409851000.0,37932655000.0,36974735000.0,37714424000.0
