time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40480362000.0,40463905000.0,40468455000.0
2022.0,40433324000.0,40433820000.0,40457036000.0
2023.0,40442540000.0,40382886000.0,40418304000.0
2024.0,40517220000.0,40373408000.0,40397410000.0
2025.0,40452310000.0,40301740000.0,40317706000.0
2026.0,40423666000.0,40248360000.0,40347607000.0
2027.0,40321860000.0,40254743000.0,40238182000.0
2028.0,40271364000.0,40189657000.0,40391975000.0
2029.0,40203694000.0,40256310000.0,40196833000.0
2030.0,40260477000.0,40151716000.0,40294986000.0
2031.0,40132088000.0,40073020000.0,40123190000.0
2032.0,40088932000.0,40023650000.0,40101097000.0
2033.0,40044024000.0,39961420000.0,40022843000.0
2034.0,39989703000.0,39914560000.0,39971610000.0
2035.0,39917430000.0,39857852000.0,39922060000.0
2036.0,40007262000.0,39842075000.0,39884235000.0
2037.0,39821840000.0,39763878000.0,39841640000.0
2038.0,39734330000.0,39714095000.0,39765510000.0
2039.0,39646523000.0,39637295000.0,39679623000.0
2040.0,39548350000.0,39560344000.0,39605772000.0
2041.0,39469140000.0,39560622000.0,39558260000.0
2042.0,39385630000.0,39453190000.0,39551988000.0
2043.0,39277416000.0,39354626000.0,39419945000.0
2044.0,39189090000.0,39266730000.0,39325670000.0
2045.0,39072236000.0,39199510000.0,39260086000.0
2046.0,38984890000.0,39094428000.0,39150750000.0
2047.0,38884840000.0,39011914000.0,39039324000.0
2048.0,38739650000.0,38933180000.0,39002910000.0
2049.0,38629212000.0,38840467000.0,38859010000.0
2050.0,38522618000.0,38739080000.0,38737146000.0
2051.0,38371226000.0,38646280000.0,38623867000.0
2052.0,38230620000.0,38549370000.0,38508330000.0
2053.0,38026162000.0,38418290000.0,38392820000.0
2054.0,37838705000.0,38293983000.0,38269180000.0
2055.0,37699408000.0,38152606000.0,38120186000.0
2056.0,37498870000.0,38053528000.0,37992000000.0
2057.0,37330280000.0,37922554000.0,37874393000.0
2058.0,37142802000.0,37749760000.0,37709185000.0
2059.0,36942164000.0,37645996000.0,37556090000.0
2060.0,36796480000.0,37467652000.0,37411540000.0
2061.0,36542448000.0,37300440000.0,37320770000.0
2062.0,36211597000.0,37123486000.0,37124100000.0
2063.0,35971564000.0,36940804000.0,36929870000.0
2064.0,35675550000.0,36791288000.0,36759660000.0
2065.0,35409290000.0,36631330000.0,36561680000.0
2066.0,35143930000.0,36445400000.0,36388920000.0
2067.0,34993670000.0,36233736000.0,36179480000.0
2068.0,34674250000.0,35984253000.0,35937247000.0
2069.0,34397470000.0,35740398000.0,35748598000.0
2070.0,34157510000.0,35493904000.0,35601840000.0
2071.0,33866535000.0,35267940000.0,35359756000.0
2072.0,33602105000.0,35013570000.0,35091970000.0
2073.0,33310224000.0,34771610000.0,34827936000.0
2074.0,32992905000.0,34470236000.0,34605535000.0
