time,CAMS-CSM1-0,BCC-CSM2-MR,NORESM2-MM,ACCESS-ESM1-5,FGOALS-F3-L,INM-CM4-8,ACCESS-CM2,EC-EARTH3,IPSL-CM6A-LR,INM-CM5-0,MPI-ESM1-2-HR,CESM2-WACCM,CESM2,EC-EARTH3-VEG,CANESM5,GFDL-ESM4,MRI-ESM2-0
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84857545000.0,84963250000.0,84736150000.0,84768800000.0,84750970000.0,85088770000.0,85823414000.0,84841190000.0,85568960000.0,84966260000.0,84851280000.0,84790050000.0,84827510000.0,84885290000.0,84765030000.0,84832410000.0,84869050000.0
2022.0,84915210000.0,84482140000.0,84618600000.0,84389470000.0,84615545000.0,84598100000.0,85087790000.0,84955365000.0,84881010000.0,84685020000.0,85007500000.0,84412540000.0,84629750000.0,84617404000.0,84398670000.0,84373380000.0,84663680000.0
