time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2059.0,24795943000000.0,21815003000000.0,26043845000000.0,24506290000000.0,25131422000000.0
2060.0,24679734000000.0,21590180000000.0,26024274000000.0,24377985000000.0,25081151000000.0
2061.0,24570057000000.0,21420627000000.0,25884168000000.0,24329314000000.0,25032710000000.0
2062.0,24506198000000.0,21218772000000.0,25840797000000.0,24178393000000.0,24935830000000.0
2063.0,24542775000000.0,20977350000000.0,25749330000000.0,24081066000000.0,24886488000000.0
2064.0,24556008000000.0,20676258000000.0,25732978000000.0,23906484000000.0,24921793000000.0
2065.0,24590336000000.0,20443115000000.0,25665426000000.0,23774603000000.0,24813865000000.0
2066.0,24520010000000.0,20262303000000.0,25578583000000.0,23606835000000.0,24788169000000.0
2067.0,24495900000000.0,20053360000000.0,25503268000000.0,23415250000000.0,24717294000000.0
2068.0,24426420000000.0,19847042000000.0,25474063000000.0,23286109000000.0,24640414000000.0
2069.0,24389333000000.0,19562559000000.0,25369487000000.0,23181539000000.0,24563184000000.0
2070.0,24330275000000.0,19320920000000.0,25310322000000.0,23118488000000.0,24519874000000.0
2071.0,24183736000000.0,19034754000000.0,25292087000000.0,22866412000000.0,24441520000000.0
2072.0,24074487000000.0,18743344000000.0,25297938000000.0,22611604000000.0,24365196000000.0
2073.0,24006453000000.0,18415037000000.0,25220930000000.0,22442769000000.0,24311290000000.0
2074.0,23840468000000.0,18146392000000.0,25196918000000.0,22266924000000.0,24301156000000.0
2075.0,23833814000000.0,17839405000000.0,25189662000000.0,22071623000000.0,24201965000000.0
2076.0,23815258000000.0,17537989000000.0,25147190000000.0,21977486000000.0,24114958000000.0
2077.0,23571017000000.0,17160731000000.0,25052815000000.0,21695117000000.0,24081470000000.0
2078.0,23460202000000.0,16842895000000.0,24948680000000.0,21404430000000.0,24042094000000.0
2079.0,23334754000000.0,16455745000000.0,24868238000000.0,21250756000000.0,23932114000000.0
2080.0,23201660000000.0,16138636000000.0,24849860000000.0,21050547000000.0,23840374000000.0
2081.0,22949722000000.0,15851856000000.0,24760304000000.0,20799054000000.0,23751297000000.0
2082.0,22805085000000.0,15512338000000.0,24700797000000.0,20504488000000.0,23689733000000.0
2083.0,22768756000000.0,15234981000000.0,24638076000000.0,20259216000000.0,23640666000000.0
2084.0,22596247000000.0,14912166000000.0,24565840000000.0,20015753000000.0,23518033000000.0
2085.0,22479393000000.0,14591165000000.0,24569522000000.0,19797500000000.0,23386177000000.0
2086.0,22426075000000.0,14255805000000.0,24515145000000.0,19591462000000.0,23337575000000.0
2087.0,22370740000000.0,13927238000000.0,24430412000000.0,19302214000000.0,23230432000000.0
2088.0,22199784000000.0,13605043000000.0,24316027000000.0,19036019000000.0,23121914000000.0
2089.0,22155224000000.0,13264403000000.0,24289558000000.0,18776888000000.0,23052633000000.0
2090.0,21980187000000.0,12893946000000.0,24177262000000.0,18529435000000.0,22958651000000.0
2091.0,21798284000000.0,12584686000000.0,24127109000000.0,18242339000000.0,22909050000000.0
2092.0,21593638000000.0,12208130000000.0,24059330000000.0,17903567000000.0,22820887000000.0
2093.0,21386770000000.0,11835412000000.0,24034952000000.0,17648518000000.0,22727590000000.0
2094.0,21194626000000.0,11508219000000.0,24045427000000.0,17402831000000.0,22672543000000.0
2095.0,21119032000000.0,11170390000000.0,23933175000000.0,17116286000000.0,22648330000000.0
2096.0,20920716000000.0,10856337000000.0,23872093000000.0,16837900000000.0,22596550000000.0
2097.0,20709361000000.0,10505466000000.0,23810844000000.0,16541239000000.0,22506070000000.0
2098.0,20540153000000.0,10200567000000.0,23782964000000.0,16221942000000.0,22413752000000.0
2099.0,20408516000000.0,9917949000000.0,23738156000000.0,15918162000000.0,22306626000000.0
2100.0,20294677000000.0,9611254000000.0,23649847000000.0,15646079000000.0,22248964000000.0
