time,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0,27493623000000.0
2001.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0,27481302000000.0
2002.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0,27463627000000.0
2003.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0,27451193000000.0
2004.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0,27403546000000.0
2005.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0,27437778000000.0
2006.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0,27403554000000.0
2007.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0,27413229000000.0
2008.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0,27324538000000.0
2009.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0,27256441000000.0
2010.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0,27147430000000.0
2011.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0,27079242000000.0
2012.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0,26997130000000.0
2013.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0,26870853000000.0
2014.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0,26930728000000.0
2015.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0,26891400000000.0
2016.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0,26801055000000.0
2017.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0,26791224000000.0
2018.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0,26773000000000.0
2019.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0,26781644000000.0
2020.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0,26798316000000.0
2021.0,26721950000000.0,26780799000000.0,26793155000000.0,26713103000000.0,26816792000000.0
2022.0,26686807000000.0,26789173000000.0,26741335000000.0,26660693000000.0,26762505000000.0
2023.0,26652230000000.0,26799333000000.0,26671764000000.0,26657614000000.0,26732793000000.0
2024.0,26615277000000.0,26776480000000.0,26642508000000.0,26673700000000.0,26736637000000.0
2025.0,26614063000000.0,26712453000000.0,26591676000000.0,26649832000000.0,26694082000000.0
2026.0,26571370000000.0,26679278000000.0,26540392000000.0,26625752000000.0,26681540000000.0
2027.0,26554554000000.0,26637911000000.0,26537382000000.0,26521658000000.0,26635621000000.0
2028.0,26506615000000.0,26620081000000.0,26501460000000.0,26528771000000.0,26624655000000.0
2029.0,26434970000000.0,26588507000000.0,26410102000000.0,26507905000000.0,26634967000000.0
2030.0,26419500000000.0,26574150000000.0,26337274000000.0,26504218000000.0,26608975000000.0
2031.0,26402988000000.0,26510526000000.0,26226080000000.0,26451220000000.0,26545148000000.0
2032.0,26336976000000.0,26469697000000.0,26142916000000.0,26386828000000.0,26530804000000.0
2033.0,26298347000000.0,26470483000000.0,26067500000000.0,26361893000000.0,26466547000000.0
2034.0,26308898000000.0,26430583000000.0,25968770000000.0,26304129000000.0,26466136000000.0
2035.0,26254050000000.0,26426265000000.0,25897493000000.0,26235057000000.0,26431460000000.0
2036.0,26242603000000.0,26413508000000.0,25752523000000.0,26197663000000.0,26367238000000.0
2037.0,26183568000000.0,26389804000000.0,25601098000000.0,26100487000000.0,26392725000000.0
2038.0,26192755000000.0,26375075000000.0,25457095000000.0,26071576000000.0,26357518000000.0
2039.0,26177373000000.0,26366825000000.0,25367719000000.0,25997362000000.0,26333820000000.0
2040.0,26177220000000.0,26311465000000.0,25262945000000.0,26012933000000.0,26248626000000.0
2041.0,26158536000000.0,26275160000000.0,25197930000000.0,25994052000000.0,26182165000000.0
2042.0,26137367000000.0,26198615000000.0,25059850000000.0,26102450000000.0,26101995000000.0
2043.0,26110274000000.0,26153220000000.0,24928707000000.0,25975075000000.0,25996265000000.0
2044.0,26016582000000.0,26079893000000.0,24849873000000.0,25790478000000.0,25912504000000.0
2045.0,26005312000000.0,26030239000000.0,24717778000000.0,25811866000000.0,25896669000000.0
2046.0,26002093000000.0,25983193000000.0,24603043000000.0,25785954000000.0,25848657000000.0
2047.0,25992477000000.0,25897760000000.0,24453342000000.0,25711474000000.0,25865810000000.0
2048.0,25945612000000.0,25835765000000.0,24296389000000.0,25568632000000.0,25866065000000.0
2049.0,25847172000000.0,25768573000000.0,24151455000000.0,25473690000000.0,25794479000000.0
2050.0,25771773000000.0,25693895000000.0,24015482000000.0,25523370000000.0,25712126000000.0
2051.0,25776102000000.0,25682550000000.0,23848133000000.0,25443504000000.0,25681723000000.0
2052.0,25763965000000.0,25575220000000.0,23690140000000.0,25390586000000.0,25639696000000.0
2053.0,25709735000000.0,25532250000000.0,23512832000000.0,25247542000000.0,25644019000000.0
2054.0,25687572000000.0,25464119000000.0,23402318000000.0,25177318000000.0,25596920000000.0
2055.0,25705889000000.0,25354691000000.0,23191085000000.0,25063244000000.0,25538450000000.0
2056.0,25664365000000.0,25322202000000.0,23013563000000.0,24951930000000.0,25550035000000.0
2057.0,25527880000000.0,25299561000000.0,22838742000000.0,24943698000000.0,25538029000000.0
2058.0,25483352000000.0,25284422000000.0,22673174000000.0,24970516000000.0,25489998000000.0
