time,GFDL-CM3,CCSM4,NORESM1-M,GFDL-ESM2G,CNRM-CM5,IPSL-CM5A-LR,CESM1-CAM5,CANESM2,CSIRO-MK3-6-0,MPI-ESM-LR,GISS-E2-R
2000.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0,1141216300.0
2001.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0,1137683800.0
2002.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0,1146079100.0
2003.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0,1144961400.0
2004.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0,1152996400.0
2005.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0,1168947600.0
2006.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0,1170152100.0
2007.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0,1159079000.0
2008.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0,1154137300.0
2009.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0,1152215600.0
2010.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0,1169344000.0
2011.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0,1148443100.0
2012.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0,1147433700.0
2013.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0,1140791900.0
2014.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0,1138924000.0
2015.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0,1131808000.0
2016.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0,1124786000.0
2017.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0,1121599200.0
2018.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0,1114045300.0
2019.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0,1104197500.0
2020.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0,1093194400.0
2021.0,1074772400.0,1077504600.0,1077242100.0,1086214300.0,1081519100.0,1096267500.0,1088839800.0,1083368000.0,1084961700.0,1081754800.0,1080786300.0
2022.0,1070752800.0,1065834900.0,1067989300.0,1083196200.0,1075894700.0,1080975200.0,1079688700.0,1092203500.0,1073220740.0,1116499000.0,1082578200.0
2023.0,1049762750.0,1052186800.0,1054834400.0,1062330700.0,1059523400.0,1066558400.0,1103383400.0,1098600800.0,1061357000.0,1097072400.0,1072276030.0
2024.0,1028728770.0,1045207800.0,1045388700.0,1051823000.0,1057477100.0,1064307000.0,1068582850.0,1066462500.0,1049809600.0,1069252100.0,1049347140.0
2025.0,1008904200.0,1032591940.0,1024519500.0,1030326200.0,1046960700.0,1051613300.0,1046023740.0,1054627650.0,1029263940.0,1061122300.0,1051939650.0
2026.0,997436800.0,1034502660.0,1005577700.0,1014967200.0,1027651300.0,1045834100.0,1035887900.0,1046339700.0,1013802050.0,1089647700.0,1027627100.0
2027.0,967112640.0,1025518500.0,978014400.0,992812350.0,1024381950.0,1027458700.0,1025178800.0,1069145400.0,1008378200.0,1043048300.0,1021829900.0
2028.0,937536060.0,1001101630.0,955955100.0,969531500.0,1000879200.0,1008285250.0,1005090000.0,1030660300.0,998389100.0,1029063600.0,1009890240.0
2029.0,901687940.0,973425300.0,935861760.0,939327100.0,1004321600.0,997627400.0,988703170.0,1009386750.0,981886100.0,1012302000.0,991467460.0
