time,MRI-ESM2-0,IPSL-CM6A-LR
2000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0
2021.0,148707940701000.0,148690100417000.0
2022.0,148484795897000.0,147948879197000.0
2023.0,148062151622000.0,147577692963000.0
2024.0,147274543043000.0,147357717025000.0
2025.0,146470663254000.0,146784358614000.0
2026.0,145965151652000.0,146407415277000.0
2027.0,145335741185000.0,145725585528000.0
2028.0,144658691234000.0,145164689608000.0
2029.0,144215806843000.0,144697962924000.0
2030.0,143626126897000.0,144109614737000.0
2031.0,142978834188000.0,143507885102000.0
2032.0,142239745977000.0,142946749865000.0
2033.0,141480304712000.0,142232993040000.0
2034.0,140705769555000.0,141502544395000.0
2035.0,140015357266000.0,140992667303000.0
2036.0,139095365352000.0,140334143354000.0
2037.0,138188171522000.0,139625348945000.0
2038.0,137530865569000.0,138962201419000.0
2039.0,136929830445000.0,138168526861000.0
2040.0,136263852035000.0,137508894547000.0
2041.0,135534916859000.0,136979910251000.0
2042.0,134664565000000.0,136239866975000.0
2043.0,133950736200000.0,135426886947000.0
2044.0,133140472488000.0,134634527547000.0
2045.0,132416804300000.0,133993592761000.0
2046.0,131498870067000.0,133279722523000.0
2047.0,130541638215000.0,132567324844000.0
2048.0,129618613088000.0,131748300131000.0
2049.0,128678934549000.0,130743163295000.0
2050.0,127828873711000.0,129965152005000.0
2051.0,126944658087000.0,128963017580000.0
2052.0,125906536947000.0,127820887127000.0
2053.0,125159070889000.0,126719418535000.0
2054.0,124360653880000.0,125720941584000.0
2055.0,123526354251000.0,124661935820000.0
2056.0,122566731861000.0,123630308170000.0
2057.0,121696449542000.0,122720006676000.0
2058.0,120744180709000.0,121798501698000.0
2059.0,119849978358000.0,120672679388000.0
2060.0,119003374254000.0,119545041483000.0
2061.0,118074725034000.0,118429758342000.0
2062.0,117118105283000.0,117335582246000.0
2063.0,116195508188000.0,116201551289000.0
2064.0,115201863273000.0,115041412594000.0
2065.0,114349368965000.0,113867812281000.0
2066.0,113591858739000.0,112869172656000.0
2067.0,112715971231000.0,111882735977000.0
2068.0,111856323723000.0,110714546112700.0
2069.0,111246612284000.0,109587672133300.0
2070.0,110337823483000.0,108478407075000.0
2071.0,109534483816000.0,107416445603500.0
2072.0,108683113640000.0,106159591127300.0
2073.0,107887878390000.0,104964463030500.0
2074.0,107008794922000.0,103906592026900.0
2075.0,106200121104000.0,102859193015100.0
2076.0,105246515549000.0,101787695969000.0
2077.0,104596158453000.0,100583989873000.0
2078.0,103745950306000.0,99513176156300.0
2079.0,102745319717000.0,98252626289800.0
2080.0,101958011297000.0,96953553143200.0
2081.0,101170050623000.0,95816577905000.0
2082.0,100392126809000.0,94795729895700.0
2083.0,99671250874400.0,93463698485200.0
2084.0,98941815470600.0,92367064334800.0
2085.0,98161805319500.0,91238849440300.0
2086.0,97294237319700.0,90087140944000.0
2087.0,96297687205500.0,88968993075900.0
2088.0,95483488733000.0,87964500599800.0
2089.0,94419618465000.0,87060388472100.0
2090.0,93617963279000.0,86019940034800.0
2091.0,92677070805000.0,85097934415900.0
2092.0,91868315260900.0,84023207206100.0
2093.0,91154230544900.0,83018578291300.0
2094.0,90565923262900.0,82122680284600.0
2095.0,89722425597600.0,81279133740700.0
2096.0,88954125651400.0,80216686577700.0
2097.0,88214165694000.0,79211698419500.0
2098.0,87569202849600.0,78267740398500.0
2099.0,86895951177200.0,77216461983300.0
2100.0,86286955024100.0,76048984725400.0
