time,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,CNRM-ESM2-1,UKESM1-0-LL
2000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0
2021.0,148934582970000.0,148967944190000.0,148673941873000.0,149017278935000.0,148790883705000.0
2022.0,148172457751000.0,148632584638000.0,147908094249000.0,148469181652000.0,148042001085000.0
2023.0,147693845235000.0,147752186860000.0,146992618712000.0,147933124630000.0,147126512644000.0
2024.0,147274248605000.0,147039609842000.0,146056769414000.0,147434137296000.0,146345457783000.0
2025.0,146649941796000.0,146479378263000.0,144939312933000.0,146926515683000.0,145407188114000.0
2026.0,145900504547000.0,145924399994000.0,144184764608000.0,146499528872000.0,144623013625000.0
2027.0,145428062285000.0,145353141828000.0,143335731901000.0,145865316900000.0,143686294599000.0
2028.0,144743673571000.0,144696402820000.0,142251179187000.0,145258213688000.0,142561576269000.0
2029.0,144112203775000.0,144112381672000.0,141131660945000.0,144582853558000.0,141571921045000.0
2030.0,143359796598000.0,143645320380000.0,140338259314000.0,144248175271000.0,140724279919000.0
2031.0,142457844127000.0,142871198500000.0,139244503228000.0,143446279438000.0,139685898433000.0
2032.0,141656005592000.0,142184830951000.0,138194792177000.0,142735876449000.0,138635506896000.0
2033.0,141034961237000.0,141565188349000.0,137235544264000.0,142033196621000.0,137317171897000.0
2034.0,140433691231000.0,140838261050000.0,136190137088000.0,141191681250000.0,136115812231000.0
2035.0,139944960953000.0,140153843104000.0,135129384672000.0,140398161340000.0,134883707131000.0
2036.0,139438188897000.0,139535880051000.0,134106975922000.0,139885279560000.0,133731271298000.0
2037.0,138827362943000.0,138782743155000.0,133092787666000.0,138961666685000.0,132470600881000.0
2038.0,138148646999000.0,137871773277000.0,131987846811000.0,138177413643000.0,131348791430000.0
2039.0,137451198722000.0,137017346782000.0,130830703880000.0,137376223447000.0,130134640288000.0
2040.0,136586736277000.0,136288836532000.0,129863667497000.0,136704541911000.0,128828679308000.0
2041.0,135773186645000.0,135328029344000.0,128724208646000.0,135929314622000.0,127364740648000.0
2042.0,135092810933000.0,134350181109000.0,127361911576000.0,135140188786000.0,125754454669000.0
2043.0,134166651605000.0,133327815891000.0,126082698190000.0,134261260290000.0,124238485424000.0
2044.0,133219399742000.0,132569365277000.0,124796678586000.0,133481875858000.0,122502895355000.0
2045.0,132320876327000.0,131569425650000.0,123704016546000.0,132488005356000.0,120986437410000.0
2046.0,131251766859000.0,130733675213000.0,122518360027000.0,131656017157000.0,119419263595000.0
2047.0,130377452888000.0,129722177201000.0,121383385323000.0,130879291810000.0,117756924555000.0
2048.0,129375302492000.0,128731974553000.0,119995331066000.0,130024197856000.0,116010541575000.0
2049.0,128440919330000.0,127812659479000.0,118785292100000.0,129052375016000.0,114474427819000.0
2050.0,127632911550000.0,126814621233000.0,117590140857000.0,128289393846000.0,112885147606000.0
2051.0,126787216325000.0,125847357216000.0,116462321108000.0,127234097324000.0,111292411851000.0
2052.0,125875100917000.0,124900642349000.0,115254282832000.0,126292645857000.0,109645886948500.0
2053.0,124962563502000.0,123743452551000.0,114091516553000.0,125487430587000.0,108051953585300.0
2054.0,123981176404000.0,122650787242000.0,112935524839600.0,124711875309000.0,106395649614000.0
2055.0,122921624923000.0,121735533518000.0,111671930710600.0,123662996505000.0,104714260304700.0
2056.0,121897544965000.0,120885538890000.0,110542433562700.0,122778213025000.0,102915635684800.0
2057.0,121048607604000.0,119981234330000.0,109245214051300.0,121968728884000.0,101186885668600.0
2058.0,119968118277000.0,118956891747000.0,108103157556500.0,120789381015000.0,99624613571300.0
2059.0,118987155985000.0,118036164782000.0,106965436963500.0,119771020748000.0,98327156595000.0
2060.0,118000812640000.0,117370655964000.0,105619893721200.0,118715817760000.0,96786161668800.0
2061.0,116838427889000.0,116411696377000.0,104510326559100.0,117870044177000.0,95187325117700.0
2062.0,115820554969000.0,115589923876000.0,103298068869800.0,117046048570000.0,93444529453700.0
2063.0,114699086348000.0,114982702475000.0,102102374259300.0,116030187665400.0,91951562224000.0
2064.0,113786606376000.0,114040348323000.0,100950246796900.0,114812887408000.0,90618304584300.0
2065.0,112848398370000.0,113258581053000.0,99860928308300.0,113604683828000.0,89102551604500.0
2066.0,111953080705000.0,112391711413000.0,98695802339900.0,112517693589000.0,87774361442400.0
2067.0,110916736297000.0,111755667975000.0,97700095670500.0,111509678880000.0,86343700222000.0
2068.0,110026607669000.0,111248977163000.0,96587836533700.0,110369990463000.0,85002915830000.0
2069.0,108957124075700.0,110734091454000.0,95434100705800.0,109486647287000.0,83714971225700.0
2070.0,108026483828000.0,110084850833000.0,94520577022600.0,108537786788500.0,82463902526600.0
2071.0,107205910019300.0,109346229545000.0,93693594950400.0,107361215736000.0,81273975990000.0
2072.0,106364615171000.0,108491207333000.0,92665370993300.0,106103725642400.0,80122824712700.0
