time,NORESM1-M,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,GISS-E2-R,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2312240600.0,2299896800.0,2284050700.0,2263696000.0,2282172000.0,2312292400.0,2301573000.0
2022.0,2284875500.0,2289093400.0,2273840000.0,2245104600.0,2280334300.0,2279493000.0,2266315300.0
2023.0,2257003000.0,2254438100.0,2259932700.0,2211342800.0,2259499300.0,2281304800.0,2256938200.0
2024.0,2209462000.0,2289480200.0,2226101800.0,2291679000.0,2321374500.0,2257893600.0,2237658600.0
2025.0,2186270000.0,2271762000.0,2205966800.0,2153462800.0,2270225400.0,2261803800.0,2215726800.0
2026.0,2161692700.0,2238614300.0,2187471600.0,2106207000.0,2205910000.0,2266490400.0,2195765800.0
2027.0,2144129000.0,2189793800.0,2162568000.0,2061761900.0,2166153700.0,2205550000.0,2175610400.0
2028.0,2122170600.0,2185654500.0,2136358000.0,2013612900.0,2144610400.0,2185618200.0,2140057100.0
2029.0,2122429700.0,2154414300.0,2115360000.0,1969914200.0,2134730000.0,2312812300.0,2105699300.0
2030.0,2047868500.0,2180420400.0,2190760400.0,1918805200.0,2119240400.0,2210592800.0,2055214200.0
2031.0,2010587900.0,2150270700.0,2075068500.0,1870428500.0,2100735500.0,2193307100.0,2021318500.0
2032.0,1953382700.0,2098444800.0,2045407500.0,1833461600.0,2070554600.0,2168809500.0,1996860300.0
2033.0,1921006600.0,2115578200.0,2028985600.0,1778463700.0,2029459300.0,2145662700.0,2003541600.0
2034.0,1893321200.0,2049758000.0,1973905500.0,1734375600.0,1996243800.0,2114368400.0,1921718700.0
2035.0,1882373500.0,2031668200.0,1954795400.0,1676281500.0,2043080300.0,2149629700.0,1865757400.0
2036.0,1842985000.0,2042059300.0,1948535700.0,1623270500.0,1959643600.0,2075282600.0,1853676000.0
2037.0,1798480300.0,2002763600.0,1890202800.0,1566889600.0,1953627900.0,2054267400.0,1787093500.0
2038.0,1791914900.0,1975890700.0,1861332200.0,1535731300.0,1935018600.0,2003967200.0,1740023700.0
2039.0,1737627100.0,1915786600.0,1829235500.0,1470785800.0,1879776000.0,1979640700.0,1694938500.0
2040.0,1726246000.0,1899205200.0,1784139100.0,1421809400.0,1875503600.0,2017633000.0,1642365400.0
2041.0,1665046700.0,1959617200.0,1746945900.0,1360637800.0,1865583600.0,1989966500.0,1599991900.0
2042.0,1624729000.0,1872042500.0,1717250300.0,1298890400.0,1817689000.0,2025046400.0,1551685600.0
2043.0,1605310500.0,1842967900.0,1741417000.0,1243283000.0,1795888300.0,1901246700.0,1502826500.0
2044.0,1551286700.0,1795135600.0,1649404800.0,1197416700.0,1773048000.0,1913280100.0,1491668400.0
2045.0,1515136500.0,1771002100.0,1610647900.0,1142665300.0,1768997600.0,1883737900.0,1423489500.0
2046.0,1478457700.0,1738237200.0,1627642900.0,1084180000.0,1701698300.0,1834716700.0,1385212900.0
2047.0,1542722000.0,1697135100.0,1558832100.0,1034606800.0,1672828700.0,1791328400.0,1323268000.0
