time,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2309342000.0,2293885200.0,2264808200.0,2321072000.0,2281986000.0,2288883000.0,2341634800.0,2278463500.0,2307432200.0,2333162000.0
2022.0,2279463000.0,2259446500.0,2236359400.0,2315150800.0,2262951700.0,2316901600.0,2289219600.0,2291224600.0,2276135000.0,2326611000.0
2023.0,2290396200.0,2282837000.0,2201978000.0,2278749000.0,2240008400.0,2252545800.0,2248121000.0,2276957000.0,2280659000.0,2253059000.0
2024.0,2305642800.0,2234520600.0,2174740500.0,2245296400.0,2210591700.0,2269602800.0,2256340700.0,2214115600.0,2244698400.0,2282655200.0
2025.0,2236356400.0,2197194500.0,2135510700.0,2213571300.0,2163860500.0,2245145000.0,2267532800.0,2203157200.0,2229120000.0,2273577000.0
2026.0,2204872700.0,2148258800.0,2095985800.0,2180717600.0,2131476700.0,2242027300.0,2232391200.0,2241943300.0,2239320800.0,2284798700.0
2027.0,2171960800.0,2081499800.0,2068821200.0,2182502100.0,2082774400.0,2196188200.0,2191560200.0,2196829000.0,2223584000.0,2235389200.0
2028.0,2164621300.0,2060432300.0,2022106000.0,2165885000.0,2079296900.0,2208648400.0,2153581800.0,2101693700.0,2187363300.0,2189342500.0
2029.0,2178916600.0,2000405600.0,1978163800.0,2092998500.0,2013581600.0,2157278700.0,2148349400.0,2063927600.0,2127854800.0,2162845200.0
2030.0,2114944100.0,1983166300.0,1934973400.0,2083873700.0,1977621600.0,2122481000.0,2130472300.0,2022984400.0,2092154000.0,2199074800.0
2031.0,2110739800.0,1910717600.0,1877343100.0,2012951800.0,1936796400.0,2095954600.0,2125858000.0,1970960900.0,2064556200.0,2252330000.0
2032.0,2133399200.0,1839143600.0,1827900000.0,1976646300.0,1887039900.0,2071190400.0,2231899400.0,1932388400.0,2076872100.0,2181917000.0
2033.0,2068559400.0,1789514900.0,1778809300.0,1964651400.0,1838292400.0,2059044200.0,2090496900.0,1908635800.0,2019672800.0,2182672000.0
2034.0,2022765000.0,1745646100.0,1725307100.0,1913236700.0,1795035000.0,2007405300.0,2059071500.0,1843154400.0,1975280300.0,2059799200.0
2035.0,1987952500.0,1694306700.0,1671126900.0,1882961900.0,1742511900.0,1950858200.0,2008699300.0,1822675700.0,1962250900.0,2042163300.0
2036.0,2026966500.0,1658272800.0,1605686300.0,1826618600.0,1691517600.0,1912763100.0,1957965300.0,1753821700.0,1943471900.0,1976058800.0
2037.0,1914986400.0,1586504800.0,1567634300.0,1806355700.0,1637490300.0,1881760100.0,1923864600.0,1718234100.0,1910126000.0,1972310900.0
2038.0,1888316900.0,1536229600.0,1501138400.0,1763611600.0,1603593000.0,1866237000.0,1892020700.0,1660312000.0,1873503000.0,1908988500.0
2039.0,1878729300.0,1491834900.0,1433081900.0,1735405200.0,1542525700.0,1834867800.0,1900628100.0,1614438400.0,1882384000.0,1846928900.0
2040.0,1828494800.0,1433557900.0,1372044800.0,1705910400.0,1506478600.0,1766403100.0,1859003500.0,1563902800.0,1855111400.0,1821054100.0
2041.0,1796485600.0,1375191700.0,1306621300.0,1639111400.0,1437145100.0,1762301000.0,1812904200.0,1510762100.0,1767933800.0,1800866300.0
2042.0,1759506200.0,1309960100.0,1242891100.0,1569096300.0,1381774300.0,1716427100.0,1808262500.0,1444780900.0,1723871600.0,1787215500.0
2043.0,1737940500.0,1253876000.0,1180666100.0,1522477600.0,1326382300.0,1658130700.0,1737791900.0,1394129700.0,1691125500.0,1739520000.0
2044.0,1669945000.0,1204758500.0,1120359400.0,1480934300.0,1264435600.0,1608257400.0,1734739300.0,1335865100.0,1693644000.0,1664703600.0
2045.0,1687394700.0,1158548700.0,1054728450.0,1429353300.0,1211567400.0,1557547900.0,1673754400.0,1267563800.0,1595935200.0,1669502300.0
2046.0,1637160600.0,1087269600.0,999228400.0,1369935200.0,1144867600.0,1521776600.0,1641673500.0,1198015400.0,1554704600.0,1588622200.0
2047.0,1565895400.0,1041585900.0,934842500.0,1323222400.0,1079707400.0,1484470900.0,1588831000.0,1154691700.0,1529381000.0,1555862300.0
2048.0,1518424400.0,1005475500.0,874400830.0,1252774700.0,1012905000.0,1450799000.0,1544653000.0,1150464800.0,1462449400.0,1492587800.0
2049.0,1507198700.0,957304060.0,812836300.0,1213273500.0,950836350.0,1386103400.0,1513690400.0,1056377000.0,1426573200.0,1441982800.0
2050.0,1446399900.0,916131650.0,762547260.0,1165744600.0,895871360.0,1352988000.0,1448665900.0,1002027100.0,1387358100.0,1402603600.0
2051.0,1400966800.0,882242300.0,702567900.0,1118090200.0,846753000.0,1326556400.0,1405982300.0,938008060.0,1360209700.0,1388444900.0
2052.0,1375589500.0,847655230.0,647280960.0,1072068860.0,799428350.0,1268868500.0,1372792300.0,886855550.0,1328038400.0,1350978300.0
2053.0,1332411900.0,802478800.0,601759100.0,1012360450.0,754240500.0,1202017400.0,1361838300.0,834571900.0,1281608300.0,1295909800.0
2054.0,1283348900.0,774043000.0,562103500.0,967851140.0,712763100.0,1151780100.0,1298735600.0,784522560.0,1257793800.0,1261687400.0
2055.0,1228978700.0,742707600.0,525942530.0,936829200.0,672836350.0,1103462300.0,1245595600.0,746126300.0,1207614100.0,1220025200.0
2056.0,1201034100.0,709762750.0,484037730.0,873348600.0,631903900.0,1081822500.0,1210662000.0,696072640.0,1169336400.0,1171054800.0
2057.0,1162500200.0,677343000.0,446974700.0,825085440.0,601201100.0,1045638600.0,1160106600.0,648333760.0,1107883900.0,1144127100.0
2058.0,1113226000.0,649950000.0,410790180.0,782759600.0,566200060.0,1016647100.0,1126997500.0,615154750.0,1079109100.0,1144442900.0
2059.0,1068954750.0,613809100.0,383007500.0,744034560.0,528762000.0,968939460.0,1111309300.0,581869100.0,1051635140.0,1073999700.0
2060.0,1025166660.0,584875140.0,353477600.0,708786200.0,494841250.0,924577150.0,1050510340.0,550615500.0,1020198200.0,1018240830.0
2061.0,992879600.0,568775100.0,324625340.0,672190500.0,467159230.0,889933760.0,1003574460.0,521117060.0,986531200.0,1004059500.0
2062.0,956661500.0,536139140.0,299946620.0,639893250.0,435065100.0,859372100.0,977496700.0,493558980.0,955381800.0,957220700.0
2063.0,917509760.0,509981000.0,270118430.0,605817150.0,406982530.0,818818050.0,908088640.0,466359100.0,918024500.0,918287200.0
2064.0,868982850.0,483286700.0,246465710.0,578021400.0,388167300.0,803527300.0,869139650.0,445014200.0,898025400.0,890634700.0
2065.0,828554200.0,452166850.0,221209940.0,548673200.0,354905340.0,769928000.0,823393540.0,427049630.0,861523600.0,859671040.0
2066.0,777259800.0,427172500.0,203758060.0,517583840.0,340583260.0,735802050.0,779492030.0,406220640.0,858485800.0,831957060.0
2067.0,748502660.0,402439940.0,190877870.0,493301380.0,320523550.0,710757000.0,737690750.0,380578720.0,799617860.0,813652540.0
2068.0,705431600.0,383538000.0,173753630.0,477283070.0,293668380.0,701838140.0,709598000.0,346921440.0,761997760.0,777974140.0
2069.0,670562940.0,355847700.0,161435870.0,446055000.0,281733500.0,709192300.0,674232200.0,323789660.0,732419460.0,750847300.0
2070.0,645008260.0,340485660.0,153580700.0,427862800.0,265674980.0,658975360.0,642829760.0,305580300.0,702733300.0,729599940.0
2071.0,614550400.0,322447420.0,144337800.0,398855230.0,247869040.0,635599700.0,603323900.0,284269900.0,680503700.0,703883200.0
2072.0,582149440.0,307157200.0,137130450.0,369986050.0,235715680.0,632775800.0,606811700.0,271402240.0,656223360.0,680899840.0
2073.0,559948540.0,290031100.0,128256910.0,351938400.0,220555900.0,610702400.0,559104300.0,256813810.0,634647230.0,660988350.0
2074.0,536950800.0,272975700.0,123523740.0,334764480.0,209350930.0,601763140.0,532497340.0,238219920.0,605280500.0,636716500.0
2075.0,513219330.0,252639400.0,118269790.0,315940640.0,195976320.0,580716900.0,506519230.0,226292540.0,588857700.0,614194600.0
2076.0,482957760.0,239537150.0,113328780.0,295447800.0,188394980.0,564965950.0,477220900.0,211717820.0,561848300.0,593789060.0
2077.0,443579600.0,223581900.0,108415624.0,276536260.0,180315400.0,546000400.0,448905380.0,195125730.0,547032200.0,565696000.0
2078.0,421036600.0,213018270.0,105451760.0,260609020.0,172211460.0,552146200.0,424146700.0,184656510.0,527154800.0,542312100.0
2079.0,399517660.0,204675170.0,100695690.0,242778620.0,166111650.0,509541120.0,398781280.0,174284180.0,507452900.0,512691620.0
2080.0,375012770.0,191595900.0,96601384.0,232027780.0,159953890.0,505024130.0,368968900.0,166095060.0,486751700.0,484998140.0
2081.0,351474000.0,181881200.0,94299240.0,221594670.0,153746290.0,473788700.0,343377400.0,157433300.0,471656830.0,465347400.0
2082.0,339735600.0,172361710.0,91437750.0,210237280.0,147338130.0,459040100.0,326828580.0,148015540.0,448296580.0,449820220.0
2083.0,319564300.0,165947520.0,88782344.0,195697820.0,142229040.0,453691070.0,310321000.0,140755950.0,422159260.0,432730880.0
2084.0,296025950.0,162655760.0,86318744.0,189756600.0,138907120.0,443229000.0,296754200.0,133622264.0,400396260.0,411962980.0
2085.0,284460380.0,154051250.0,84332344.0,183137580.0,132422790.0,433099300.0,269928860.0,128850904.0,378390340.0,393075550.0
2086.0,262825700.0,148637810.0,80895300.0,173598820.0,128400340.0,419923230.0,257619940.0,124380500.0,358581980.0,370277000.0
2087.0,248925680.0,143218220.0,77633070.0,166961660.0,124308310.0,412381100.0,242072770.0,119202670.0,357585200.0,353598370.0
2088.0,234651760.0,138149700.0,75320210.0,161375730.0,118511260.0,400336770.0,228952220.0,112878216.0,336534430.0,331874850.0
2089.0,222816590.0,133910820.0,73174770.0,154266370.0,116026184.0,384672540.0,226508080.0,107023096.0,316731780.0,315432740.0
2090.0,211891580.0,127620580.0,70496650.0,148984980.0,112160630.0,374023740.0,207042200.0,103094610.0,303522100.0,301397950.0
2091.0,205221460.0,124005380.0,69550570.0,143515200.0,107473840.0,364908900.0,195546320.0,99865896.0,291649500.0,285347970.0
2092.0,192491460.0,118085064.0,66514496.0,138274350.0,104507040.0,352873200.0,186205440.0,96260990.0,284997250.0,264703410.0
2093.0,185580940.0,114093510.0,63662290.0,134172750.0,101876104.0,341488220.0,178646530.0,93645400.0,264829100.0,247139440.0
2094.0,178020340.0,108868240.0,61522210.0,128577350.0,97287910.0,333721570.0,170712060.0,90295660.0,248125470.0,236119680.0
2095.0,170200740.0,106781420.0,59168396.0,124607100.0,95865000.0,327754300.0,168912770.0,86860550.0,241571680.0,224630690.0
2096.0,163215340.0,104948600.0,57424732.0,121798510.0,92817864.0,316728800.0,158583070.0,85899420.0,233421460.0,211312320.0
2097.0,159106160.0,101879816.0,56066984.0,116831384.0,89894720.0,321121120.0,150511870.0,82959580.0,223516690.0,198305170.0
2098.0,150980240.0,98835680.0,53791496.0,113197660.0,88570296.0,305600480.0,145859470.0,79935270.0,213029900.0,190338030.0
2099.0,145264530.0,96849930.0,52109584.0,109875976.0,85709816.0,306702100.0,138762000.0,78318100.0,206104020.0,182543330.0
2100.0,140179460.0,95193384.0,51143824.0,104949970.0,83408840.0,287643800.0,133661940.0,75666640.0,196902500.0,174143140.0
