time,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,ACCESS-ESM1-5
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40350640000.0,40379113000.0,40424240000.0,40363647000.0,40340060000.0,40348656000.0
2022.0,40282124000.0,40407572000.0,40314130000.0,40340710000.0,40290943000.0,40339444000.0
2023.0,40240697000.0,40318170000.0,40283590000.0,40275907000.0,40231617000.0,40283025000.0
2024.0,40265486000.0,40276610000.0,40302965000.0,40233697000.0,40166806000.0,40243230000.0
2025.0,40208770000.0,40212190000.0,40210790000.0,40184963000.0,40078060000.0,40184685000.0
2026.0,40204206000.0,40172093000.0,40132588000.0,40130750000.0,40075080000.0,40208280000.0
2027.0,40113787000.0,40126587000.0,40088710000.0,40079700000.0,39992560000.0,40139690000.0
2028.0,40050370000.0,40130290000.0,40047317000.0,40029073000.0,39897547000.0,40087966000.0
2029.0,39997200000.0,40134060000.0,39977950000.0,39983297000.0,39809070000.0,40059425000.0
2030.0,39927730000.0,40026380000.0,39922010000.0,39948150000.0,39733750000.0,40177484000.0
2031.0,39906603000.0,39999234000.0,39882002000.0,39951610000.0,39653605000.0,39990403000.0
2032.0,39814470000.0,39955108000.0,39794684000.0,39872066000.0,39604457000.0,39911743000.0
2033.0,39738372000.0,39861473000.0,39819817000.0,39806680000.0,39449727000.0,39838410000.0
2034.0,39668160000.0,39782683000.0,39679025000.0,39723890000.0,39339370000.0,39763972000.0
2035.0,39582196000.0,39695230000.0,39629070000.0,39651090000.0,39248140000.0,39711523000.0
2036.0,39478387000.0,39580830000.0,39534563000.0,39590360000.0,39095673000.0,39638688000.0
2037.0,39387630000.0,39505715000.0,39482986000.0,39497757000.0,38974040000.0,39579156000.0
2038.0,39294270000.0,39398388000.0,39365947000.0,39405625000.0,38807660000.0,39519056000.0
2039.0,39224607000.0,39274648000.0,39328203000.0,39309185000.0,38666960000.0,39436943000.0
2040.0,39146050000.0,39123513000.0,39217800000.0,39243240000.0,38532735000.0,39381510000.0
2041.0,39052200000.0,38981280000.0,39111623000.0,39110246000.0,38375186000.0,39293256000.0
2042.0,38912537000.0,38819684000.0,38985120000.0,39020937000.0,38211502000.0,39183417000.0
2043.0,38788567000.0,38653840000.0,38860448000.0,38883950000.0,37998952000.0,39132013000.0
2044.0,38648470000.0,38417375000.0,38731973000.0,38726808000.0,37737790000.0,39034360000.0
2045.0,38515364000.0,38216503000.0,38563180000.0,38579098000.0,37506933000.0,38929240000.0
2046.0,38377380000.0,38012473000.0,38397330000.0,38357504000.0,37286015000.0,38824000000.0
2047.0,38218736000.0,37817106000.0,38226956000.0,38173030000.0,37018317000.0,38709560000.0
2048.0,38061576000.0,37626100000.0,38015697000.0,37917655000.0,36705290000.0,38581820000.0
2049.0,37916000000.0,37351158000.0,37782820000.0,37681324000.0,36362134000.0,38520050000.0
2050.0,37721534000.0,37067854000.0,37508590000.0,37413437000.0,35991446000.0,38374085000.0
2051.0,37506860000.0,36725592000.0,37250535000.0,37136577000.0,35633533000.0,38226113000.0
2052.0,37301100000.0,36471734000.0,37028086000.0,36911980000.0,35196950000.0,38097502000.0
2053.0,37087117000.0,36139080000.0,36711797000.0,36641740000.0,34825847000.0,37954814000.0
2054.0,36879510000.0,35808910000.0,36400000000.0,36273144000.0,34420584000.0,37859340000.0
2055.0,36688210000.0,35492663000.0,36058860000.0,35891680000.0,34080623000.0,37684010000.0
2056.0,36443360000.0,35168264000.0,35638256000.0,35576580000.0,33646995000.0,37559374000.0
2057.0,36185027000.0,34770522000.0,35228795000.0,35262030000.0,33222443000.0,37371646000.0
2058.0,35919045000.0,34404258000.0,34964430000.0,34950054000.0,32741353000.0,37151867000.0
2059.0,35580793000.0,33958795000.0,34543428000.0,34594546000.0,32310383000.0,36960040000.0
2060.0,35298746000.0,33568210000.0,34151170000.0,34293981000.0,31879657000.0,36771566000.0
2061.0,35023650000.0,33092962000.0,33708075000.0,33872261000.0,31392102000.0,36555182000.0
2062.0,34782884000.0,32714670000.0,33115984000.0,33427761000.0,30847238000.0,36297175000.0
2063.0,34457207000.0,32259508000.0,32531612000.0,33132530000.0,30275785000.0,36090540000.0
2064.0,34134227000.0,31811084000.0,32001780000.0,32801247000.0,29766460000.0,35907800000.0
2065.0,33744876000.0,31395633000.0,31445860000.0,32481583000.0,29292755000.0,35717145000.0
2066.0,33423802000.0,30934626000.0,30761023000.0,32157389000.0,28761750000.0,35498967000.0
2067.0,33068497000.0,30450573000.0,30128452000.0,31717302000.0,28284273000.0,35322274000.0
2068.0,32680458000.0,29983700000.0,29518164000.0,31345535000.0,27752116000.0,35100610000.0
2069.0,32274270000.0,29460170000.0,28983665000.0,30940037000.0,27201636000.0,34882830000.0
2070.0,31872872000.0,28964580000.0,28387707000.0,30470072000.0,26793390000.0,34650427000.0
2071.0,31536824000.0,28607359000.0,27736910000.0,30075867000.0,26367656000.0,34404180000.0
2072.0,31094360000.0,28105834000.0,26979623000.0,29663650000.0,25832480000.0,34190703000.0
2073.0,30721001000.0,27587920000.0,26276481000.0,29287570000.0,25257175000.0,33862412000.0
2074.0,30379114000.0,27010429000.0,25555818000.0,28932823000.0,24633817000.0,33633714000.0
2075.0,29933600000.0,26504665000.0,24890817000.0,28505864000.0,24131130000.0,33349894000.0
2076.0,29537135000.0,25942684000.0,24144759000.0,28107948000.0,23481975000.0,33074194000.0
2077.0,29095684000.0,25436920000.0,23448623000.0,27671020000.0,22872912000.0,32875776000.0
2078.0,28537180000.0,24888960000.0,22572517000.0,27302607000.0,22413017000.0,32495794000.0
2079.0,28141701000.0,24396610000.0,21832810000.0,26791926000.0,21759089000.0,32211150000.0
2080.0,27699194000.0,23719748000.0,20937773000.0,26383757000.0,21288143000.0,31919372000.0
2081.0,27264778000.0,23218874000.0,20189989000.0,25911976000.0,20682775000.0,31621954000.0
2082.0,26808644000.0,22511802000.0,19227593000.0,25466593000.0,20039012000.0,31338480000.0
2083.0,26343602000.0,21940250000.0,18511342000.0,24990212000.0,19497169000.0,30973258000.0
2084.0,25915752000.0,21339550000.0,17694175000.0,24477116000.0,18931510000.0,30606758000.0
2085.0,25554772000.0,20804022000.0,17093179000.0,24037472000.0,18480835000.0,30406023000.0
2086.0,25059867000.0,20230690000.0,16249350000.0,23648518000.0,17895322000.0,30009262000.0
2087.0,24589533000.0,19654638000.0,15359987000.0,23259580000.0,17334174000.0,29677930000.0
2088.0,24085578000.0,18746400000.0,14718536000.0,22732872000.0,16667596000.0,29264357000.0
2089.0,23551924000.0,18038650000.0,14024041000.0,22367090000.0,16212681000.0,28864960000.0
2090.0,22989222000.0,17374687000.0,13373827000.0,21995432000.0,15630255000.0,28762331000.0
2091.0,22467324000.0,16760060000.0,12657690000.0,21564187000.0,15168602000.0,28348731000.0
2092.0,21984053000.0,16042858000.0,12054965000.0,20938498000.0,14639502000.0,27921072000.0
2093.0,21439646000.0,15436538000.0,11403975000.0,20491310000.0,14209940000.0,27439772000.0
2094.0,20711862000.0,14722691000.0,10868268000.0,20028535000.0,13690960000.0,27081333000.0
2095.0,20098190000.0,14061057000.0,10307612000.0,19613186000.0,13253442000.0,26777360000.0
2096.0,19543876000.0,13384989000.0,9727400000.0,19220908000.0,12748546000.0,26517234000.0
2097.0,19050613000.0,12921690000.0,9150217000.0,18706700000.0,12215183000.0,26054334000.0
2098.0,18478140000.0,12336769000.0,8708953000.0,18315375000.0,11578141000.0,25401313000.0
2099.0,17899030000.0,11859379000.0,8269927000.0,17822554000.0,11081245000.0,25033017000.0
2100.0,17418891000.0,11381104000.0,7768316000.0,17449687000.0,10633151000.0,24540574000.0
2101.0,16747071000.0,10882365000.0,7287604700.0,16804891000.0,10309197000.0,24093667000.0
2102.0,16267960000.0,10487021000.0,6900483600.0,16290824000.0,9905401000.0,23601150000.0
2103.0,15538748000.0,9960029000.0,6452146000.0,15829132000.0,9531422000.0,23123016000.0
2104.0,15003225000.0,9282354000.0,6086369300.0,15368212000.0,9119599000.0,22696143000.0
2105.0,14417363000.0,8594213000.0,5758909000.0,14982861000.0,8719848000.0,22348780000.0
2106.0,13905423000.0,8193194500.0,5433843000.0,14538117000.0,8382407000.0,21925691000.0
2107.0,13474199000.0,7525141000.0,5143801000.0,14122477000.0,7900924000.0,21644222000.0
2108.0,12920275000.0,6856740000.0,4837086700.0,13659537000.0,7499782700.0,21217898000.0
2109.0,12338772000.0,6201349000.0,4458562600.0,13199214000.0,6996149000.0,20674634000.0
2110.0,11793544000.0,5672790000.0,4053453800.0,12781992000.0,6438542300.0,20365820000.0
2111.0,11358880000.0,5202741000.0,3722197800.0,12321086000.0,6005882000.0,19856863000.0
2112.0,10833867000.0,4787422000.0,3334883300.0,11867095000.0,5628839400.0,19363502000.0
2113.0,10294125000.0,4447778300.0,2834414600.0,11483219000.0,5279122400.0,18958686000.0
2114.0,10009540000.0,4017717500.0,2690339600.0,10999543000.0,4814783500.0,18475422000.0
2115.0,9504247000.0,3640582100.0,2497721300.0,10714793000.0,4437254000.0,18029607000.0
2116.0,9079794000.0,3358898700.0,2332430300.0,10347178000.0,4035923200.0,17514568000.0
2117.0,8632762000.0,2935653400.0,2112212900.0,10025810000.0,3710440200.0,16973441000.0
2118.0,8000025000.0,2381040400.0,1966300400.0,9650916000.0,3287126000.0,16353517000.0
2119.0,7370172400.0,1720496000.0,1645101700.0,9159648000.0,3072814300.0,15804072000.0
2120.0,6860941300.0,1371061900.0,1462921500.0,8682355000.0,2678849800.0,15389363000.0
2121.0,6369855500.0,1255311100.0,1344569700.0,8164677600.0,2407531800.0,14913620000.0
2122.0,5820723700.0,1070171970.0,1311614600.0,7823074300.0,2165059600.0,14346907000.0
2123.0,5336590300.0,888966500.0,1227372800.0,7411582500.0,1986839300.0,13894654000.0
2124.0,4883391500.0,694752600.0,1184003700.0,7043475500.0,1768347500.0,13363028000.0
2125.0,4507518000.0,454318240.0,1167559600.0,6641922000.0,1498388200.0,12824096000.0
2126.0,4110475300.0,345028770.0,1117517000.0,6119112000.0,1315674200.0,12188690000.0
2127.0,3774962700.0,295528670.0,1097067000.0,5785853400.0,1028034240.0,11611775000.0
2128.0,3516749300.0,260859420.0,1037651140.0,5444391000.0,843351550.0,11038352000.0
2129.0,3262652700.0,244184940.0,1023884700.0,5118166500.0,703975000.0,10420933000.0
2130.0,2958345000.0,181768160.0,976922900.0,4742514700.0,457462300.0,9910835000.0
2131.0,2654067700.0,97919770.0,922652300.0,4461797000.0,409368860.0,9415397000.0
2132.0,2272431600.0,85046080.0,877077600.0,4199417600.0,314926080.0,8764251000.0
2133.0,1868759200.0,77042650.0,808303400.0,3943261400.0,274532220.0,8158197000.0
2134.0,1367970600.0,64263260.0,791481400.0,3658475500.0,252611870.0,7386520000.0
2135.0,1168615000.0,63812372.0,770988160.0,3462455000.0,239011900.0,6823428600.0
2136.0,1025271230.0,45816984.0,734311300.0,3237506000.0,212367040.0,6384667600.0
2137.0,865718850.0,38282040.0,665185300.0,2872707000.0,173947260.0,5933562000.0
2138.0,736238850.0,32371936.0,598280200.0,2618602500.0,173026610.0,5510127600.0
2139.0,582060500.0,19849554.0,591203500.0,2208639700.0,126003560.0,5088170500.0
2140.0,458272770.0,3257183.0,548041500.0,1941634000.0,118981600.0,4671930400.0
2141.0,386549570.0,3245451.8,539748400.0,1599238500.0,101127464.0,4334714000.0
2142.0,332874560.0,3026057.8,527039460.0,1473595600.0,100830050.0,3856115200.0
2143.0,243582400.0,2937817.8,509244600.0,1343826600.0,73473290.0,3424074500.0
2144.0,174259980.0,2878879.2,455321020.0,1251661700.0,48540440.0,3053974800.0
2145.0,157074260.0,2723717.0,431331100.0,1074420500.0,27784934.0,2628196600.0
2146.0,103647736.0,2591868.5,411881400.0,976102700.0,25654350.0,2263545300.0
2147.0,39685770.0,2528387.2,352512860.0,902801860.0,16942666.0,1854015100.0
2148.0,35550316.0,2414770.5,286345500.0,811786200.0,16903552.0,1631917700.0
2149.0,10013112.0,2358361.0,188576200.0,696134800.0,8413041.0,1479686800.0
2150.0,6779079.0,2289607.5,146852540.0,655630340.0,8346069.5,1328516000.0
2151.0,4206017.5,2241666.2,142813710.0,621027900.0,5104568.0,1200569900.0
2152.0,3178798.2,2175584.5,123592030.0,565397760.0,4727873.5,1117750800.0
2153.0,3029462.8,2139969.5,100276150.0,478700060.0,3260995.5,1006504600.0
2154.0,2990568.2,2087193.6,96110880.0,386716740.0,3205928.5,851669800.0
2155.0,2950448.2,2058721.0,94574680.0,291546980.0,3167040.8,786196100.0
2156.0,2917161.5,2038707.4,9917629.0,253851700.0,3082323.0,694139300.0
2157.0,2777933.0,1998782.9,4445021.0,198351100.0,3019625.8,557590200.0
2158.0,2712360.2,1974953.5,1721023.6,187884530.0,2988384.5,394486660.0
2159.0,2638702.8,1956084.0,1681089.1,169845440.0,2809518.5,317428540.0
2160.0,2612567.8,1946898.8,1653472.4,159282100.0,2351562.5,293316400.0
2161.0,2580263.8,1932031.4,1627644.1,73047650.0,2325749.5,265981870.0
2162.0,2556828.0,1921057.2,1545599.2,22077104.0,2294231.2,248580130.0
2163.0,2516181.0,1916920.0,1546542.6,9702214.0,2236497.0,221818190.0
2164.0,2465904.0,1896215.5,1539950.1,8547320.0,2107574.2,182122580.0
2165.0,2435328.8,1792977.6,1533756.2,6171480.5,2083452.1,52340948.0
2166.0,2361776.8,1767534.0,1532545.1,5686265.0,2066021.6,8854629.0
2167.0,2323933.2,1715072.0,1531185.0,4646632.0,2060441.6,7522131.0
