time,IPSL-CM6A-LR,MRI-ESM2-0,INM-CM5-0,CAMS-CSM1-0,CANESM5,CESM2,BCC-CSM2-MR,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,INM-CM4-8,ACCESS-ESM1-5,EC-EARTH3
2000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0,41065566000.0
2001.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0,40961310000.0
2002.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0,40906682000.0
2003.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0,40918900000.0
2004.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0,40850570000.0
2005.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0,40856180000.0
2006.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0,41170846000.0
2007.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0,40978637000.0
2008.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0,40817234000.0
2009.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0,40749912000.0
2010.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0,40704946000.0
2011.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0,40655684000.0
2012.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0,40634294000.0
2013.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0,40615367000.0
2014.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0,40608200000.0
2015.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0,40541753000.0
2016.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0,40502755000.0
2017.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0,40464527000.0
2018.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0,40642265000.0
2019.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0,40483780000.0
2020.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0,40404900000.0
2021.0,40356040000.0,40324560000.0,40356700000.0,40425554000.0,40352874000.0,40370295000.0,40389353000.0,40399720000.0,40353407000.0,40360382000.0,40432775000.0,40435155000.0,40354234000.0,40335150000.0,40349946000.0,40354170000.0,40347443000.0
2022.0,40314110000.0,40306557000.0,40300384000.0,40361955000.0,40334900000.0,40315695000.0,40336155000.0,40339616000.0,40302125000.0,40313967000.0,40323367000.0,40335524000.0,40292065000.0,40303247000.0,40310997000.0,40312926000.0,40265480000.0
2023.0,40254200000.0,40239747000.0,40248620000.0,40319430000.0,40232180000.0,40278900000.0,40295720000.0,40351535000.0,40458720000.0,40281457000.0,40263510000.0,40275386000.0,40270934000.0,40247628000.0,40276190000.0,40263623000.0,40204534000.0
2024.0,40268005000.0,40197267000.0,40208683000.0,40266924000.0,40196874000.0,40245744000.0,40283824000.0,40331490000.0,40281980000.0,40253450000.0,40209050000.0,40255700000.0,40296040000.0,40257170000.0,40243212000.0,40256975000.0,40141304000.0
2025.0,40232880000.0,40115073000.0,40152973000.0,40228504000.0,40124400000.0,40233680000.0,40325520000.0,40255537000.0,40224560000.0,40186210000.0,40162243000.0,40228925000.0,40189050000.0,40184420000.0,40190040000.0,40214050000.0,40083470000.0
2026.0,40131285000.0,40049340000.0,40167825000.0,40191350000.0,40065360000.0,40178328000.0,40237584000.0,40187458000.0,40171684000.0,40137343000.0,40142130000.0,40155197000.0,40124590000.0,40138748000.0,40140180000.0,40163370000.0,40033047000.0
2027.0,40066154000.0,39968403000.0,40086540000.0,40152306000.0,40042670000.0,40308100000.0,40185060000.0,40122188000.0,40151080000.0,40111747000.0,40079663000.0,40233320000.0,40040500000.0,40086410000.0,40097550000.0,40102973000.0,39985734000.0
2028.0,40037460000.0,39899943000.0,40050106000.0,40096035000.0,39950710000.0,40170025000.0,40154685000.0,40086643000.0,40101552000.0,40049144000.0,40048910000.0,40118910000.0,40008163000.0,40020558000.0,40055673000.0,40111750000.0,39887053000.0
