time,CESM1-CAM5,MPI-ESM-LR,CANESM2
2114.0,580724700.0,1079269200.0,489142430.0
2115.0,579273100.0,1070030400.0,477583000.0
2116.0,617000400.0,1120666200.0,544044350.0
2117.0,596115100.0,1100212400.0,668581800.0
2118.0,579687100.0,1082319600.0,547515840.0
2119.0,576591800.0,1077075000.0,543551600.0
2120.0,573941760.0,1148326000.0,526918880.0
2121.0,577570400.0,1123553900.0,521516130.0
2122.0,571577600.0,1146320000.0,618076600.0
2123.0,566782600.0,1100643200.0,585946400.0
2124.0,576626700.0,1087846100.0,553440260.0
2125.0,562366200.0,1099189800.0,536084770.0
2126.0,560728100.0,1119243500.0,597336100.0
2127.0,558077500.0,1097988500.0,578054660.0
2128.0,554857600.0,1141270900.0,553312830.0
2129.0,551025200.0,1280343000.0,613292100.0
2130.0,548052740.0,1227377800.0,578381200.0
2131.0,545005200.0,1161855500.0,572624600.0
2132.0,541254100.0,1121734900.0,570701900.0
2133.0,537887400.0,1118359700.0,565419400.0
2134.0,532970200.0,1119295700.0,578671300.0
2135.0,556155500.0,1129836900.0,591320770.0
2136.0,529235230.0,1126164900.0,569122940.0
2137.0,532866750.0,1129039600.0,583106100.0
2138.0,530028640.0,1197041400.0,569853000.0
2139.0,533904130.0,1153225900.0,564294800.0
2140.0,523466620.0,1124275100.0,627180700.0
2141.0,519836160.0,1120567700.0,591419260.0
2142.0,520401660.0,1114726900.0,718429950.0
2143.0,515413150.0,1147124700.0,664935900.0
2144.0,575504000.0,1118424800.0,599766400.0
2145.0,535700200.0,1109790200.0,629682560.0
2146.0,582413800.0,1130665500.0,593489660.0
2147.0,530835970.0,1106996400.0,582698940.0
2148.0,526567550.0,1180574800.0,577815550.0
2149.0,601983500.0,1167065200.0,612642700.0
2150.0,548150500.0,1146321000.0,583485630.0
2151.0,530696320.0,1123142100.0,601972400.0
2152.0,554784700.0,1117476900.0,599279700.0
2153.0,547585800.0,1209370000.0,586005700.0
2154.0,544398850.0,1152222300.0,580587100.0
2155.0,549630300.0,1112730200.0,584243400.0
2156.0,541391940.0,1167611500.0,581202600.0
2157.0,541744830.0,1126923300.0,580159400.0
2158.0,557013300.0,1222014600.0,590641100.0
