time,CCSM4,GFDL-CM3,CESM1-CAM5,GISS-E2-R,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13715800000000.0,13744282000000.0,13732246000000.0,13725472000000.0,13739956000000.0,13742997000000.0,13747781000000.0,13727858000000.0
2022.0,13692608000000.0,13707440000000.0,13725930000000.0,13714805000000.0,13738110000000.0,13729308000000.0,13743955000000.0,13693156000000.0
2023.0,13657250000000.0,13681111000000.0,13696311000000.0,13693706000000.0,13724804000000.0,13717473000000.0,13740730000000.0,13662218000000.0
2024.0,13626293000000.0,13662484000000.0,13665560000000.0,13691720000000.0,13697240000000.0,13722616000000.0,13726090000000.0,13656653000000.0
2025.0,13595533000000.0,13635538000000.0,13652088000000.0,13680617000000.0,13676595000000.0,13715722000000.0,13710040000000.0,13628092000000.0
2026.0,13565724000000.0,13608223000000.0,13629780000000.0,13642105000000.0,13640462000000.0,13697039000000.0,13683129000000.0,13627125000000.0
2027.0,13543935000000.0,13552919000000.0,13604339000000.0,13633416000000.0,13631330000000.0,13681163000000.0,13657647000000.0,13618916000000.0
2028.0,13519701000000.0,13515515000000.0,13562120000000.0,13627625000000.0,13636608000000.0,13677474000000.0,13616034000000.0,13618875000000.0
2029.0,13501393000000.0,13472787000000.0,13533427000000.0,13622720000000.0,13622344000000.0,13667410000000.0,13601575000000.0,13593513000000.0
2030.0,13472098000000.0,13407488000000.0,13496767000000.0,13606403000000.0,13608396000000.0,13650961000000.0,13581146000000.0,13586455000000.0
2031.0,13416388000000.0,13368240000000.0,13464531000000.0,13604475000000.0,13610650000000.0,13634641000000.0,13585817000000.0,13580615000000.0
2032.0,13376864000000.0,13317080000000.0,13448011000000.0,13591289000000.0,13589828000000.0,13613461000000.0,13573727000000.0,13586175000000.0
2033.0,13286434000000.0,13286869000000.0,13410450000000.0,13568849000000.0,13578728000000.0,13594434000000.0,13558893000000.0,13573876000000.0
2034.0,13255861000000.0,13221447000000.0,13386281000000.0,13547971000000.0,13563137000000.0,13583064000000.0,13534968000000.0,13545345000000.0
2035.0,13196116000000.0,13166505000000.0,13341867000000.0,13531197000000.0,13550057000000.0,13569276000000.0,13503090000000.0,13538935000000.0
2036.0,13148130000000.0,13111202000000.0,13302898000000.0,13508852000000.0,13526659000000.0,13532052000000.0,13479279000000.0,13530516000000.0
2037.0,13110768000000.0,13073304000000.0,13271952000000.0,13493382000000.0,13500757000000.0,13497296000000.0,13446514000000.0,13515649000000.0
2038.0,13080128000000.0,13036242000000.0,13237962000000.0,13492394000000.0,13460904000000.0,13485932000000.0,13421098000000.0,13500897000000.0
2039.0,13051536000000.0,12990944000000.0,13184126000000.0,13500391000000.0,13430523000000.0,13479296000000.0,13385350000000.0,13491787000000.0
2040.0,13015077000000.0,12938371000000.0,13134563000000.0,13508580000000.0,13424444000000.0,13482706000000.0,13370546000000.0,13490054000000.0
2041.0,12989667000000.0,12897063000000.0,13106363000000.0,13488429000000.0,13396540000000.0,13455778000000.0,13369585000000.0,13482678000000.0
2042.0,12961316000000.0,12866551000000.0,13059214000000.0,13483659000000.0,13387817000000.0,13426425000000.0,13350367000000.0,13461052000000.0
2043.0,12946987000000.0,12817060000000.0,13010318000000.0,13454345000000.0,13375030000000.0,13401926000000.0,13329869000000.0,13439249000000.0
2044.0,12907742000000.0,12760422000000.0,12952042000000.0,13441750000000.0,13364216000000.0,13392102000000.0,13296563000000.0,13423836000000.0
2045.0,12862715000000.0,12712271000000.0,12886096000000.0,13440769000000.0,13358314000000.0,13360476000000.0,13276969000000.0,13405448000000.0
2046.0,12827220000000.0,12656643000000.0,12832577000000.0,13420573000000.0,13328689000000.0,13341066000000.0,13253299000000.0,13347698000000.0
2047.0,12781594000000.0,12598185000000.0,12787684000000.0,13410930000000.0,13304344000000.0,13306221000000.0,13235465000000.0,13314644000000.0
2048.0,12752032000000.0,12505368000000.0,12747122000000.0,13382296000000.0,13271872000000.0,13276650000000.0,13213162000000.0,13290751000000.0
2049.0,12702887000000.0,12416798000000.0,12702935000000.0,13359038000000.0,13239173000000.0,13245175000000.0,13203577000000.0,13274978000000.0
2050.0,12668456000000.0,12336000000000.0,12659480000000.0,13312061000000.0,13179576000000.0,13208316000000.0,13137751000000.0,13266456000000.0
2051.0,12613445000000.0,12271008000000.0,12628109000000.0,13306207000000.0,13136577000000.0,13202651000000.0,13116898000000.0,13257854000000.0
2052.0,12583256000000.0,12217324000000.0,12568243000000.0,13293048000000.0,13075053000000.0,13171488000000.0,13080579000000.0,13242564000000.0
2053.0,12541079000000.0,12160732000000.0,12520222000000.0,13264464000000.0,13036406000000.0,13151249000000.0,13055488000000.0,13209991000000.0
2054.0,12501681000000.0,12121453000000.0,12471959000000.0,13240379000000.0,12994863000000.0,13118970000000.0,13025493000000.0,13202559000000.0
2055.0,12453243000000.0,12072311000000.0,12431318000000.0,13215700000000.0,12955973000000.0,13094742000000.0,13021365000000.0,13172715000000.0
2056.0,12406820000000.0,12020018000000.0,12403978000000.0,13200919000000.0,12912910000000.0,13054396000000.0,12978373000000.0,13150165000000.0
2057.0,12360877000000.0,11955294000000.0,12377181000000.0,13182046000000.0,12873963000000.0,13032147000000.0,12939106000000.0,13132017000000.0
2058.0,12330571000000.0,11897614000000.0,12341101000000.0,13184966000000.0,12844686000000.0,13034740000000.0,12912292000000.0,13106960000000.0
2059.0,12305707000000.0,11857358000000.0,12282948000000.0,13167753000000.0,12814620000000.0,13018765000000.0,12875253000000.0,13063516000000.0
2060.0,12288359000000.0,11809089000000.0,12255004000000.0,13124254000000.0,12790926000000.0,12989410000000.0,12844302000000.0,13008279000000.0
2061.0,12249902000000.0,11744853000000.0,12203746000000.0,13102274000000.0,12745077000000.0,12983791000000.0,12817602000000.0,12983334000000.0
2062.0,12209985000000.0,11657331000000.0,12147194000000.0,13070661000000.0,12710471000000.0,12953260000000.0,12787600000000.0,12949533000000.0
2063.0,12191205000000.0,11549793000000.0,12073060000000.0,13049218000000.0,12684579000000.0,12921332000000.0,12739927000000.0,12860632000000.0
2064.0,12143758000000.0,11442918000000.0,12007493000000.0,13042290000000.0,12663540000000.0,12909922000000.0,12712529000000.0,12816770000000.0
2065.0,12130952000000.0,11320429000000.0,11948243000000.0,13010231000000.0,12640897000000.0,12883927000000.0,12699234000000.0,12760275000000.0
2066.0,12102100000000.0,11247607000000.0,11886554000000.0,12989586000000.0,12613679000000.0,12873613000000.0,12665289000000.0,12708750000000.0
2067.0,12095530000000.0,11164864000000.0,11813607000000.0,12964211000000.0,12568841000000.0,12857601000000.0,12639798000000.0,12604947000000.0
2068.0,12055500000000.0,11087581000000.0,11750650000000.0,12928132000000.0,12512864000000.0,12824836000000.0,12600990000000.0,12539098000000.0
2069.0,11988100000000.0,10998216000000.0,11691209000000.0,12876336000000.0,12472008000000.0,12805114000000.0,12560261000000.0,12485157000000.0
2070.0,11922023000000.0,10906126000000.0,11610153000000.0,12859374000000.0,12402594000000.0,12775844000000.0,12513163000000.0,12415002000000.0
2071.0,11882989000000.0,10797833000000.0,11524780000000.0,12837053000000.0,12352284000000.0,12746022000000.0,12479988000000.0,12270690000000.0
2072.0,11839155000000.0,10692631000000.0,11428114000000.0,12808335000000.0,12315624000000.0,12736578000000.0,12440252000000.0,12203261000000.0
2073.0,11785428000000.0,10603082000000.0,11348205000000.0,12776784000000.0,12265221000000.0,12723988000000.0,12396073000000.0,12130725000000.0
2074.0,11768121000000.0,10491587000000.0,11275860000000.0,12759702000000.0,12202103000000.0,12704874000000.0,12343631000000.0,12030721000000.0
2075.0,11733583000000.0,10366175000000.0,11189842000000.0,12718552000000.0,12160348000000.0,12662637000000.0,12311148000000.0,11941545000000.0
2076.0,11693555000000.0,10239357000000.0,11096384000000.0,12694457000000.0,12116333000000.0,12640524000000.0,12286542000000.0,11834001000000.0
2077.0,11642446000000.0,10105061000000.0,10980131000000.0,12641805000000.0,12069867000000.0,12619570000000.0,12259316000000.0,11753934000000.0
2078.0,11561380000000.0,9994167000000.0,10884518000000.0,12629217000000.0,12025064000000.0,12603378000000.0,12207601000000.0,11681410000000.0
