time,GISS-E2-R,GFDL-CM3,CCSM4,CNRM-CM5,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,NORESM1-M,CANESM2
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13735999000000.0,13691947000000.0,13752968000000.0,13760124000000.0,13736123000000.0,13734017000000.0,13731470000000.0,13747459000000.0,13748700000000.0,13732106000000.0
2022.0,13713107000000.0,13659692000000.0,13731313000000.0,13740157000000.0,13692819000000.0,13702284000000.0,13709516000000.0,13727808000000.0,13738740000000.0,13694964000000.0
2023.0,13689637000000.0,13600720000000.0,13731267000000.0,13717643000000.0,13684149000000.0,13672039000000.0,13698008000000.0,13725746000000.0,13721675000000.0,13675325000000.0
2024.0,13670207000000.0,13580540000000.0,13719064000000.0,13706513000000.0,13652495000000.0,13657454000000.0,13663163000000.0,13705290000000.0,13682712000000.0,13626984000000.0
2025.0,13631487000000.0,13557422000000.0,13713572000000.0,13704364000000.0,13641657000000.0,13595808000000.0,13642256000000.0,13707760000000.0,13631966000000.0,13605716000000.0
2026.0,13602803000000.0,13509702000000.0,13719160000000.0,13682790000000.0,13603302000000.0,13549283000000.0,13628933000000.0,13697281000000.0,13601307000000.0,13589754000000.0
2027.0,13603485000000.0,13485807000000.0,13702926000000.0,13665233000000.0,13562778000000.0,13507432000000.0,13614840000000.0,13689964000000.0,13597970000000.0,13558024000000.0
2028.0,13589989000000.0,13467652000000.0,13677840000000.0,13651761000000.0,13521983000000.0,13479530000000.0,13598944000000.0,13695543000000.0,13581512000000.0,13560061000000.0
2029.0,13589419000000.0,13450518000000.0,13635939000000.0,13632481000000.0,13498183000000.0,13463973000000.0,13569664000000.0,13670099000000.0,13544314000000.0,13534228000000.0
2030.0,13579088000000.0,13433895000000.0,13595267000000.0,13621040000000.0,13462493000000.0,13443385000000.0,13551323000000.0,13670237000000.0,13511791000000.0,13507735000000.0
2031.0,13575754000000.0,13417295000000.0,13580926000000.0,13608805000000.0,13432833000000.0,13445584000000.0,13542697000000.0,13646841000000.0,13498665000000.0,13495041000000.0
2032.0,13562189000000.0,13390861000000.0,13554305000000.0,13593947000000.0,13401451000000.0,13423811000000.0,13503137000000.0,13637052000000.0,13449980000000.0,13440646000000.0
2033.0,13532837000000.0,13358761000000.0,13529591000000.0,13570577000000.0,13385562000000.0,13413619000000.0,13466712000000.0,13614785000000.0,13421823000000.0,13400937000000.0
2034.0,13503320000000.0,13313349000000.0,13502063000000.0,13556052000000.0,13361606000000.0,13359109000000.0,13446192000000.0,13596396000000.0,13387506000000.0,13367768000000.0
2035.0,13483826000000.0,13276425000000.0,13468669000000.0,13535314000000.0,13346001000000.0,13326263000000.0,13435294000000.0,13585719000000.0,13337108000000.0,13333604000000.0
2036.0,13482819000000.0,13250599000000.0,13433610000000.0,13524265000000.0,13333294000000.0,13277703000000.0,13413829000000.0,13569087000000.0,13317624000000.0,13293661000000.0
2037.0,13452749000000.0,13207711000000.0,13410366000000.0,13521659000000.0,13300724000000.0,13231010000000.0,13363981000000.0,13563664000000.0,13292479000000.0,13261796000000.0
2038.0,13434550000000.0,13177694000000.0,13373230000000.0,13497702000000.0,13275220000000.0,13231086000000.0,13318623000000.0,13554504000000.0,13275971000000.0,13234186000000.0
2039.0,13414829000000.0,13142934000000.0,13351863000000.0,13465278000000.0,13251594000000.0,13193614000000.0,13289650000000.0,13553395000000.0,13274256000000.0,13198279000000.0
2040.0,13389740000000.0,13111093000000.0,13309382000000.0,13422816000000.0,13228280000000.0,13170504000000.0,13273609000000.0,13543984000000.0,13267661000000.0,13185355000000.0
2041.0,13372882000000.0,13077756000000.0,13296364000000.0,13372487000000.0,13213542000000.0,13133829000000.0,13259552000000.0,13537719000000.0,13243996000000.0,13136319000000.0
2042.0,13361509000000.0,13028870000000.0,13261776000000.0,13327225000000.0,13175410000000.0,13107374000000.0,13238355000000.0,13545721000000.0,13222270000000.0,13115568000000.0
2043.0,13345020000000.0,12964543000000.0,13223999000000.0,13297649000000.0,13138160000000.0,13067025000000.0,13217446000000.0,13556628000000.0,13192641000000.0,13029265000000.0
2044.0,13339211000000.0,12914813000000.0,13207974000000.0,13234154000000.0,13092296000000.0,13020949000000.0,13185830000000.0,13562143000000.0,13157112000000.0,12992770000000.0
2045.0,13325687000000.0,12857178000000.0,13179164000000.0,13208700000000.0,13064350000000.0,12983127000000.0,13158852000000.0,13554355000000.0,13126816000000.0,12943728000000.0
2046.0,13278417000000.0,12787727000000.0,13137379000000.0,13165319000000.0,13026729000000.0,12957762000000.0,13137634000000.0,13546428000000.0,13055156000000.0,12917431000000.0
2047.0,13237675000000.0,12724395000000.0,13106600000000.0,13113507000000.0,12985567000000.0,12903995000000.0,13116306000000.0,13543390000000.0,13034080000000.0,12886624000000.0
2048.0,13181349000000.0,12659096000000.0,13085779000000.0,13061295000000.0,12922568000000.0,12838458000000.0,13100359000000.0,13548310000000.0,13000987000000.0,12856061000000.0
2049.0,13175648000000.0,12592694000000.0,13061121000000.0,13035435000000.0,12880860000000.0,12783301000000.0,13070588000000.0,13528591000000.0,12981203000000.0,12810124000000.0
2050.0,13167430000000.0,12524244000000.0,13039247000000.0,12987504000000.0,12835238000000.0,12764890000000.0,13036903000000.0,13489538000000.0,12980156000000.0,12781721000000.0
2051.0,13159733000000.0,12444968000000.0,13013622000000.0,12929641000000.0,12810477000000.0,12712266000000.0,13026590000000.0,13488764000000.0,12952277000000.0,12702128000000.0
2052.0,13138368000000.0,12343434000000.0,12979860000000.0,12904405000000.0,12777182000000.0,12678238000000.0,12990324000000.0,13483926000000.0,12926245000000.0,12664683000000.0
2053.0,13121178000000.0,12264940000000.0,12958186000000.0,12874846000000.0,12740979000000.0,12681145000000.0,12989423000000.0,13482358000000.0,12891131000000.0,12627263000000.0
2054.0,13101168000000.0,12161126000000.0,12953833000000.0,12817626000000.0,12696388000000.0,12666842000000.0,12997831000000.0,13482736000000.0,12835438000000.0,12588580000000.0
2055.0,13075165000000.0,12099028000000.0,12939653000000.0,12781222000000.0,12664312000000.0,12643790000000.0,12970405000000.0,13478658000000.0,12809590000000.0,12559222000000.0
2056.0,13069963000000.0,12050062000000.0,12892447000000.0,12754302000000.0,12643672000000.0,12611964000000.0,12955951000000.0,13479624000000.0,12769692000000.0,12493317000000.0
2057.0,13054664000000.0,11981420000000.0,12801072000000.0,12709202000000.0,12607073000000.0,12596988000000.0,12927605000000.0,13488153000000.0,12733194000000.0,12454769000000.0
2058.0,13058899000000.0,11915982000000.0,12762761000000.0,12648030000000.0,12574638000000.0,12563528000000.0,12904820000000.0,13473312000000.0,12699220000000.0,12402451000000.0
2059.0,13048232000000.0,11868727000000.0,12717636000000.0,12568039000000.0,12540391000000.0,12532295000000.0,12866719000000.0,13448086000000.0,12638233000000.0,12373366000000.0
2060.0,13039971000000.0,11807928000000.0,12715574000000.0,12496831000000.0,12501885000000.0,12500612000000.0,12842269000000.0,13437756000000.0,12602626000000.0,12326742000000.0
2061.0,13016292000000.0,11742772000000.0,12694852000000.0,12424288000000.0,12459385000000.0,12484277000000.0,12826469000000.0,13414853000000.0,12569936000000.0,12286680000000.0
2062.0,12994306000000.0,11666456000000.0,12668408000000.0,12357582000000.0,12424922000000.0,12465185000000.0,12799399000000.0,13415838000000.0,12530959000000.0,12259769000000.0
2063.0,12989089000000.0,11594803000000.0,12627152000000.0,12297320000000.0,12395708000000.0,12452618000000.0,12780716000000.0,13402720000000.0,12466636000000.0,12226069000000.0
2064.0,12977468000000.0,11542400000000.0,12611485000000.0,12252355000000.0,12371693000000.0,12410376000000.0,12746231000000.0,13379421000000.0,12425104000000.0,12178801000000.0
2065.0,12955925000000.0,11491756000000.0,12593559000000.0,12172501000000.0,12334956000000.0,12395323000000.0,12725615000000.0,13367678000000.0,12410571000000.0,12143118000000.0
2066.0,12941570000000.0,11448853000000.0,12583605000000.0,12133514000000.0,12310316000000.0,12373138000000.0,12709070000000.0,13352534000000.0,12389216000000.0,12056753000000.0
2067.0,12903398000000.0,11402301000000.0,12554446000000.0,12062841000000.0,12281848000000.0,12331520000000.0,12687987000000.0,13353560000000.0,12369957000000.0,12022750000000.0
2068.0,12882974000000.0,11337829000000.0,12539894000000.0,12006399000000.0,12248621000000.0,12325300000000.0,12662980000000.0,13344852000000.0,12333302000000.0,11981806000000.0
2069.0,12884272000000.0,11289706000000.0,12537300000000.0,11944424000000.0,12213769000000.0,12306651000000.0,12626683000000.0,13320501000000.0,12272465000000.0,11909066000000.0
2070.0,12869445000000.0,11213168000000.0,12521540000000.0,11885578000000.0,12191151000000.0,12293230000000.0,12614487000000.0,13305753000000.0,12240837000000.0,11841866000000.0
2071.0,12846695000000.0,11127321000000.0,12498116000000.0,11837400000000.0,12167371000000.0,12293036000000.0,12602159000000.0,13316081000000.0,12226193000000.0,11791347000000.0
2072.0,12830017000000.0,11034183000000.0,12478408000000.0,11762929000000.0,12142338000000.0,12265269000000.0,12594614000000.0,13295048000000.0,12168782000000.0,11762075000000.0
2073.0,12816351000000.0,10948992000000.0,12450513000000.0,11718156000000.0,12117495000000.0,12235184000000.0,12564948000000.0,13285076000000.0,12132973000000.0,11711456000000.0
2074.0,12804731000000.0,10849558000000.0,12423526000000.0,11649513000000.0,12082621000000.0,12233269000000.0,12542595000000.0,13270699000000.0,12077798000000.0,11688273000000.0
2075.0,12787808000000.0,10756233000000.0,12411948000000.0,11571153000000.0,12044158000000.0,12211846000000.0,12517867000000.0,13257941000000.0,12036922000000.0,11644598000000.0
2076.0,12786529000000.0,10679567000000.0,12377433000000.0,11501304000000.0,11992967000000.0,12165747000000.0,12495523000000.0,13260860000000.0,12018993000000.0,11604436000000.0
2077.0,12780026000000.0,10601231000000.0,12374647000000.0,11445127000000.0,11946413000000.0,12131415000000.0,12467787000000.0,13243927000000.0,11970265000000.0,11582433000000.0
2078.0,12777120000000.0,10522397000000.0,12357180000000.0,11391272000000.0,11912507000000.0,12102167000000.0,12445192000000.0,13224805000000.0,11925968000000.0,11532473000000.0
2079.0,12757226000000.0,10439418000000.0,12356408000000.0,11336093000000.0,11886964000000.0,12070921000000.0,12419375000000.0,13215605000000.0,11882665000000.0,11507701000000.0
2080.0,12726581000000.0,10364831000000.0,12331425000000.0,11289906000000.0,11865933000000.0,12037017000000.0,12388800000000.0,13201366000000.0,11851876000000.0,11444440000000.0
2081.0,12725803000000.0,10295603000000.0,12311163000000.0,11272732000000.0,11831126000000.0,12032532000000.0,12354806000000.0,13191048000000.0,11818777000000.0,11397911000000.0
2082.0,12715013000000.0,10197028000000.0,12298699000000.0,11230497000000.0,11803011000000.0,12020456000000.0,12334907000000.0,13185445000000.0,11767503000000.0,11353896000000.0
2083.0,12706815000000.0,10134918000000.0,12270965000000.0,11194414000000.0,11774062000000.0,11998724000000.0,12318805000000.0,13172414000000.0,11745552000000.0,11309144000000.0
2084.0,12689607000000.0,10048674000000.0,12271429000000.0,11170403000000.0,11744936000000.0,11977228000000.0,12287824000000.0,13156222000000.0,11708100000000.0,11285827000000.0
2085.0,12682057000000.0,9984605000000.0,12245447000000.0,11142109000000.0,11727682000000.0,11965329000000.0,12254628000000.0,13148953000000.0,11684670000000.0,11257743000000.0
2086.0,12660210000000.0,9902645000000.0,12221696000000.0,11073530000000.0,11699320000000.0,11962307000000.0,12231888000000.0,13113774000000.0,11657261000000.0,11230043000000.0
2087.0,12640850000000.0,9843235000000.0,12219672000000.0,11017538000000.0,11652779000000.0,11931605000000.0,12216593000000.0,13111547000000.0,11595830000000.0,11202095000000.0
2088.0,12627674000000.0,9761565000000.0,12203687000000.0,11003965000000.0,11630957000000.0,11885512000000.0,12195854000000.0,13098591000000.0,11581197000000.0,11150720000000.0
