time,IPSL-CM5A-LR,GFDL-ESM2G,CSIRO-MK3-6-0,GFDL-CM3,CCSM4,NORESM1-M,CESM1-CAM5,CNRM-CM5,CANESM2,GISS-E2-R,MPI-ESM-LR
2000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0,90413660000.0
2001.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0,90246180000.0
2002.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0,90192990000.0
2003.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0,89933700000.0
2004.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0,89744590000.0
2005.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0,89784790000.0
2006.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0,89880930000.0
2007.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0,90208840000.0
2008.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0,89853610000.0
2009.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0,89713000000.0
2010.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0,89345500000.0
2011.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0,89230610000.0
2012.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0,89465110000.0
2013.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0,89709640000.0
2014.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0,90436930000.0
2015.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0,89560680000.0
2016.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0,90794930000.0
2017.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0,89558260000.0
2018.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0,89471260000.0
2019.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0,91231260000.0
2020.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0,89192840000.0
2021.0,88876090000.0,89065650000.0,89002420000.0,88835850000.0,89253740000.0,88860290000.0,88750420000.0,89101615000.0,89158370000.0,89297550000.0,89141650000.0
2022.0,88835465000.0,89082660000.0,88994865000.0,88661760000.0,89483710000.0,88839000000.0,88468320000.0,88633850000.0,88773500000.0,88903480000.0,88883220000.0
2023.0,88533220000.0,88874720000.0,88934910000.0,88549655000.0,88841170000.0,88478925000.0,88760500000.0,89489970000.0,88614740000.0,88847870000.0,88777064000.0
2024.0,88243610000.0,88875280000.0,88752860000.0,88287060000.0,88891690000.0,88462630000.0,88686270000.0,88413905000.0,89265270000.0,89382190000.0,88815610000.0
2025.0,88293640000.0,88763530000.0,88469365000.0,88081244000.0,88535930000.0,88608820000.0,88109160000.0,88354520000.0,88722506000.0,89179630000.0,88459040000.0
2026.0,88222850000.0,88510890000.0,88327410000.0,87904020000.0,88368800000.0,88346140000.0,87822590000.0,88446160000.0,88456520000.0,89613976000.0,88418116000.0
2027.0,87988310000.0,88873570000.0,88215536000.0,87659560000.0,88164050000.0,88006476000.0,87783940000.0,88209720000.0,88182160000.0,90081410000.0,88581290000.0
2028.0,87772420000.0,88426050000.0,88109335000.0,87364080000.0,88001880000.0,87872670000.0,87412740000.0,87941070000.0,88062420000.0,89231650000.0,88039610000.0
2029.0,87497750000.0,88555045000.0,88136920000.0,87144220000.0,88172050000.0,87668290000.0,87224620000.0,87685005000.0,87841505000.0,88818794000.0,87770210000.0
2030.0,87399735000.0,88505700000.0,88637596000.0,86919160000.0,88012050000.0,87484750000.0,86948680000.0,87474900000.0,87678180000.0,88605890000.0,87587160000.0
2031.0,87365100000.0,88234620000.0,88038736000.0,86566035000.0,87683160000.0,87313920000.0,86585960000.0,87486800000.0,87762520000.0,89378110000.0,87574020000.0
2032.0,87999775000.0,88125465000.0,87810380000.0,86294720000.0,87930290000.0,87597070000.0,86313560000.0,87328390000.0,87825375000.0,88702320000.0,87172340000.0
2033.0,86865350000.0,87952320000.0,87742644000.0,85836650000.0,87583990000.0,87194526000.0,85948770000.0,87016360000.0,87494164000.0,88393515000.0,86897010000.0
2034.0,86522100000.0,87725285000.0,87439600000.0,85730810000.0,87489420000.0,86904330000.0,85622280000.0,87132640000.0,86966590000.0,88083310000.0,86762380000.0
2035.0,86421650000.0,87544490000.0,87450960000.0,85182005000.0,87185100000.0,86599746000.0,85236540000.0,87337165000.0,86779960000.0,87727070000.0,86379086000.0
2036.0,86091400000.0,87508810000.0,87180800000.0,84720600000.0,87293900000.0,86330900000.0,84936960000.0,86887030000.0,86520850000.0,87853515000.0,86191550000.0
2037.0,85944510000.0,87279600000.0,88149680000.0,84291486000.0,86785930000.0,86090560000.0,84600370000.0,87257270000.0,86553300000.0,87493070000.0,86299180000.0
2038.0,85554480000.0,87214785000.0,87596960000.0,83863570000.0,86683060000.0,85887310000.0,84208380000.0,86801170000.0,86084720000.0,87420760000.0,85852640000.0
2039.0,85232026000.0,87055516000.0,87060775000.0,83433005000.0,86247850000.0,85790320000.0,83866080000.0,86608420000.0,85829165000.0,87801040000.0,85477220000.0
2040.0,84865510000.0,86839575000.0,86824730000.0,82856480000.0,86414090000.0,85390650000.0,83373900000.0,85992450000.0,85624635000.0,87093860000.0,85228265000.0
2041.0,84709390000.0,87125460000.0,86567310000.0,82365690000.0,86557740000.0,85131846000.0,82989720000.0,86689710000.0,85646795000.0,87035700000.0,85002174000.0
2042.0,85352310000.0,87491990000.0,86502220000.0,81793065000.0,86315460000.0,84857850000.0,82455420000.0,85658830000.0,85638910000.0,86734610000.0,84948260000.0
2043.0,84579370000.0,86550100000.0,86405880000.0,81232100000.0,86189690000.0,84567590000.0,81906690000.0,85774010000.0,85072590000.0,87585186000.0,84510940000.0
2044.0,84675580000.0,86719930000.0,86185210000.0,80615930000.0,85545240000.0,84504950000.0,81776150000.0,85278340000.0,84770870000.0,86536800000.0,84159996000.0
