time,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2739362600000.0,2751817800000.0,2752037500000.0,2758309000000.0,2760143300000.0
2022.0,2698626200000.0,2751579600000.0,2754192000000.0,2746056700000.0,2735366500000.0
2023.0,2638125000000.0,2760981300000.0,2720280600000.0,2698935300000.0,2710987600000.0
2024.0,2588250500000.0,2737659200000.0,2708657000000.0,2669545000000.0,2672519500000.0
2025.0,2520116600000.0,2720158400000.0,2695625700000.0,2645061000000.0,2632125300000.0
2026.0,2462748800000.0,2678733000000.0,2711319500000.0,2620321700000.0,2595174700000.0
2027.0,2446816700000.0,2646469800000.0,2682318500000.0,2568912000000.0,2554558200000.0
2028.0,2388664300000.0,2622139400000.0,2642844300000.0,2534742000000.0,2532490000000.0
2029.0,2340142000000.0,2578540400000.0,2613947000000.0,2518129000000.0,2497567500000.0
2030.0,2265443000000.0,2562904300000.0,2620002100000.0,2508589600000.0,2446223000000.0
