time,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0
2000.0,34404925000.0,34404925000.0,34404925000.0,34404925000.0
2001.0,34003677000.0,34003677000.0,34003677000.0,34003677000.0
2002.0,33861126000.0,33861126000.0,33861126000.0,33861126000.0
2003.0,33831154000.0,33831154000.0,33831154000.0,33831154000.0
2004.0,34238032000.0,34238032000.0,34238032000.0,34238032000.0
2005.0,34221998000.0,34221998000.0,34221998000.0,34221998000.0
2006.0,34368803000.0,34368803000.0,34368803000.0,34368803000.0
2007.0,34094338000.0,34094338000.0,34094338000.0,34094338000.0
2008.0,33877320000.0,33877320000.0,33877320000.0,33877320000.0
2009.0,33916482000.0,33916482000.0,33916482000.0,33916482000.0
2010.0,34059723000.0,34059723000.0,34059723000.0,34059723000.0
2011.0,34391646000.0,34391646000.0,34391646000.0,34391646000.0
2012.0,33925440000.0,33925440000.0,33925440000.0,33925440000.0
2013.0,33831766000.0,33831766000.0,33831766000.0,33831766000.0
2014.0,33800829000.0,33800829000.0,33800829000.0,33800829000.0
2015.0,33834640000.0,33834640000.0,33834640000.0,33834640000.0
2016.0,34797175000.0,34797175000.0,34797175000.0,34797175000.0
2017.0,33815650000.0,33815650000.0,33815650000.0,33815650000.0
2018.0,33812302000.0,33812302000.0,33812302000.0,33812302000.0
2019.0,33778313000.0,33778313000.0,33778313000.0,33778313000.0
2020.0,33945980000.0,33945980000.0,33945980000.0,33945980000.0
2021.0,33686977000.0,33975480000.0,33591790000.0,33739192000.0
2022.0,33727162000.0,33926020000.0,33482107000.0,33694372000.0
2023.0,33597321000.0,33659260000.0,33563793000.0,34244182000.0
2024.0,33573474000.0,33601343000.0,33441372000.0,33730880000.0
2025.0,33494868000.0,33518954000.0,33321572000.0,33589242000.0
2026.0,33451485000.0,33432852000.0,33202039000.0,33550584000.0
2027.0,33529602000.0,33335970000.0,33088362000.0,33854527000.0
2028.0,33320366000.0,33194465000.0,33036003000.0,33556562000.0
2029.0,33357605000.0,33271775000.0,33033007000.0,33435510000.0
2030.0,33177602000.0,33039940000.0,33026535000.0,33484296000.0
2031.0,33099213000.0,32922577000.0,33118304000.0,33340056000.0
2032.0,33078331000.0,32830181000.0,33305686000.0,33249921000.0
2033.0,33087873000.0,32755788000.0,32870302000.0,33184188000.0
2034.0,32877711000.0,32587418000.0,32706626000.0,33094760000.0
2035.0,32725123000.0,32450360000.0,32463526000.0,32976712000.0
2036.0,32640076000.0,32326355000.0,32415748000.0,32952906000.0
2037.0,32556460000.0,32160315000.0,32250286000.0,32798915000.0
2038.0,32411693000.0,31931455000.0,32275847000.0,32663781000.0
2039.0,32395612000.0,31793568000.0,32255210000.0,32609044000.0
2040.0,32346165000.0,31532452000.0,31884694000.0,32455720000.0
2041.0,32133726000.0,31416875000.0,31689134000.0,32455064000.0
2042.0,31997528000.0,31214084000.0,31551482000.0,32584143000.0
2043.0,31882332000.0,31000058000.0,31371460000.0,32162132000.0
2044.0,31753832000.0,30811902000.0,31165786000.0,31991390000.0
2045.0,31623570000.0,30706120000.0,31270060000.0,32417632000.0
2046.0,31498795000.0,30758550000.0,30955055000.0,31841050000.0
2047.0,31366099000.0,30496983000.0,30873660000.0,31633318000.0
2048.0,31237437000.0,30316665000.0,30586850000.0,31440710000.0
2049.0,30975728000.0,30176460000.0,30495259000.0,31385410000.0
