time,CNRM-CM6-1,MIROC6,MPI-ESM1-2-HR,CESM2-WACCM,IITM-ESM,CNRM-ESM2-1,TAIESM1,UKESM1-0-LL,GFDL-ESM4,EC-EARTH3,CANESM5,KACE-1-0-G,IPSL-CM6A-LR,MRI-ESM2-0
2035.0,33988858000.0,47843414000.0,47397294000.0,29691310000.0,54844470000.0,38003810000.0,26215107000.0,25459542000.0,40257650000.0,36468863000.0,28461482000.0,36571677000.0,34511410000.0,36619997000.0
2036.0,33841912000.0,48380998000.0,46577934000.0,28443607000.0,52528110000.0,38126027000.0,25493647000.0,24126568000.0,40325280000.0,35780830000.0,26006884000.0,35304174000.0,33187054000.0,37135753000.0
2037.0,31994149000.0,46006702000.0,47699970000.0,25383203000.0,51191930000.0,34981110000.0,24293403000.0,22118572000.0,38339080000.0,33301180000.0,25283453000.0,32455033000.0,32535749000.0,36117803000.0
2038.0,30859043000.0,41834720000.0,47946093000.0,24852478000.0,48382226000.0,33362475000.0,22327091000.0,20145550000.0,36354114000.0,30425745000.0,24923881000.0,30333422000.0,30377210000.0,34988397000.0
2039.0,30133731000.0,41625985000.0,47291707000.0,23412607000.0,47285772000.0,34127188000.0,21578607000.0,19598596000.0,36097303000.0,30656633000.0,24206490000.0,29495423000.0,27749014000.0,34616865000.0
2040.0,28518179000.0,42460910000.0,46084530000.0,21963350000.0,48276787000.0,34241100000.0,21392515000.0,18780220000.0,35875690000.0,29320163000.0,23419734000.0,28357149000.0,26916764000.0,33132659000.0
2041.0,27004269000.0,43682546000.0,43514937000.0,20779088000.0,46879695000.0,32732592000.0,21311795000.0,18263323000.0,36235612000.0,24940753000.0,22755891000.0,26790367000.0,27016229000.0,31132625000.0
2042.0,25988209000.0,43829207000.0,41321796000.0,18606713000.0,45305586000.0,32833081000.0,20969196000.0,18158006000.0,35052410000.0,25403556000.0,22163517000.0,26299838000.0,26568145000.0,31324193000.0
2043.0,26540255000.0,42713090000.0,41900920000.0,18250130000.0,44560630000.0,30868371000.0,19140252000.0,17464834000.0,33268710000.0,25768012000.0,21190010000.0,26518026000.0,26126820000.0,30807441000.0
2044.0,25854978000.0,41650577000.0,41863516000.0,17292337000.0,42882765000.0,29108457000.0,18253441000.0,16634183000.0,31531810000.0,24862767000.0,20701008000.0,26884674000.0,26557448000.0,30077446000.0
2045.0,24680063000.0,41442767000.0,41734476000.0,15851398000.0,43255460000.0,27857134000.0,17021544000.0,16285613000.0,31764412000.0,22200422000.0,20578308000.0,27084320000.0,25814995000.0,28806640000.0
2046.0,24425169000.0,40795280000.0,39617626000.0,16330711000.0,41266040000.0,28219480000.0,15501982000.0,14925584000.0,31387376000.0,21495472000.0,20244170000.0,26922990000.0,25317732000.0,27741272000.0
2047.0,23466908000.0,37759000000.0,37330407000.0,15924022000.0,41926287000.0,25951285000.0,15355696000.0,13872028000.0,30367533000.0,19739038000.0,18135265000.0,26307447000.0,25740034000.0,28140982000.0
2048.0,23624430000.0,37337874000.0,37237240000.0,15373061000.0,40699867000.0,26283796000.0,15017411000.0,13440881000.0,30273020000.0,19008092000.0,17444035000.0,25778750000.0,25024977000.0,28258654000.0
2049.0,22348734000.0,37733950000.0,37441827000.0,14806624000.0,40018633000.0,24267665000.0,13880112000.0,13826824000.0,30394794000.0,18386668000.0,17888975000.0,26634578000.0,24336142000.0,27154400000.0
2050.0,20666227000.0,37047693000.0,37124784000.0,14366678000.0,39080923000.0,23164668000.0,13173559000.0,13988685000.0,29491930000.0,18780967000.0,17712976000.0,25925392000.0,23825402000.0,27332610000.0
2051.0,21796872000.0,34879300000.0,35771120000.0,13631371000.0,39432675000.0,21563695000.0,13181769000.0,13727088000.0,29376410000.0,17280168000.0,17583004000.0,24922835000.0,23272876000.0,26830428000.0
