time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0
2001.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0
2002.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0
2003.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0
2004.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0
2005.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0
2006.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0
2007.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0
2008.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0
2009.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0
2010.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0
2011.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0
2012.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0
2013.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0
2014.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0
2015.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0
2016.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0
2017.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0
2018.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0
2019.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0
2020.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0
2021.0,68312703000.0,72386730000.0,70783880000.0,71619750000.0,67850666000.0
2022.0,64054944000.0,68663610000.0,67857207000.0,65563685000.0,62865400000.0
2023.0,59676877000.0,67094100000.0,64028717000.0,62423210000.0,55761048000.0
2024.0,51661353000.0,65616690000.0,63853070000.0,59912230000.0,52118843000.0
2025.0,47758030000.0,62430183000.0,62434746000.0,58331290000.0,48866160000.0
2026.0,45137097000.0,58568286000.0,58741090000.0,55058883000.0,46158460000.0
2027.0,40475220000.0,56144100000.0,55543560000.0,53412800000.0,42324554000.0
2028.0,38731310000.0,52901482000.0,52079022000.0,51195910000.0,36013190000.0
2029.0,36811526000.0,49285145000.0,49339190000.0,46928703000.0,33263383000.0
2030.0,35235434000.0,47015318000.0,48213692000.0,42260787000.0,32331563000.0
2031.0,34276364000.0,44193145000.0,43736048000.0,37622850000.0,30564153000.0
2032.0,31363408000.0,41633227000.0,39007986000.0,35763364000.0,28229777000.0
2033.0,28855097000.0,37364105000.0,37925630000.0,35190825000.0,27499833000.0
2034.0,24964432000.0,35916290000.0,35071100000.0,34856630000.0,24752327000.0
2035.0,23386733000.0,35269366000.0,36118032000.0,33203102000.0,22494020000.0
2036.0,22956810000.0,33420986000.0,34540550000.0,32809955000.0,21229195000.0
2037.0,20994808000.0,31248925000.0,30711871000.0,31678943000.0,20222444000.0
2038.0,19913218000.0,29332257000.0,30644599000.0,30759848000.0,19275114000.0
2039.0,19931718000.0,27781149000.0,28388663000.0,28691458000.0,16939760000.0
2040.0,18596710000.0,26584054000.0,24797082000.0,27162616000.0,15758129000.0
2041.0,17377591000.0,24986446000.0,22841072000.0,26667188000.0,13817194000.0
2042.0,15192271000.0,22807585000.0,20648650000.0,23774941000.0,12345476000.0
2043.0,14032804000.0,21897605000.0,21483002000.0,20425343000.0,11078978000.0
2044.0,13516723000.0,21471875000.0,21232648000.0,19683107000.0,9368599000.0
2045.0,12332390000.0,20221635000.0,19250668000.0,18363234000.0,9257407000.0
2046.0,10955740000.0,19241292000.0,17208805000.0,17041062000.0,9438976000.0
2047.0,11061974000.0,18319490000.0,17585742000.0,15815866000.0,9499465000.0
2048.0,10351626000.0,16793939000.0,16572040000.0,14887887000.0,9028802000.0
2049.0,9679032000.0,16749856000.0,15274985000.0,14165647000.0,8587901000.0
2050.0,9562895000.0,16727837000.0,15014959000.0,13142556000.0,7734579000.0
2051.0,9269776000.0,16252092000.0,14279451000.0,12342223000.0,7065095000.0
2052.0,7987593000.0,15882847000.0,12676508000.0,12342427000.0,6170809000.0
2053.0,7896230000.0,15363876000.0,12616828000.0,12483053000.0,6000720000.0
2054.0,8028891600.0,15348518000.0,11349404000.0,11884671000.0,5897673000.0
2055.0,7953858600.0,15566541000.0,10165590000.0,11278608000.0,5477912000.0
2056.0,7384264700.0,15273728000.0,10153234000.0,11248531000.0,5109586000.0
2057.0,6999331300.0,14622215000.0,9956319000.0,11209752000.0,4988320000.0
2058.0,6707603500.0,14478882000.0,10030502000.0,10920699000.0,4786529300.0
2059.0,6333682000.0,14341252000.0,9508021000.0,10643624000.0,4512969000.0
2060.0,5794628600.0,13715219000.0,9184418000.0,10918703000.0,4379564500.0
2061.0,5871804400.0,13595587000.0,9545983000.0,10764512000.0,4026225700.0
2062.0,5725974500.0,13701677000.0,9453069000.0,10399141000.0,3628905700.0
2063.0,5433114600.0,13150005000.0,8550652400.0,10539653000.0,3462568400.0
2064.0,4922301400.0,12653967000.0,8709969000.0,10449803000.0,3563188000.0
2065.0,4832673300.0,12127969000.0,9025159000.0,9831469000.0,3575437000.0
2066.0,4535950300.0,12540648000.0,9027419000.0,10093373000.0,3488814600.0
2067.0,4752961500.0,12901386000.0,8799394000.0,10112827000.0,3187342800.0
2068.0,4924528000.0,12638651000.0,8563317000.0,9371481000.0,3174832000.0
2069.0,5107100700.0,12674507000.0,8866043000.0,8724021000.0,3171891000.0
2070.0,5065605000.0,12853458000.0,8539263500.0,8717876000.0,3230694100.0
2071.0,4821591000.0,12705545000.0,8126888000.0,9009814000.0,3350284000.0
2072.0,4625677000.0,12450829000.0,8513423400.0,9020903000.0,3471933200.0
2073.0,4491151400.0,12482757000.0,8125678600.0,9120157000.0,3318735400.0
2074.0,4634447000.0,12320101000.0,7645523500.0,9069886000.0,3082534100.0
2075.0,4485708000.0,12520614000.0,7783310300.0,8700652000.0,3357153000.0
2076.0,4428415000.0,12856129000.0,7546879000.0,9027015000.0,3541624000.0
2077.0,4354219500.0,12977971000.0,7891278300.0,9335036000.0,3530313700.0
2078.0,4303805000.0,13197305000.0,7781296000.0,9465985000.0,3535312400.0
2079.0,4578710000.0,13079675000.0,7206832000.0,9204542000.0,3651798000.0
2080.0,4816490500.0,12902178000.0,7216897000.0,9288223000.0,3844764700.0
2081.0,4780406300.0,12992559000.0,7403542000.0,9281843000.0,3858512400.0
2082.0,4807688700.0,12507098000.0,7501587500.0,8874713000.0,3792294400.0
2083.0,4603949000.0,12511123000.0,7705389600.0,8929388000.0,3971326000.0
2084.0,4307956700.0,12778860000.0,7251208700.0,9007062000.0,4046498600.0
2085.0,4495033300.0,13045729000.0,7504752000.0,9298962000.0,4098958300.0
2086.0,4770556000.0,12994098000.0,7419067000.0,9593447000.0,4152420600.0
2087.0,4748014600.0,13256269000.0,7359149600.0,9816115000.0,4175997200.0
2088.0,4512331300.0,13081137000.0,7688342500.0,9536556000.0,4234560800.0
2089.0,4556153000.0,13192432000.0,7687958000.0,9802649000.0,3859621000.0
2090.0,4861661700.0,13530996000.0,7856896500.0,9660681000.0,3738529800.0
2091.0,5119959600.0,13720934000.0,7698744000.0,9273442000.0,3800430000.0
2092.0,5314329600.0,13980277000.0,7468890000.0,9079910000.0,3679075300.0
2093.0,5527762000.0,14047308000.0,7870214700.0,9568131000.0,3656572400.0
2094.0,5781259000.0,14117728000.0,7713612000.0,10036413000.0,3725421600.0
2095.0,5797569500.0,14288791000.0,7983293400.0,9758686000.0,3841277200.0
2096.0,5807397400.0,14023854000.0,7776052700.0,9976436000.0,3892480500.0
2097.0,6113192400.0,13994018000.0,8152334300.0,10195807000.0,3774688500.0
2098.0,6247907000.0,14313922000.0,7866975700.0,10232560000.0,3929878500.0
2099.0,6133871600.0,14831314000.0,7447682600.0,10259856000.0,4080296200.0
2100.0,6289208000.0,15188677000.0,7724466700.0,10275151000.0,4108230000.0
