time,CSIRO-MK3-6-0,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G,NORESM1-M
2000.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0
2001.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0
2002.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0
2003.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0
2004.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0
2005.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0
2006.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0
2007.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0
2008.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0
2009.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0
2010.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0
2011.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0
2012.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0
2013.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0
2014.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1929152100.0,1914674700.0,1933150700.0,1940584300.0,1925882900.0,1910646300.0,1924532200.0,1925486700.0
2022.0,1900233000.0,1953263700.0,1880366800.0,1936246100.0,1984931000.0,1869405200.0,1957928700.0,1902520400.0
2023.0,1870808000.0,1902904700.0,1846083700.0,1894040300.0,1875617800.0,1869320400.0,1925498800.0,1861268200.0
2024.0,1824788100.0,1925774800.0,1800970000.0,1859428500.0,1860313500.0,1819672400.0,1895624100.0,1822412300.0
2025.0,1784357200.0,1874698800.0,1908438800.0,1826905600.0,1813727000.0,1772446500.0,1857628500.0,1783659900.0
2026.0,1758236300.0,1829095400.0,1806375000.0,1788360800.0,1896584700.0,1724973600.0,1838571000.0,1790263700.0
2027.0,1733543600.0,1808326900.0,1726510700.0,1701089500.0,1772699500.0,1699512200.0,1806440300.0,1832456800.0
2028.0,1715168400.0,1862474200.0,1687827200.0,1652747900.0,1757561900.0,1662235400.0,1762476700.0,1843470800.0
2029.0,1685947300.0,1767775100.0,1692942100.0,1603355300.0,1754151300.0,1627628900.0,1757847300.0,1948801700.0
2030.0,1633691100.0,1756377000.0,1643815600.0,1540881800.0,1726904000.0,1588916900.0,1719907200.0,1720467500.0
2031.0,1575577000.0,1735924000.0,1611785700.0,1488490500.0,1672524200.0,1535020800.0,1716696600.0,1653511200.0
2032.0,1543294100.0,1688384900.0,1580305200.0,1412945800.0,1629444100.0,1483063200.0,1671334700.0,1611359500.0
2033.0,1540221300.0,1662058200.0,1642746100.0,1433627600.0,1635575300.0,1441936300.0,1666582300.0,1579183100.0
