time,NORESM1-M,MPI-ESM-LR,GFDL-ESM2G,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33955080000.0,33944148000.0,33937500000.0,33926992000.0,33944760000.0,33922998000.0,33948750000.0,33951699000.0,33932526000.0,33932431000.0,33934811000.0
2022.0,33933832000.0,33941522000.0,33925198000.0,33916797000.0,33934684000.0,33911126000.0,33944035000.0,33932431000.0,33914593000.0,33921663000.0,33924076000.0
2023.0,33908892000.0,33922384000.0,33916805000.0,33892178000.0,33993160000.0,33883113000.0,33930015000.0,33905631000.0,33889174000.0,33928053000.0,33909387000.0
2024.0,33913375000.0,33930553000.0,33912553000.0,33849000000.0,33998948000.0,33860893000.0,33922748000.0,33901462000.0,33853362000.0,33909475000.0,33898672000.0
2025.0,33896995000.0,33901990000.0,33905068000.0,33817438000.0,33984460000.0,33833042000.0,33923928000.0,33885411000.0,33838014000.0,33872038000.0,33881030000.0
2026.0,33874227000.0,33882628000.0,33886097000.0,33788008000.0,33971382000.0,33815194000.0,33899856000.0,33864684000.0,33813506000.0,33845744000.0,33863055000.0
2027.0,33862523000.0,33880120000.0,33856889000.0,33722046000.0,33981764000.0,33801343000.0,33877836000.0,33850096000.0,33764729000.0,33835966000.0,33842504000.0
2028.0,33845096000.0,33860745000.0,33863662000.0,33680339000.0,33938990000.0,33775868000.0,33885495000.0,33824825000.0,33725708000.0,33775639000.0,33827078000.0
2029.0,33820486000.0,33842416000.0,33849055000.0,33571500000.0,33948447000.0,33727440000.0,33875464000.0,33782540000.0,33681992000.0,33728290000.0,33823668000.0
2030.0,33769000000.0,33809365000.0,33806045000.0,33530462000.0,33922750000.0,33695650000.0,33859430000.0,33764225000.0,33631044000.0,33677603000.0,33786986000.0
2031.0,33743993000.0,33796920000.0,33779194000.0,33456419000.0,33899465000.0,33657475000.0,33834790000.0,33743178000.0,33583080000.0,33623118000.0,33766975000.0
2032.0,33730028000.0,33779272000.0,33768350000.0,33348390000.0,33891740000.0,33619368000.0,33816472000.0,33710924000.0,33483530000.0,33557805000.0,33752347000.0
