time,NORESM1-M,GFDL-ESM2G,CCSM4,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33934980000.0,33972623000.0,33938510000.0,33941471000.0,33941522000.0,33946310000.0,33939000000.0
2022.0,33925370000.0,33935358000.0,33928757000.0,33930775000.0,33928480000.0,33933939000.0,33930110000.0
2023.0,33929052000.0,33930922000.0,33920752000.0,33920975000.0,33913942000.0,33928540000.0,33904054000.0
2024.0,33931393000.0,33915030000.0,33914630000.0,33905215000.0,33907227000.0,33936087000.0,33890230000.0
2025.0,33911876000.0,33906176000.0,33892573000.0,33893888000.0,33888227000.0,33925294000.0,33863987000.0
2026.0,33878493000.0,33877426000.0,33870256000.0,33875968000.0,33884547000.0,33905797000.0,33847263000.0
2027.0,33859949000.0,33853379000.0,33859437000.0,33856664000.0,33860536000.0,33902830000.0,33831789000.0
2028.0,33844670000.0,33837812000.0,33849602000.0,33840157000.0,33873306000.0,33887600000.0,33880410000.0
2029.0,33817975000.0,33816373000.0,33836104000.0,33807874000.0,33847347000.0,33879070000.0,33784508000.0
2030.0,33800372000.0,33782254000.0,33795666000.0,33773690000.0,33812963000.0,33862908000.0,33911646000.0
2031.0,33789213000.0,33776517000.0,33766509000.0,33752867000.0,33791527000.0,33825910000.0,33773402000.0
2032.0,33763240000.0,33765503000.0,33747694000.0,33730673000.0,33773302000.0,33802617000.0,33755455000.0
2033.0,33733786000.0,33746565000.0,33728645000.0,33713420000.0,33763676000.0,33795885000.0,33723679000.0
2034.0,33708597000.0,33722642000.0,33699287000.0,33676330000.0,33743618000.0,33822702000.0,33673640000.0
2035.0,33694070000.0,33704845000.0,33655945000.0,33632432000.0,33722794000.0,33764442000.0,33642758000.0
2036.0,33656812000.0,33679256000.0,33616234000.0,33589617000.0,33709840000.0,33735606000.0,33611825000.0
2037.0,33619161000.0,33659073000.0,33588343000.0,33562712000.0,33692162000.0,33699506000.0,33579606000.0
2038.0,33578193000.0,33631357000.0,33559454000.0,33530712000.0,33699707000.0,33664410000.0,33532850000.0
2039.0,33544560000.0,33602610000.0,33531865000.0,33497830000.0,33648497000.0,33644243000.0,33502417000.0
2040.0,33528863000.0,33570234000.0,33453914000.0,33409563000.0,33639643000.0,33628236000.0,33447868000.0
2041.0,33490459000.0,33557619000.0,33412098000.0,33371986000.0,33613713000.0,33633751000.0,33404480000.0
2042.0,33396242000.0,33522903000.0,33369588000.0,33302073000.0,33592048000.0,33597344000.0,33353898000.0
2043.0,33349761000.0,33487940000.0,33335100000.0,33255030000.0,33578068000.0,33565448000.0,33277962000.0
2044.0,33302850000.0,33450010000.0,33281253000.0,33190457000.0,33555890000.0,33539450000.0,33191980000.0
2045.0,33257870000.0,33412809000.0,33223051000.0,33126930000.0,33516513000.0,33453580000.0,33092299000.0
2046.0,33195135000.0,33348954000.0,33164675000.0,33026226000.0,33503932000.0,33418146000.0,32945770000.0
2047.0,33126762000.0,33310943000.0,33055720000.0,32961442000.0,33469480000.0,33375543000.0,32766183000.0
2048.0,33085280000.0,33268412000.0,33004091000.0,32868880000.0,33434681000.0,33326184000.0,32656876000.0
2049.0,32982497000.0,33227485000.0,32954580000.0,32804295000.0,33404336000.0,33271405000.0,32531460000.0
2050.0,32888226000.0,33148901000.0,32884763000.0,32744280000.0,33323575000.0,33229234000.0,32372324000.0
2051.0,32830018000.0,33130800000.0,32829262000.0,32639128000.0,33305741000.0,33157452000.0,32222640000.0
2052.0,32739545000.0,33046575000.0,32767099000.0,32557918000.0,33275451000.0,33084928000.0,32034929000.0
2053.0,32618037000.0,32992575000.0,32651545000.0,32469582000.0,33207402000.0,33032774000.0,31835590000.0
2054.0,32512946000.0,32903686000.0,32548590000.0,32409364000.0,33169981000.0,32965493000.0,31671718000.0
2055.0,32417290000.0,32863955000.0,32448973000.0,32340767000.0,33111070000.0,32886872000.0,31382649000.0
2056.0,32290050000.0,32786840000.0,32380180000.0,32243993000.0,33085592000.0,32818514000.0,31114926000.0
2057.0,32198177000.0,32701014000.0,32263000000.0,32159162000.0,33009656000.0,32758760000.0,30858813000.0
2058.0,32142610000.0,32627253000.0,32201294000.0,32037022000.0,32957209000.0,32682746000.0,30595879000.0
2059.0,32073032000.0,32521822000.0,32111470000.0,31917875000.0,32920040000.0,32634360000.0,30145554000.0
2060.0,31987335000.0,32437932000.0,32033331000.0,31826958000.0,32887267000.0,32546327000.0,29827453000.0
2061.0,31862567000.0,32343292000.0,31920474000.0,31683224000.0,32868282000.0,32462612000.0,29601466000.0
2062.0,31766743000.0,32292307000.0,31778400000.0,31536407000.0,32772805000.0,32359969000.0,29253421000.0
2063.0,31653886000.0,32160305000.0,31671904000.0,31341855000.0,32695992000.0,32315628000.0,28862894000.0
2064.0,31569816000.0,32076042000.0,31576250000.0,31212063000.0,32647537000.0,32268138000.0,28457693000.0
2065.0,31471794000.0,31977280000.0,31476360000.0,31102693000.0,32571458000.0,32197950000.0,27952026000.0
2066.0,31413854000.0,31897990000.0,31433167000.0,30943816000.0,32516098000.0,32137169000.0,27448273000.0
2067.0,31292527000.0,31857814000.0,31317486000.0,30815613000.0,32407091000.0,32038916000.0,26941336000.0
2068.0,31118504000.0,31751012000.0,31095572000.0,30724230000.0,32328368000.0,31939360000.0,26417177000.0
2069.0,30944895000.0,31655485000.0,30955459000.0,30529548000.0,32268788000.0,31871570000.0,25967694000.0
2070.0,30763856000.0,31517512000.0,30754202000.0,30378836000.0,32168815000.0,31787194000.0,25425633000.0
2071.0,30637304000.0,31424096000.0,30567387000.0,30174222000.0,32124760000.0,31671634000.0,24695630000.0
2072.0,30450340000.0,31316683000.0,30402118000.0,29954890000.0,32048175000.0,31617264000.0,24122511000.0
2073.0,30288232000.0,31207494000.0,30272283000.0,29819664000.0,31992130000.0,31539995000.0,23607640000.0
2074.0,30093595000.0,31034060000.0,30095002000.0,29601114000.0,31885009000.0,31392639000.0,22863520000.0
2075.0,29842612000.0,30901903000.0,29944035000.0,29353867000.0,31811530000.0,31298042000.0,22295407000.0
2076.0,29651438000.0,30795340000.0,29778741000.0,29127066000.0,31737496000.0,31185986000.0,21844484000.0
2077.0,29411668000.0,30681776000.0,29576118000.0,28886555000.0,31652352000.0,31059917000.0,21333643000.0
2078.0,29257222000.0,30567460000.0,29432588000.0,28647967000.0,31560528000.0,30994987000.0,20888775000.0
2079.0,29093075000.0,30493930000.0,29247082000.0,28445243000.0,31485920000.0,30895858000.0,20582291000.0
2080.0,28888852000.0,30352988000.0,28940065000.0,28141554000.0,31391857000.0,30765142000.0,20159597000.0
2081.0,28667877000.0,30171134000.0,28776671000.0,27944360000.0,31300639000.0,30612115000.0,19693130000.0
2082.0,28430262000.0,30036490000.0,28490463000.0,27666750000.0,31198140000.0,30506630000.0,19267078000.0
2083.0,28191242000.0,29901859000.0,28194257000.0,27357643000.0,31116984000.0,30347040000.0,18811670000.0
2084.0,27975432000.0,29768270000.0,28026288000.0,27079473000.0,31011641000.0,30241320000.0,18368193000.0
2085.0,27646992000.0,29608897000.0,27900391000.0,26666920000.0,30856204000.0,30095397000.0,17974740000.0
2086.0,27385147000.0,29430411000.0,27681485000.0,26382866000.0,30752926000.0,29922972000.0,17667557000.0
2087.0,27178960000.0,29259463000.0,27441707000.0,26093492000.0,30639649000.0,29759128000.0,17293947000.0
