time,CCSM4,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,CANESM2,CNRM-CM5
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33939737000.0,33934825000.0,33940992000.0,33952643000.0,33933398000.0,33936520000.0,33937152000.0,33949358000.0,33937090000.0,33947017000.0
2022.0,33924534000.0,33917428000.0,33928722000.0,33953593000.0,33933335000.0,33918690000.0,33928681000.0,33925276000.0,33925941000.0,33928704000.0
2023.0,33903878000.0,33903878000.0,33918458000.0,33949276000.0,33920717000.0,33898103000.0,33909776000.0,33925648000.0,33903428000.0,33917647000.0
2024.0,33890790000.0,33892006000.0,33903235000.0,33942231000.0,33907700000.0,33868536000.0,33896909000.0,33924993000.0,33879194000.0,33904950000.0
2025.0,33882910000.0,33868573000.0,33882796000.0,33929183000.0,33875407000.0,33842158000.0,33875452000.0,33899390000.0,33855654000.0,33916180000.0
2026.0,33865734000.0,33846802000.0,33855916000.0,33911601000.0,33851828000.0,33809502000.0,33856416000.0,33889546000.0,33841455000.0,33878490000.0
2027.0,33843415000.0,33836390000.0,33827068000.0,33887160000.0,33843063000.0,33787406000.0,33844183000.0,33901850000.0,33829917000.0,33868083000.0
2028.0,33831643000.0,33817530000.0,33798402000.0,33892432000.0,33828413000.0,33740196000.0,33826013000.0,33871610000.0,33811503000.0,33863948000.0
2029.0,33812980000.0,33788731000.0,33760686000.0,33873564000.0,33784117000.0,33705296000.0,33820387000.0,33853778000.0,33779415000.0,33842022000.0
2030.0,33771780000.0,33769050000.0,33733181000.0,33849545000.0,33766701000.0,33668968000.0,33792193000.0,33813524000.0,33761378000.0,33842809000.0
2031.0,33753387000.0,33752693000.0,33706244000.0,33829497000.0,33764372000.0,33645584000.0,33788013000.0,33792748000.0,33811282000.0,33806043000.0
2032.0,33722913000.0,33722952000.0,33679387000.0,33811112000.0,33739237000.0,33643516000.0,33772902000.0,33779730000.0,33751250000.0,33797458000.0
2033.0,33701605000.0,33696817000.0,33673509000.0,33784773000.0,33692879000.0,33580372000.0,33767640000.0,33762159000.0,33728358000.0,33786157000.0
2034.0,33678823000.0,33669298000.0,33638834000.0,33782147000.0,33654930000.0,33505655000.0,33734334000.0,33743647000.0,33710883000.0,33767768000.0
2035.0,33643162000.0,33624238000.0,33612663000.0,33769355000.0,33590116000.0,33446150000.0,33708376000.0,33732454000.0,33689438000.0,33745666000.0
2036.0,33622006000.0,33594622000.0,33584767000.0,33730122000.0,33554310000.0,33399890000.0,33685189000.0,33722132000.0,33675219000.0,33712927000.0
2037.0,33578463000.0,33559010000.0,33556144000.0,33698839000.0,33520360000.0,33302086000.0,33651480000.0,33704157000.0,33630712000.0,33702064000.0
2038.0,33551217000.0,33531025000.0,33481435000.0,33667308000.0,33490072000.0,33222744000.0,33610700000.0,33663437000.0,33600260000.0,33680103000.0
2039.0,33532535000.0,33493637000.0,33430553000.0,33639170000.0,33453939000.0,33146507000.0,33587534000.0,33642980000.0,33578457000.0,33631748000.0
2040.0,33445263000.0,33464281000.0,33400500000.0,33603461000.0,33435654000.0,33090044000.0,33570445000.0,33608567000.0,33561014000.0,33590682000.0
2041.0,33403689000.0,33397318000.0,33356284000.0,33591226000.0,33419360000.0,32993210000.0,33513636000.0,33585740000.0,33531087000.0,33568487000.0
2042.0,33357158000.0,33338628000.0,33297488000.0,33574384000.0,33382900000.0,32893458000.0,33487426000.0,33565889000.0,33499466000.0,33532463000.0
2043.0,33288233000.0,33281683000.0,33271392000.0,33601198000.0,33338638000.0,32745441000.0,33439090000.0,33543584000.0,33394553000.0,33518610000.0
2044.0,33224423000.0,33218533000.0,33164536000.0,33562560000.0,33258025000.0,32635175000.0,33384560000.0,33542710000.0,33364376000.0,33478294000.0
2045.0,33155156000.0,33148510000.0,33103430000.0,33497438000.0,33184997000.0,32545390000.0,33354190000.0,33462315000.0,33349263000.0,33432943000.0
2046.0,33062355000.0,33085438000.0,33035231000.0,33473490000.0,33150870000.0,32408259000.0,33306421000.0,33420085000.0,33309010000.0,33373112000.0
2047.0,33005033000.0,32957815000.0,32978123000.0,33465830000.0,33112066000.0,32273555000.0,33274487000.0,33397314000.0,33279474000.0,33305030000.0
2048.0,32964123000.0,32857524000.0,32915524000.0,33450076000.0,33060741000.0,32138710000.0,33224830000.0,33351485000.0,33226359000.0,33250912000.0
2049.0,32925264000.0,32770906000.0,32837192000.0,33370862000.0,33010977000.0,31991693000.0,33134449000.0,33336330000.0,33174727000.0,33170299000.0
2050.0,32834826000.0,32647660000.0,32778443000.0,33326600000.0,32932123000.0,31878826000.0,33054853000.0,33311572000.0,33120270000.0,33125470000.0
2051.0,32786797000.0,32565592000.0,32657404000.0,33307960000.0,32868923000.0,31693328000.0,33016398000.0,33289950000.0,33060116000.0,33064686000.0
2052.0,32731996000.0,32424374000.0,32568450000.0,33275824000.0,32774689000.0,31590154000.0,32946096000.0,33237891000.0,33007403000.0,32979638000.0
2053.0,32616286000.0,32323226000.0,32516667000.0,33231813000.0,32694055000.0,31486902000.0,32912710000.0,33212800000.0,32913439000.0,32923568000.0
2054.0,32585300000.0,32236798000.0,32442778000.0,33212799000.0,32622490000.0,31388213000.0,32850580000.0,33164850000.0,32843040000.0,32834365000.0
2055.0,32534966000.0,32120451000.0,32345008000.0,33238854000.0,32568064000.0,31219750000.0,32799963000.0,33083523000.0,32795292000.0,32730143000.0
2056.0,32499444000.0,31982889000.0,32258408000.0,33149850000.0,32505643000.0,31062569000.0,32776786000.0,33031977000.0,32680458000.0,32645947000.0
2057.0,32352367000.0,31833072000.0,32210754000.0,33087816000.0,32408580000.0,30923264000.0,32697113000.0,32951396000.0,32605012000.0,32601610000.0
