time,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,NORESM1-M
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0
2021.0,53655675000.0,54365260000.0,54393180000.0,54428940000.0,56089520000.0,56258064000.0,55405863000.0,55574315000.0,54806778000.0,54891975000.0
2022.0,52978630000.0,55127830000.0,55149154000.0,52917236000.0,55192250000.0,58620920000.0,53686580000.0,54246530000.0,56028460000.0,52657066000.0
2023.0,52090536000.0,55293346000.0,54949544000.0,51207020000.0,54459077000.0,59189236000.0,52395745000.0,53606752000.0,56865673000.0,53185704000.0
2024.0,51155160000.0,57121145000.0,53910200000.0,50099773000.0,54926045000.0,57904087000.0,52481080000.0,52483973000.0,56770830000.0,53457007000.0
2025.0,49560805000.0,55683670000.0,52290370000.0,49166328000.0,53958390000.0,57225327000.0,50215200000.0,50882640000.0,55490330000.0,53155148000.0
2026.0,48276742000.0,54763758000.0,51618427000.0,48074350000.0,51713120000.0,56549614000.0,49375750000.0,50646974000.0,56075756000.0,52871830000.0
2027.0,47392068000.0,54680200000.0,49860570000.0,47512740000.0,49548560000.0,56768176000.0,48387408000.0,51175682000.0,56438686000.0,52030652000.0
2028.0,45761188000.0,54281010000.0,50714140000.0,47050930000.0,47354577000.0,56086240000.0,46846636000.0,51497430000.0,55617217000.0,51205366000.0
2029.0,44570300000.0,53085114000.0,50920500000.0,46283846000.0,46561608000.0,53752836000.0,45886505000.0,51132748000.0,54516330000.0,51555963000.0
2030.0,44671156000.0,52791484000.0,51431404000.0,45051840000.0,44947603000.0,53015800000.0,45504463000.0,50857456000.0,53984522000.0,50261510000.0
2031.0,44955795000.0,53064143000.0,49387380000.0,44237280000.0,43937910000.0,52128990000.0,44266566000.0,50011210000.0,52999640000.0,49184748000.0
