time,NORESM1-M,GFDL-ESM2G,CCSM4,CESM1-CAM5,GFDL-CM3,CSIRO-MK3-6-0,GISS-E2-R,IPSL-CM5A-LR
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0
2021.0,55022460000.0,55991940000.0,55842894000.0,54607290000.0,55160750000.0,55272255000.0,54002530000.0,54572780000.0
2022.0,55343280000.0,56638840000.0,56126296000.0,52935496000.0,54758590000.0,56560644000.0,54269930000.0,53550952000.0
2023.0,55669924000.0,56309264000.0,55847432000.0,51902734000.0,54477430000.0,56712536000.0,53771153000.0,53644870000.0
2024.0,54991100000.0,56054590000.0,55048897000.0,51871347000.0,52474704000.0,56356500000.0,54299670000.0,52829970000.0
2025.0,53884047000.0,57480983000.0,54117917000.0,51632906000.0,52840140000.0,56227607000.0,54269710000.0,52524753000.0
2026.0,52973410000.0,57358050000.0,52834850000.0,50428686000.0,52919550000.0,57968038000.0,53353873000.0,52548116000.0
2027.0,51801723000.0,56884646000.0,51794750000.0,51192214000.0,52879794000.0,57433768000.0,51948760000.0,51392168000.0
2028.0,50431152000.0,56411590000.0,51521315000.0,51034317000.0,53096645000.0,55118295000.0,51987534000.0,49396326000.0
2029.0,50332406000.0,57593647000.0,50467090000.0,50261328000.0,51886256000.0,53228990000.0,50766930000.0,48182310000.0
2030.0,50474775000.0,56865853000.0,49393200000.0,50025060000.0,51678330000.0,51222057000.0,49514730000.0,47986627000.0
2031.0,50370210000.0,57753166000.0,49256403000.0,50214450000.0,51129102000.0,49621540000.0,47881433000.0,46880000000.0
2032.0,49816187000.0,56765473000.0,47249908000.0,49868755000.0,50505978000.0,50345560000.0,48562913000.0,44938940000.0
2033.0,48435847000.0,55698743000.0,45689180000.0,49416560000.0,50972463000.0,48521277000.0,48343155000.0,45106725000.0
2034.0,47394427000.0,53290820000.0,44699560000.0,48421190000.0,51532018000.0,47256170000.0,47166360000.0,44959965000.0
2035.0,46424666000.0,52547610000.0,44684243000.0,47406110000.0,52456040000.0,46404723000.0,46444716000.0,45220250000.0
2036.0,45155095000.0,52217330000.0,44942516000.0,47741465000.0,52975624000.0,46367030000.0,45582790000.0,45975503000.0
2037.0,43503403000.0,51237876000.0,44085100000.0,47789605000.0,53366950000.0,46857097000.0,46023370000.0,45308750000.0
