time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2276062000.0,2224074800.0,2249797600.0,2246184700.0,2285997600.0
2022.0,2244370700.0,2239213600.0,2232282400.0,2200969000.0,2250884400.0
2023.0,2196683300.0,2197832200.0,2291095800.0,2153258500.0,2229667600.0
2024.0,2213035000.0,2137652900.0,2234606300.0,2113817200.0,2173310000.0
2025.0,2172787200.0,2094178000.0,2171759900.0,2098971600.0,2153256000.0
2026.0,2113327600.0,2039933600.0,2133658900.0,2040271200.0,2131452800.0
2027.0,2048013800.0,1981787100.0,2109892500.0,1983471600.0,2117794600.0
2028.0,2007919600.0,1937598600.0,2194358000.0,1938615200.0,2025156400.0
2029.0,1954454300.0,1879869600.0,2079723800.0,1860230500.0,2016637800.0
2030.0,1895761200.0,1850920800.0,2095137800.0,1858673700.0,1942645600.0
2031.0,1841686800.0,1783580300.0,2060531800.0,1748119700.0,1928827900.0
2032.0,1781666700.0,1702845600.0,2025169700.0,1640947300.0,1965167400.0
2033.0,1713864200.0,1638400800.0,1954914200.0,1567586600.0,1897389300.0
2034.0,1653983500.0,1578248100.0,1905617700.0,1492707700.0,1783162500.0
2035.0,1610566100.0,1517299100.0,1841551700.0,1414002300.0,1729973000.0
2036.0,1563208800.0,1487696900.0,1796891400.0,1336923600.0,1680009500.0
2037.0,1482725500.0,1425744900.0,1760011400.0,1260725400.0,1704542700.0
2038.0,1409957200.0,1335581400.0,1724622700.0,1201604000.0,1638787100.0
2039.0,1384970200.0,1279746800.0,1771037200.0,1135718500.0,1611012600.0
2040.0,1295371000.0,1212390100.0,1661102600.0,1023536300.0,1537119100.0
2041.0,1223136600.0,1136755600.0,1682134100.0,972994900.0,1439875700.0
2042.0,1165466200.0,1065070850.0,1586880000.0,889295100.0,1377425500.0
2043.0,1091264600.0,1006489600.0,1511923800.0,836322750.0,1302208400.0
2044.0,1016318660.0,962515400.0,1455184800.0,767610500.0,1250052400.0
2045.0,955332300.0,901661300.0,1445306800.0,711415900.0,1170593800.0
2046.0,897911200.0,856148300.0,1362215200.0,653234940.0,1110815700.0
2047.0,839137400.0,853424100.0,1331368200.0,610454460.0,1054634430.0
2048.0,787633500.0,799766500.0,1278882800.0,549890100.0,1005386430.0
2049.0,747570200.0,787722940.0,1219663400.0,497819940.0,943182340.0
2050.0,691070900.0,725208300.0,1269739900.0,452248400.0,895071400.0
2051.0,642029440.0,682216300.0,1230626600.0,403932960.0,844654700.0
2052.0,617778200.0,672959740.0,1173871500.0,366306800.0,794398340.0
2053.0,572862200.0,633178560.0,1106002700.0,334480500.0,767698300.0
2054.0,535800540.0,600419000.0,1007979260.0,316385630.0,761819500.0
2055.0,532449180.0,567172030.0,944363200.0,300577820.0,663419200.0
2056.0,480632320.0,562162200.0,933961800.0,279798660.0,625178400.0
2057.0,456291230.0,532726500.0,867530300.0,255388480.0,589146800.0
2058.0,431791040.0,506261280.0,942262300.0,237217970.0,562419200.0
2059.0,404684600.0,494083100.0,813699700.0,221159790.0,533833950.0
2060.0,381903230.0,484564800.0,782926460.0,206736340.0,504733920.0
2061.0,360010100.0,443239780.0,761762100.0,199654850.0,486837400.0
2062.0,339660700.0,495651900.0,815334200.0,178458830.0,462525900.0
2063.0,326705060.0,430364320.0,717051460.0,168479700.0,432205760.0
2064.0,306405060.0,405230900.0,672314000.0,157043230.0,418647200.0
2065.0,280613280.0,388319140.0,647359800.0,145688860.0,401783420.0
2066.0,258243180.0,414423900.0,782123970.0,140361800.0,393258750.0
2067.0,236614780.0,370918560.0,701784640.0,135239540.0,369094820.0
2068.0,238947540.0,358507000.0,598708700.0,128786550.0,348085760.0
2069.0,213020930.0,374010050.0,577166100.0,126013670.0,314413280.0
2070.0,203453780.0,342613400.0,692527740.0,119590370.0,296010050.0
2071.0,203966370.0,329299100.0,585763200.0,124941210.0,282377540.0
2072.0,224315260.0,322559500.0,538795200.0,111521464.0,286388160.0
2073.0,189524860.0,302997630.0,590405300.0,108312530.0,247743400.0
2074.0,189564290.0,326496220.0,522338720.0,106385740.0,238520620.0
2075.0,180582220.0,300747740.0,498666080.0,104149590.0,232808930.0
2076.0,175113630.0,282647140.0,526951000.0,100384056.0,250085490.0
2077.0,172260640.0,370647330.0,499400030.0,99836216.0,219012210.0
2078.0,169929570.0,437317570.0,452349200.0,97070040.0,213908110.0
2079.0,164534560.0,306284400.0,433724640.0,94311770.0,204086100.0
2080.0,162654320.0,284666780.0,433108800.0,91535176.0,201772740.0
2081.0,168035100.0,274950270.0,417769920.0,90521930.0,192995870.0
2082.0,160155920.0,345940640.0,428505150.0,89468584.0,200833650.0
2083.0,158742240.0,270725700.0,387032740.0,86932940.0,192045490.0
2084.0,160831890.0,362650800.0,375011040.0,88804780.0,198516600.0
2085.0,154755150.0,276982620.0,385510850.0,86376060.0,189968020.0
2086.0,160249150.0,340392450.0,373572200.0,84957360.0,189016640.0
2087.0,153903740.0,293765820.0,341147460.0,82611990.0,205266220.0
2088.0,153750050.0,315703460.0,351626080.0,80366536.0,187568720.0
2089.0,153793700.0,315979680.0,330616930.0,79322130.0,177988690.0
2090.0,171708430.0,285371070.0,386991900.0,78557830.0,174455140.0
2091.0,150082580.0,317854530.0,423145920.0,83337850.0,172516940.0
2092.0,149632670.0,389099070.0,330962700.0,79009470.0,170740460.0
2093.0,168151420.0,309353800.0,380678880.0,77034490.0,179772690.0
2094.0,181605730.0,304214100.0,355185150.0,79273620.0,193720200.0
2095.0,177901870.0,376350300.0,322801120.0,75851440.0,177925360.0
2096.0,159470400.0,470093020.0,313142180.0,73875200.0,253618720.0
2097.0,187593260.0,499640130.0,416977060.0,74043950.0,179896370.0
2098.0,169733120.0,407029900.0,347339520.0,79489330.0,186831280.0
2099.0,160154190.0,350749470.0,308298340.0,88370216.0,188715980.0
2100.0,154372590.0,367266720.0,296717280.0,79530070.0,254289620.0
