time,MRI-ESM2-0,KACE-1-0-G,MIROC6,IITM-ESM,TAIESM1,MPI-ESM1-2-HR,UKESM1-0-LL,CNRM-ESM2-1,CANESM5,GFDL-ESM4,CESM2-WACCM,IPSL-CM6A-LR,EC-EARTH3,CNRM-CM6-1
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2215111000.0,2210354000.0,2219224000.0,2379138800.0,2245710800.0,2242413600.0,2209319000.0,2290986500.0,2249528600.0,2355222800.0,2334108000.0,2251883800.0,2204801000.0,2386279700.0
2022.0,2183400400.0,2181880800.0,2185675300.0,2305462000.0,2257005300.0,2448248300.0,2178336500.0,2277899300.0,2195173000.0,2359628000.0,2207410200.0,2229271300.0,2183388700.0,2338867500.0
2023.0,2157747500.0,2144726900.0,2224033300.0,2282364000.0,2211920100.0,2311756800.0,2162864400.0,2310835000.0,2204098600.0,2323747000.0,2199252700.0,2228489200.0,2102868500.0,2315794200.0
2024.0,2149092000.0,2095511900.0,2243157500.0,2435509000.0,2166339600.0,2242100200.0,2117169000.0,2347524600.0,2158378500.0,2266809900.0,2143868500.0,2176760300.0,2054257800.0,2239605500.0
2025.0,2110944300.0,2080194600.0,2232870700.0,2273387300.0,2096010100.0,2186686700.0,2055553200.0,2188354600.0,2090763100.0,2226183700.0,2167270400.0,2169531100.0,2012098800.0,2248723500.0
2026.0,2074917600.0,1992735100.0,2135656300.0,2252275200.0,2067193600.0,2121114100.0,2035424100.0,2335051300.0,2048970400.0,2243787500.0,2077273000.0,2117773600.0,1972392200.0,2281482500.0
2027.0,2018246800.0,1971285600.0,2066138200.0,2288410000.0,2020490000.0,2087946500.0,1976362200.0,2173487600.0,2005420800.0,2165525800.0,2053622100.0,2112039000.0,1875422700.0,2161192700.0
2028.0,2060637200.0,1885486000.0,2050092000.0,2219579000.0,2083414300.0,2069362000.0,1941724200.0,2118361700.0,1981850800.0,2149280800.0,2065093200.0,2222404600.0,1786190000.0,2127354600.0
2029.0,1955035500.0,1848300900.0,2033397600.0,2176976600.0,1957851900.0,2059089400.0,1865875000.0,2051041900.0,1914931600.0,2144052100.0,2021807000.0,2227881200.0,1754911000.0,2084257200.0
2030.0,1912954100.0,1731303700.0,2048006500.0,2253079000.0,1911921200.0,2075925500.0,1812892800.0,2046115800.0,1865592700.0,2086411000.0,2008295300.0,2137201300.0,1693730200.0,2069680900.0
2031.0,1884913800.0,1642278000.0,1936340000.0,2221849000.0,1860175700.0,2089455500.0,1834417000.0,2058595500.0,1813032600.0,2064955500.0,1917750100.0,2100520100.0,1600607200.0,2037608600.0
2032.0,1863714800.0,1577632600.0,1873673700.0,2147047700.0,1831210200.0,2013564800.0,1756052500.0,1980756000.0,1780485600.0,2074644400.0,1873274800.0,2040527000.0,1617926700.0,2003957200.0
2033.0,1825068200.0,1493386400.0,2016633900.0,2119619500.0,1785567000.0,2090568800.0,1710335000.0,1967451800.0,1748136100.0,2044773900.0,1852442100.0,1959336300.0,1471936400.0,2029941800.0
2034.0,1808318300.0,1427843300.0,1907134300.0,2199919600.0,1720258400.0,2040999000.0,1594591100.0,1949643300.0,1653272200.0,2047266700.0,1805107100.0,1902882600.0,1368595200.0,1930669600.0
