time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0,41162960000.0
2001.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0,41025507000.0
2002.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0,40973783000.0
2003.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0,40986000000.0
2004.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0,40918827000.0
2005.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0,40921270000.0
2006.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0,41237033000.0
2007.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0,41036670000.0
2008.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0,40868710000.0
2009.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0,40809610000.0
2010.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0,40768496000.0
2011.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0,40724450000.0
2012.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0,40695296000.0
2013.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0,40680255000.0
2014.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0,40668975000.0
2015.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0,40604280000.0
2016.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0,40564310000.0
2017.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0,40525770000.0
2018.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0,40702630000.0
2019.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0,40549120000.0
2020.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0,40467517000.0
2021.0,40415207000.0,40388580000.0,40417284000.0,40486650000.0,40417264000.0,40414350000.0
2022.0,40391130000.0,40361468000.0,40377400000.0,40397476000.0,40354850000.0,40373567000.0
2023.0,40294965000.0,40299315000.0,40326345000.0,40339108000.0,40334730000.0,40318360000.0
2024.0,40262520000.0,40262670000.0,40314360000.0,40317456000.0,40350798000.0,40327455000.0
2025.0,40190590000.0,40180183000.0,40276287000.0,40294490000.0,40254600000.0,40289070000.0
2026.0,40131215000.0,40114713000.0,40228393000.0,40221667000.0,40190580000.0,40195760000.0
2027.0,40101855000.0,40030806000.0,40168740000.0,40287007000.0,40106230000.0,40131777000.0
2028.0,40013430000.0,39962240000.0,40164690000.0,40174350000.0,40068985000.0,40099434000.0
2029.0,39951405000.0,39891610000.0,40131445000.0,40102343000.0,40024744000.0,40025838000.0
2030.0,39864480000.0,39829774000.0,40062644000.0,40051773000.0,39957600000.0,39971390000.0
2031.0,39782630000.0,39735665000.0,40003994000.0,40004620000.0,39875150000.0,39902024000.0
2032.0,39695980000.0,39660420000.0,39942513000.0,39965725000.0,39790730000.0,39862256000.0
2033.0,39582847000.0,39585133000.0,39878800000.0,39884235000.0,39714130000.0,39780745000.0
2034.0,39492395000.0,39495692000.0,39838060000.0,39806755000.0,39635993000.0,39732700000.0
2035.0,39386927000.0,39399965000.0,39749650000.0,39739860000.0,39556325000.0,39645790000.0
2036.0,39231287000.0,39392023000.0,39702610000.0,39686844000.0,39433090000.0,39582904000.0
2037.0,39040266000.0,39256707000.0,39665107000.0,39615517000.0,39301350000.0,39540515000.0
2038.0,38891295000.0,39158130000.0,39726210000.0,39530697000.0,39193993000.0,39442600000.0
2039.0,38731596000.0,39034675000.0,39542350000.0,39442180000.0,39102657000.0,39368737000.0
2040.0,38571876000.0,38919800000.0,39476314000.0,39349950000.0,38993400000.0,39255134000.0
2041.0,38383444000.0,38879867000.0,39374447000.0,39297294000.0,38843388000.0,39147586000.0
2042.0,38160093000.0,38857937000.0,39305245000.0,39183827000.0,38700577000.0,39060427000.0
2043.0,37983710000.0,38639583000.0,39246877000.0,39088353000.0,38598960000.0,38965320000.0
2044.0,37797822000.0,38491960000.0,39121500000.0,38983324000.0,38448464000.0,38846180000.0
2045.0,37575873000.0,38371324000.0,39065160000.0,38899864000.0,38296130000.0,38729175000.0
2046.0,37358660000.0,38253933000.0,38948893000.0,38790353000.0,38105747000.0,38607016000.0
2047.0,37122510000.0,38098833000.0,38903042000.0,38673590000.0,37951600000.0,38457836000.0
2048.0,36854043000.0,37983020000.0,38839730000.0,38582292000.0,37872353000.0,38312497000.0
2049.0,36624634000.0,37826360000.0,38733218000.0,38439043000.0,37655224000.0,38146073000.0
2050.0,36369117000.0,37676110000.0,38665015000.0,38300960000.0,37518516000.0,37961270000.0
2051.0,36097016000.0,37514162000.0,38526382000.0,38194016000.0,37286253000.0,37808923000.0
2052.0,35854328000.0,37366410000.0,38414238000.0,38077220000.0,37104800000.0,37618210000.0
2053.0,35551834000.0,37264376000.0,38264430000.0,37858144000.0,36918157000.0,37455536000.0
2054.0,35281273000.0,37080867000.0,38176860000.0,37689635000.0,36716870000.0,37295070000.0
2055.0,34944130000.0,36866090000.0,38056050000.0,37508727000.0,36518680000.0,37045320000.0
2056.0,34647650000.0,36657447000.0,38006850000.0,37356302000.0,36307480000.0,36835200000.0
2057.0,34273100000.0,36556014000.0,37861736000.0,37150704000.0,36082774000.0,36763260000.0
2058.0,33969396000.0,36314386000.0,37740925000.0,36977177000.0,35887657000.0,36559233000.0
2059.0,33691003000.0,36220748000.0,37596013000.0,36781570000.0,35740920000.0,36385853000.0
2060.0,33304881000.0,35963800000.0,37459620000.0,36617724000.0,35525603000.0,36138488000.0
2061.0,32913660000.0,35720856000.0,37346554000.0,36438016000.0,35317576000.0,35921890000.0
2062.0,32599185000.0,35525200000.0,37310886000.0,36243685000.0,35086578000.0,35710770000.0
2063.0,32293716000.0,35303543000.0,37175250000.0,36054730000.0,34765280000.0,35537117000.0
2064.0,32065683000.0,35117236000.0,36999190000.0,35922320000.0,34513457000.0,35260047000.0
2065.0,31706940000.0,34913546000.0,36862894000.0,35777090000.0,34268965000.0,35048000000.0
2066.0,31207110000.0,34741826000.0,36667690000.0,35629970000.0,34002362000.0,34827457000.0
2067.0,30769640000.0,34574550000.0,36526596000.0,35335967000.0,33735514000.0,34539147000.0
2068.0,30455080000.0,34334822000.0,36401447000.0,35083977000.0,33562851000.0,34284351000.0
2069.0,30051088000.0,34162618000.0,36209172000.0,34830370000.0,33293285000.0,34046507000.0
2070.0,29784084000.0,33981622000.0,36157063000.0,34580980000.0,33061915000.0,33800650000.0
2071.0,29421408000.0,33808796000.0,36020760000.0,34441413000.0,32800662000.0,33545542000.0
2072.0,29128860000.0,33654176000.0,35830178000.0,34190735000.0,32579062000.0,33182250000.0
2073.0,28832068000.0,33449560000.0,35686300000.0,33980799000.0,32343085000.0,32851943000.0
2074.0,28521505000.0,33386308000.0,35552707000.0,33755177000.0,32027628000.0,32526166000.0
2075.0,28149170000.0,33143593000.0,35399053000.0,33567166000.0,31801498000.0,32281800000.0
2076.0,27751604000.0,32909765000.0,35395620000.0,33334057000.0,31569066000.0,32012499000.0
2077.0,27367410000.0,32691923000.0,35185693000.0,33109211000.0,31319419000.0,31706354000.0
2078.0,27102171000.0,32525791000.0,35138370000.0,32936708000.0,31135269000.0,31415753000.0
2079.0,26773064000.0,32289370000.0,34907193000.0,32632394000.0,30846319000.0,31093555000.0
2080.0,26609340000.0,32218909000.0,34827240000.0,32417323000.0,30562812000.0,30811750000.0
2081.0,26249462000.0,32049762000.0,34623414000.0,32118653000.0,30396957000.0,30551216000.0
2082.0,25983180000.0,31813900000.0,34436653000.0,31859990000.0,30219559000.0,30241798000.0
2083.0,25697434000.0,31643554000.0,34319630000.0,31683996000.0,29970254000.0,30019492000.0
2084.0,25317157000.0,31453678000.0,34153867000.0,31408839000.0,29752723000.0,29756164000.0
2085.0,24984453000.0,31325925000.0,34003196000.0,31208180000.0,29487346000.0,29534405000.0
2086.0,24720404000.0,31169890000.0,33868812000.0,31015363000.0,29266570000.0,29196388000.0
2087.0,24382726000.0,30961936000.0,33911337000.0,30812946000.0,28912212000.0,28854542000.0
2088.0,24091513000.0,30773529000.0,33616722000.0,30531305000.0,28681466000.0,28625525000.0
2089.0,23764492000.0,30598054000.0,33412035000.0,30293051000.0,28381102000.0,28386978000.0
2090.0,23528468000.0,30488189000.0,33577816000.0,30025026000.0,28131387000.0,28051464000.0
2091.0,23195790000.0,30444597000.0,33194205000.0,29770619000.0,27918090000.0,27729564000.0
2092.0,22835851000.0,30547700000.0,33049336000.0,29582617000.0,27533226000.0,27373870000.0
2093.0,22511415000.0,30072418000.0,32858409000.0,29335095000.0,27344288000.0,27078939000.0
2094.0,22206580000.0,29937035000.0,32685664000.0,28955675000.0,27129639000.0,26839180000.0
2095.0,21945680000.0,30623445000.0,32513618000.0,28715559000.0,26853046000.0,26549236000.0
2096.0,21676585000.0,29695863000.0,32313907000.0,28440105000.0,26655970000.0,26302452000.0
2097.0,21398424000.0,29476076000.0,32143225000.0,28110682000.0,26383385000.0,25983564000.0
2098.0,21153240000.0,29311095000.0,32029120000.0,27880139000.0,26142270000.0,25670017000.0
2099.0,20864836000.0,29222078000.0,31840313000.0,27621296000.0,25895627000.0,25390856000.0
2100.0,20532337000.0,29271267000.0,31672682000.0,27407184000.0,25643565000.0,25161122000.0
2101.0,20142481000.0,28930918000.0,31476939000.0,27184234000.0,25413188000.0,24965513000.0
2102.0,20187200000.0,28614566000.0,31373203000.0,26917095000.0,25174913000.0,24652847000.0
2103.0,19780514000.0,28846668000.0,31138957000.0,26669746000.0,24993866000.0,24306733000.0
2104.0,19981306000.0,28491831000.0,30894830000.0,26355500000.0,24695237000.0,23872203000.0
