time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,UKESM1-0-LL
2000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0,88838410000.0
2001.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0,88640190000.0
2002.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0,88593090000.0
2003.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0,88412310000.0
2004.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0,88255430000.0
2005.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0,88266670000.0
2006.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0,88353330000.0
2007.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0,88695500000.0
2008.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0,88360540000.0
2009.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0,88158750000.0
2010.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0,87876870000.0
2011.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0,87776550000.0
2012.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0,87978420000.0
2013.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0,88050020000.0
2014.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0,88733460000.0
2015.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0,87949115000.0
2016.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0,89161200000.0
2017.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0,87986230000.0
2018.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0,87848485000.0
2019.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0,89603490000.0
2020.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0,87657500000.0
2021.0,88562600000.0,87390470000.0,87377230000.0,87590220000.0,87724780000.0
2022.0,89355730000.0,87274470000.0,87339860000.0,87141800000.0,87239830000.0
2023.0,87361890000.0,86853400000.0,86975460000.0,86906590000.0,86930874000.0
2024.0,87024960000.0,86636680000.0,87101660000.0,86493430000.0,86653970000.0
2025.0,86729850000.0,86834766000.0,87087180000.0,86046120000.0,86350480000.0
2026.0,86967960000.0,86412460000.0,86645300000.0,85771540000.0,86071530000.0
2027.0,86415440000.0,86518145000.0,86538200000.0,85523190000.0,85882860000.0
2028.0,86112990000.0,86456550000.0,86300820000.0,84919040000.0,85459570000.0
2029.0,85799400000.0,86024585000.0,85989080000.0,84453515000.0,85222690000.0
2030.0,86342580000.0,85830530000.0,85891080000.0,84357140000.0,84786060000.0
2031.0,85552780000.0,85606300000.0,85813700000.0,83755885000.0,84350060000.0
2032.0,85251870000.0,85160670000.0,85320390000.0,83009790000.0,83849126000.0
2033.0,84974260000.0,85175790000.0,85080730000.0,82438800000.0,83271350000.0
2034.0,84791420000.0,84535730000.0,84844870000.0,81798955000.0,82619990000.0
2035.0,84441200000.0,84274240000.0,84978680000.0,81317580000.0,81688880000.0
2036.0,84262175000.0,84620340000.0,84658160000.0,80494890000.0,81108845000.0
2037.0,83845210000.0,84190910000.0,84496030000.0,79884214000.0,80223790000.0
2038.0,84101510000.0,83354900000.0,84091400000.0,79385430000.0,79410510000.0
2039.0,83363380000.0,82993720000.0,83578090000.0,78798170000.0,78651245000.0
2040.0,83197280000.0,83341740000.0,83681485000.0,78111930000.0,78050720000.0
2041.0,82816620000.0,82417560000.0,83386384000.0,77309880000.0,76929980000.0
2042.0,82257060000.0,81689090000.0,82852080000.0,76409970000.0,75879200000.0
2043.0,81869370000.0,81085820000.0,82146990000.0,75516960000.0,75030900000.0
2044.0,81547140000.0,80553500000.0,81781560000.0,74767880000.0,74013920000.0
2045.0,81118200000.0,79846820000.0,81368160000.0,73971510000.0,73183960000.0
2046.0,80363090000.0,79295040000.0,80955510000.0,73189730000.0,72141580000.0
2047.0,79969440000.0,78597775000.0,80625550000.0,72319470000.0,71200200000.0
2048.0,79527215000.0,77856220000.0,79765760000.0,71463750000.0,70077194000.0
2049.0,78842150000.0,77451920000.0,79226580000.0,70579050000.0,69341980000.0
2050.0,79016210000.0,76956230000.0,79126420000.0,69827120000.0,68354650000.0
2051.0,77881030000.0,76297640000.0,78271260000.0,68967680000.0,67434426000.0
2052.0,77341280000.0,75712240000.0,78040430000.0,67890414000.0,66363867000.0
2053.0,76716850000.0,74911480000.0,77206905000.0,67001532000.0,65260390000.0
2054.0,77571460000.0,74342290000.0,76755410000.0,66104607000.0,64142370000.0
2055.0,76228910000.0,74119980000.0,76144550000.0,64993804000.0,63036170000.0
2056.0,75649350000.0,73268855000.0,76080420000.0,64613777000.0,61864760000.0
2057.0,75358330000.0,72788660000.0,75345396000.0,63510335000.0,60838280000.0
2058.0,74436140000.0,72031720000.0,74775730000.0,62398800000.0,59798376000.0
2059.0,73721600000.0,71319680000.0,74142910000.0,61474790000.0,58887262000.0
2060.0,73251135000.0,70954844000.0,73667090000.0,60521697000.0,58034393000.0
2061.0,72744930000.0,70205970000.0,72815640000.0,59773090000.0,56933430000.0
2062.0,73099450000.0,69812870000.0,72053230000.0,58783945000.0,55695507000.0
2063.0,71580300000.0,69263730000.0,71217030000.0,57862400000.0,54663987000.0
2064.0,71055750000.0,68558234000.0,70810120000.0,57240502000.0,53619230000.0
2065.0,70291650000.0,68193150000.0,70298960000.0,56092873000.0,52525883000.0
2066.0,70924110000.0,67882488000.0,69696360000.0,55333460000.0,51263320000.0
2067.0,69301174000.0,67295756000.0,69399280000.0,54419050000.0,49950126000.0
2068.0,68671046000.0,66978200000.0,68411550000.0,53814608000.0,48824740000.0
2069.0,68329062000.0,69128086000.0,67677510000.0,52671926000.0,47773660000.0
2070.0,67502120000.0,69155950000.0,66910552000.0,51915854000.0,46766300000.0
2071.0,67183540000.0,67047990000.0,66350297000.0,51173640000.0,46415536000.0
