time,NORESM1-M,MPI-ESM-LR,CANESM2,CNRM-CM5,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,GISS-E2-R
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
2010.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0
2011.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0
2012.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0
2013.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0
2014.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0
2015.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0
2016.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0
2017.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0
2018.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0
2019.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0
2020.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0
2021.0,33935745000.0,33920985000.0,33936953000.0,33937078000.0,33927710000.0,33927916000.0,33934293000.0,33927227000.0,33934381000.0,33929425000.0
2022.0,33923260000.0,33916660000.0,33929474000.0,33927424000.0,33916699000.0,33915380000.0,33920735000.0,33910389000.0,33922132000.0,33917411000.0
2023.0,33901134000.0,33907331000.0,33908783000.0,33916086000.0,33903866000.0,33903462000.0,33913969000.0,33886790000.0,33913060000.0,33909817000.0
2024.0,33883945000.0,33882900000.0,33896421000.0,33905031000.0,33886030000.0,33892743000.0,33893954000.0,33870529000.0,33896692000.0,33905860000.0
2025.0,33905775000.0,33864960000.0,33876066000.0,33889673000.0,33867467000.0,33873440000.0,33873355000.0,33831528000.0,33890021000.0,33898270000.0
2026.0,33871067000.0,33832675000.0,33852730000.0,33864606000.0,33847663000.0,33857124000.0,33860133000.0,33815011000.0,33871230000.0,33887302000.0
2027.0,33839968000.0,33815525000.0,33842565000.0,33854558000.0,33825001000.0,33848992000.0,33837187000.0,33792485000.0,33841291000.0,33865994000.0
2028.0,33826015000.0,33794308000.0,33821737000.0,33836616000.0,33794790000.0,33836708000.0,33829542000.0,33757008000.0,33836698000.0,33849702000.0
2029.0,33798500000.0,33760725000.0,33804466000.0,33820275000.0,33754366000.0,33815433000.0,33809584000.0,33714047000.0,33825830000.0,33822845000.0
2030.0,33772417000.0,33729536000.0,33793081000.0,33780085000.0,33710744000.0,33778045000.0,33779001000.0,33678436000.0,33778917000.0,33811266000.0
2031.0,33756297000.0,33695623000.0,33752267000.0,33748513000.0,33679722000.0,33756780000.0,33761026000.0,33599031000.0,33741322000.0,33788370000.0
2032.0,33745950000.0,33676310000.0,33728549000.0,33698208000.0,33655630000.0,33743921000.0,33737791000.0,33538978000.0,33707287000.0,33760340000.0
2033.0,33710164000.0,33652849000.0,33685740000.0,33664477000.0,33580110000.0,33727052000.0,33715597000.0,33441735000.0,33673701000.0,33742948000.0
2034.0,33621190000.0,33609183000.0,33639266000.0,33581375000.0,33529838000.0,33701896000.0,33698824000.0,33372664000.0,33651184000.0,33722817000.0
2035.0,33583776000.0,33533856000.0,33615958000.0,33513386000.0,33492396000.0,33694693000.0,33675833000.0,33296583000.0,33616976000.0,33701999000.0
2036.0,33526389000.0,33504367000.0,33587546000.0,33448049000.0,33462505000.0,33657278000.0,33638610000.0,33187334000.0,33522958000.0,33673165000.0
2037.0,33422428000.0,33473670000.0,33531050000.0,33386150000.0,33419650000.0,33614330000.0,33613420000.0,33100829000.0,33483074000.0,33638207000.0
2038.0,33360734000.0,33425690000.0,33449247000.0,33247468000.0,33378216000.0,33603285000.0,33596158000.0,32999565000.0,33453703000.0,33610267000.0
2039.0,33315820000.0,33390040000.0,33413605000.0,33138469000.0,33255911000.0,33574849000.0,33562495000.0,32851268000.0,33414949000.0,33575203000.0
2040.0,33249733000.0,33314554000.0,33361666000.0,33043087000.0,33188774000.0,33508753000.0,33570250000.0,32764422000.0,33388972000.0,33551151000.0
2041.0,33171413000.0,33210940000.0,33333785000.0,32894323000.0,33149745000.0,33467265000.0,33530950000.0,32703200000.0,33293582000.0,33530663000.0
2042.0,33048943000.0,33137502000.0,33238104000.0,32755829000.0,33082423000.0,33428118000.0,33494575000.0,32564031000.0,33238286000.0,33451780000.0
2043.0,32971024000.0,33067196000.0,33136828000.0,32634266000.0,32999064000.0,33387092000.0,33453912000.0,32411429000.0,33220504000.0,33410871000.0
2044.0,32879274000.0,32987660000.0,33085536000.0,32463122000.0,32873312000.0,33337696000.0,33363225000.0,32203600000.0,33172826000.0,33384348000.0
2045.0,32781154000.0,32924290000.0,33003969000.0,32319117000.0,32793838000.0,33276948000.0,33329654000.0,32023510000.0,33130430000.0,33335759000.0
2046.0,32641702000.0,32841282000.0,32927867000.0,32081238000.0,32692447000.0,33240950000.0,33281440000.0,31780790000.0,33075962000.0,33276650000.0
2047.0,32460261000.0,32754559000.0,32834093000.0,31917836000.0,32581968000.0,33165285000.0,33229660000.0,31567161000.0,33045373000.0,33228556000.0
2048.0,32286394000.0,32657258000.0,32675790000.0,31760839000.0,32444674000.0,33058335000.0,33153600000.0,31238832000.0,32949654000.0,33140777000.0
2049.0,32105552000.0,32598776000.0,32518644000.0,31481571000.0,32312280000.0,33009009000.0,33104820000.0,30915506000.0,32849660000.0,33102975000.0
2050.0,31974887000.0,32435310000.0,32421544000.0,31248314000.0,32189110000.0,32946207000.0,33068573000.0,30572993000.0,32771779000.0,33031483000.0
2051.0,31814926000.0,32296837000.0,32257133000.0,30980393000.0,32045517000.0,32887683000.0,32999719000.0,30135341000.0,32667728000.0,32921186000.0
2052.0,31621044000.0,32160786000.0,32097804000.0,30637773000.0,31939500000.0,32812118000.0,32858784000.0,29763981000.0,32549320000.0,32875792000.0
