time,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0,131304230000.0
2001.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0,130346880000.0
2002.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0,129411645000.0
2003.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0,128004370000.0
2004.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0,127008735000.0
2005.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0,126133970000.0
2006.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0,124815330000.0
2007.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0,123317410000.0
2008.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0,121628836000.0
2009.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0,119481300000.0
2010.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0,118691050000.0
2011.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0,117225490000.0
2012.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0,115359320000.0
2013.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0,113967370000.0
2014.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0,113221870000.0
2015.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0,111624380000.0
2016.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0,109898950000.0
2017.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0,107600806000.0
2018.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0,105859360000.0
2019.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0,104676240000.0
2020.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0,103749860000.0
2021.0,101997190000.0,102215565000.0,102522450000.0,101897110000.0,101182850000.0,101726650000.0
2022.0,99629700000.0,100217850000.0,101583650000.0,99746180000.0,99057030000.0,100279290000.0
2023.0,96665790000.0,97492250000.0,99514610000.0,97471620000.0,96336600000.0,97855450000.0
2024.0,94434140000.0,95454480000.0,97857450000.0,94286180000.0,93447630000.0,96115320000.0
2025.0,91576970000.0,93971290000.0,95605480000.0,91254030000.0,90918945000.0,92919685000.0
2026.0,88338260000.0,91138550000.0,94022470000.0,88682000000.0,89461900000.0,90907075000.0
2027.0,86588220000.0,89515370000.0,91879950000.0,86166800000.0,86974910000.0,89151150000.0
2028.0,83941190000.0,87525680000.0,91279800000.0,83919890000.0,85736130000.0,85999650000.0
2029.0,82082110000.0,85906480000.0,90405800000.0,80647790000.0,82992610000.0,84392890000.0
2030.0,80179040000.0,83855475000.0,89183230000.0,77649570000.0,80801450000.0,81243070000.0
2031.0,78583660000.0,82337490000.0,87064010000.0,74757280000.0,78921260000.0,79042120000.0
2032.0,76980950000.0,80401195000.0,85416300000.0,72912940000.0,76722700000.0,76922840000.0
2033.0,74342830000.0,79108325000.0,83740615000.0,70492815000.0,75351490000.0,74783360000.0
2034.0,71202510000.0,77162390000.0,81178590000.0,67497200000.0,72858680000.0,71856090000.0
2035.0,69144550000.0,75707605000.0,78484320000.0,64523260000.0,70861510000.0,69440770000.0
2036.0,67154500000.0,73794700000.0,76322610000.0,62466888000.0,68914410000.0,66665763000.0
2037.0,64963670000.0,73054920000.0,74677810000.0,59335557000.0,67199283000.0,64403145000.0
2038.0,63019510000.0,70601370000.0,72486180000.0,56689123000.0,64983097000.0,62556700000.0
2039.0,60454520000.0,68091912000.0,70389465000.0,54145958000.0,62718180000.0,61090136000.0
2040.0,57983280000.0,65703470000.0,67842593000.0,51488264000.0,60793676000.0,57344030000.0
2041.0,55565054000.0,63714730000.0,66454524000.0,49474753000.0,59775017000.0,55004720000.0
2042.0,52999240000.0,61296130000.0,64285080000.0,47119495000.0,58194125000.0,53071070000.0
2043.0,50420486000.0,59867677000.0,62802346000.0,46008377000.0,55951240000.0,51269930000.0
2044.0,48656482000.0,58884440000.0,60468290000.0,44697838000.0,54039550000.0,49364080000.0
2045.0,45889330000.0,57020838000.0,58537787000.0,42755035000.0,52028994000.0,47276480000.0
2046.0,44430873000.0,55141640000.0,56280773000.0,41414005000.0,50350430000.0,45650014000.0
2047.0,42452087000.0,53616730000.0,54210610000.0,39665760000.0,48955433000.0,44378380000.0
2048.0,40876700000.0,52749060000.0,52496540000.0,38088910000.0,48395330000.0,43263394000.0
2049.0,39858127000.0,50886410000.0,50141070000.0,36402434000.0,47020280000.0,41671980000.0
2050.0,37924290000.0,49377714000.0,48362717000.0,34918126000.0,45208097000.0,40245686000.0
2051.0,35863106000.0,47862346000.0,46139556000.0,33752084000.0,43654935000.0,38553596000.0
2052.0,34250279000.0,46543008000.0,44296094000.0,32769114000.0,42713805000.0,37490135000.0
2053.0,33263622000.0,45215210000.0,43245060000.0,31615783000.0,41217030000.0,35555316000.0
2054.0,32036987000.0,43975360000.0,41658290000.0,30326104000.0,39996916000.0,33837949000.0
2055.0,30742692000.0,43222917000.0,40257910000.0,29612180000.0,39104467000.0,33355570000.0
2056.0,29321000000.0,41581253000.0,38591554000.0,28673262000.0,37949755000.0,32552956000.0
2057.0,28283240000.0,41102373000.0,37653307000.0,27782257000.0,37234160000.0,31618587000.0
2058.0,27197575000.0,39884590000.0,36360868000.0,26629034000.0,36152350000.0,30591697000.0
2059.0,25985266000.0,38533220000.0,35396202000.0,25698840000.0,35192840000.0,29653641000.0
2060.0,25327458000.0,37281493000.0,34392224000.0,25141293000.0,34148813000.0,28736060000.0
2061.0,24714684000.0,35954954000.0,32903238000.0,24272804000.0,32952238000.0,27851240000.0
2062.0,23976714000.0,34763846000.0,32084175000.0,23674102000.0,31915980000.0,27313250000.0
2063.0,23174347000.0,33358200000.0,31390738000.0,23015614000.0,30452234000.0,26638630000.0
2064.0,22208934000.0,32498100000.0,30239650000.0,22466140000.0,29766826000.0,26013580000.0
2065.0,21644497000.0,31500573000.0,29209310000.0,21993431000.0,28949254000.0,25247236000.0
2066.0,20696236000.0,31202492000.0,28476658000.0,21300935000.0,28253762000.0,24679588000.0
2067.0,19927765000.0,30630347000.0,27679191000.0,20661432000.0,27771716000.0,24052810000.0
2068.0,19453012000.0,30231054000.0,26885657000.0,20027832000.0,27227530000.0,23532526000.0
2069.0,19160312000.0,29817860000.0,26150476000.0,19662322000.0,26341505000.0,22839880000.0
2070.0,18637306000.0,28556880000.0,25518991000.0,19073507000.0,25980901000.0,22267950000.0
2071.0,18300916000.0,27472736000.0,25225580000.0,18894486000.0,25521960000.0,21557710000.0
2072.0,17751333000.0,26919990000.0,24670499000.0,18527360000.0,25399126000.0,21093069000.0
2073.0,17530292000.0,26155880000.0,24144050000.0,18194000000.0,25441040000.0,20761846000.0
2074.0,16937510000.0,26006313000.0,23151470000.0,17829005000.0,25228698000.0,20547690000.0
2075.0,16383980000.0,25623798000.0,22603223000.0,17291921000.0,24871475000.0,20094001000.0
2076.0,15932214000.0,25121133000.0,22269342000.0,17071077000.0,24624060000.0,20105624000.0
2077.0,15726197000.0,24995965000.0,21892356000.0,16775443000.0,24479732000.0,19662356000.0
2078.0,15487566000.0,24615062000.0,21619483000.0,16700833000.0,24123355000.0,19258894000.0
2079.0,15374565000.0,23934933000.0,21393054000.0,16662896000.0,23928003000.0,18946273000.0
2080.0,15069281000.0,23871338000.0,21136734000.0,16617102000.0,23721363000.0,18490597000.0
2081.0,14724541000.0,23550372000.0,20878950000.0,16536594000.0,23506266000.0,18280550000.0
2082.0,14403919000.0,23543685000.0,20383738000.0,16337765000.0,23488827000.0,18360316000.0
2083.0,14244018000.0,23362451000.0,20146756000.0,16168998000.0,23461825000.0,18079541000.0
2084.0,13963892000.0,23198249000.0,19840807000.0,16049526000.0,23243094000.0,17881614000.0
2085.0,13707858000.0,22700188000.0,19515940000.0,15739660000.0,22907556000.0,17733341000.0
2086.0,13801499000.0,22568569000.0,19221017000.0,15616170000.0,22811531000.0,17868444000.0
2087.0,13821978000.0,22074060000.0,18930487000.0,15515958000.0,22874907000.0,17587544000.0
2088.0,13840864000.0,22059910000.0,18740648000.0,15479847000.0,22777889000.0,17361662000.0
2089.0,13645793000.0,21733108000.0,18565667000.0,15372614000.0,22571140000.0,17016994000.0
2090.0,13488792000.0,21470850000.0,18179910000.0,15265711000.0,22643430000.0,16850864000.0
2091.0,13337079000.0,21204250000.0,17962570000.0,15317422000.0,22630610000.0,16589347000.0
2092.0,13305712000.0,21145264000.0,17661467000.0,15279254000.0,22682253000.0,16193054000.0
2093.0,13227973000.0,20817447000.0,17599146000.0,15210095000.0,22516707000.0,16182274000.0
2094.0,13095694000.0,20599876000.0,17432547000.0,15086302000.0,22723168000.0,16094976000.0
2095.0,13128585000.0,20238402000.0,17397630000.0,14990564000.0,22971716000.0,16094075000.0
2096.0,13028961000.0,20202435000.0,17582810000.0,14986537000.0,23263412000.0,16163534000.0
2097.0,12945410000.0,20139946000.0,17560816000.0,14921834000.0,23506809000.0,16080514000.0
2098.0,12978445000.0,19978130000.0,17506705000.0,15058834000.0,23722346000.0,16067443000.0
2099.0,12854013000.0,19933356000.0,17349628000.0,15327703000.0,23845607000.0,15824821000.0
2100.0,12847830000.0,19900025000.0,17068924000.0,15334695000.0,23848237000.0,15588690000.0
2101.0,12655557000.0,19641879000.0,17152089000.0,15323412000.0,24035676000.0,15547121000.0
2102.0,12563503000.0,19527924000.0,17260394000.0,15371172000.0,24199959000.0,15489423000.0
2103.0,12436590000.0,19318845000.0,17338075000.0,15310893000.0,24297445000.0,15293259000.0
2104.0,12328941000.0,19166610000.0,17042677000.0,15375843000.0,24291006000.0,15296965000.0
2105.0,12027691000.0,19124156000.0,17016187000.0,15432321000.0,24387105000.0,15240780000.0
2106.0,11911857000.0,19058450000.0,17104998000.0,15558278000.0,24529814000.0,15233287000.0
2107.0,11892589000.0,19202980000.0,16938288000.0,15544215000.0,24408515000.0,15100564000.0
2108.0,11807439000.0,19180063000.0,16867257000.0,15467771000.0,24875393000.0,15203089000.0
2109.0,11818970000.0,19130800000.0,16876722000.0,15499380000.0,25061757000.0,15081108000.0
2110.0,11676133000.0,18855404000.0,16786058000.0,15472554000.0,25099610000.0,14999720000.0
2111.0,11640251000.0,18683023000.0,16776115000.0,15504132000.0,25186222000.0,15093487000.0
2112.0,11592345000.0,18592490000.0,16800553000.0,15455271000.0,25348125000.0,15048691000.0
2113.0,11470750000.0,18565499000.0,16841852000.0,15382069000.0,25466040000.0,15160053000.0
2114.0,11336879000.0,18466167000.0,16973772000.0,15421118000.0,25402245000.0,15115238000.0
2115.0,11370099000.0,18432063000.0,16856873000.0,15525914000.0,25459745000.0,15027148000.0
2116.0,11415772000.0,18201029000.0,16710498000.0,15608195000.0,25741244000.0,15051091000.0
2117.0,11272829000.0,18214588000.0,16853339000.0,15651215000.0,25960692000.0,15189752000.0
2118.0,11253454000.0,18196154000.0,16954340000.0,15687630000.0,26159704000.0,15101362000.0
2119.0,11236402000.0,18086304000.0,17422082000.0,15769391000.0,26404819000.0,15188997000.0
2120.0,11209880000.0,18337389000.0,17537100000.0,15802833000.0,26919815000.0,15137455000.0
2121.0,11006461000.0,18318970000.0,17445325000.0,15802194000.0,26910786000.0,15079071000.0
2122.0,10899796000.0,18361635000.0,17529704000.0,15754745000.0,27269532000.0,15089012000.0
2123.0,10894211000.0,18515016000.0,17369424000.0,15794793000.0,27605107000.0,15063093000.0
2124.0,10824931000.0,18419233000.0,17564752000.0,15763129000.0,27585700000.0,15009556000.0
2125.0,10812496000.0,18393496000.0,17540282000.0,15746371000.0,27601620000.0,14823438000.0
2126.0,10711519000.0,18478911000.0,17607490000.0,15746982000.0,28003950000.0,14828261000.0
2127.0,10722732000.0,18467142000.0,17743139000.0,15793296000.0,28111870000.0,14816217000.0
2128.0,10587792000.0,18685923000.0,17794992000.0,15852800000.0,28362248000.0,14645193000.0
2129.0,10672853000.0,18812312000.0,17838664000.0,15864603000.0,28470389000.0,14553226000.0
2130.0,10704109000.0,18835855000.0,17736868000.0,15822329000.0,28616227000.0,14458973000.0
2131.0,10720717000.0,18913673000.0,17607283000.0,16028913000.0,28752108000.0,14416116000.0
2132.0,10594773000.0,18902417000.0,17472877000.0,16109867000.0,29082649000.0,14373651000.0
2133.0,10574223000.0,18774987000.0,17218875000.0,16034862000.0,29380741000.0,14312479000.0
2134.0,10578640000.0,18918340000.0,17427708000.0,16114576000.0,29751870000.0,14272066000.0
2135.0,10435760000.0,19031314000.0,17416665000.0,16136056000.0,30267187000.0,14134081000.0
2136.0,10537272000.0,19159968000.0,17250255000.0,16300825000.0,30138522000.0,14188862000.0
2137.0,10541881000.0,19100940000.0,17385620000.0,16459344000.0,30141024000.0,14007474000.0
2138.0,10592202000.0,19345977000.0,17389232000.0,16454573000.0,30393967000.0,13927126000.0
2139.0,10650271000.0,19436233000.0,17426416000.0,16526348000.0,30801099000.0,13898861000.0
2140.0,10652250000.0,19512740000.0,17441270000.0,16586531000.0,31107568000.0,13905802000.0
