time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,GFDL-CM3,IPSL-CM5A-LR
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2266527000.0,2244900000.0,2261530000.0,2234976800.0,2252561700.0,2233011500.0,2210969900.0,2256066300.0
2022.0,2233112300.0,2199850000.0,2226839600.0,2222050800.0,2240058400.0,2228228600.0,2187482600.0,2210754600.0
2023.0,2204965600.0,2169931500.0,2228382700.0,2204839000.0,2202364000.0,2205574400.0,2152587300.0,2203878700.0
2024.0,2151318300.0,2156085800.0,2199746600.0,2169197800.0,2233068300.0,2269897500.0,2235724800.0,2183630800.0
2025.0,2130714900.0,2165699000.0,2211972000.0,2151826200.0,2215345700.0,2218988800.0,2101646000.0,2164226300.0
2026.0,2106199300.0,2109086600.0,2218302000.0,2131860100.0,2185332700.0,2152479200.0,2052675500.0,2145559000.0
2027.0,2090672100.0,2108408000.0,2157529600.0,2108098000.0,2134600100.0,2111772200.0,2008901900.0,2124430200.0
2028.0,2069663100.0,2086765300.0,2137633300.0,2081011600.0,2134809700.0,2093492000.0,1964571800.0,2088912500.0
2029.0,2070849500.0,2145275900.0,2266552000.0,2062592000.0,2105671000.0,2084430600.0,1922950500.0,2053515500.0
2030.0,1994347500.0,2025569300.0,2161043500.0,2135197000.0,2130981800.0,2071325700.0,1871341200.0,2004407700.0
2031.0,1961492900.0,1986360600.0,2145098800.0,2025071200.0,2104361500.0,2048416400.0,1821812600.0,1967462000.0
2032.0,1905406600.0,1936635300.0,2120227700.0,1992740100.0,2048545300.0,2019498000.0,1785465100.0,1943133700.0
2033.0,1873186300.0,1918267100.0,2098361300.0,1977488100.0,2066751100.0,1979633900.0,1732328400.0,1949443000.0
2034.0,1849211100.0,1877894500.0,2063206000.0,1924073200.0,1999109800.0,1945271700.0,1691793500.0,1874817000.0
2035.0,1839762600.0,1841222000.0,2101741800.0,1907562400.0,1980622300.0,1996160800.0,1635956700.0,1817939600.0
2036.0,1799577700.0,1832255700.0,2024042200.0,1901603000.0,1988987400.0,1912796500.0,1585706900.0,1804834800.0
2037.0,1755760600.0,1793055400.0,2004293400.0,1844514600.0,1950903800.0,1904550000.0,1529553500.0,1746041500.0
2038.0,1749634600.0,1737377500.0,1953506700.0,1815478400.0,1924465400.0,1888637700.0,1502737900.0,1700084600.0
2039.0,1698229900.0,1695386900.0,1926761200.0,1783687400.0,1868133900.0,1833268400.0,1436498700.0,1656565100.0
