time,IPSL-CM5A-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,MPI-ESM-LR,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,CANESM2,CESM1-CAM5,NORESM1-M
2000.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0,2504233500.0
2001.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0,2479431000.0
2002.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0,2541280500.0
2003.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0,2512269800.0
2004.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0,2454784500.0
2005.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0,2492032500.0
2006.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0,2441659600.0
2007.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0,2432421000.0
2008.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0,2410318800.0
2009.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0,2399686400.0
2010.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0,2440679700.0
2011.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0,2421937700.0
2012.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0,2364135700.0
2013.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0,2383841800.0
2014.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0,2376230700.0
2015.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0,2347583200.0
2016.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0,2321596000.0
2017.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0,2279298300.0
2018.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0,2311956000.0
2019.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0,2272512500.0
2020.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0,2291943400.0
2021.0,2235264800.0,2238385700.0,2211876900.0,2231212800.0,2240553500.0,2242609000.0,2240448500.0,2258072000.0,2248497700.0,2232697000.0,2240035300.0
2022.0,2212591600.0,2260561700.0,2171174100.0,2262074000.0,2182230800.0,2233674000.0,2254266400.0,2272056600.0,2198364400.0,2239043600.0,2242760400.0
2023.0,2174375400.0,2239586000.0,2142625200.0,2261572000.0,2189554000.0,2207069200.0,2209466600.0,2235698700.0,2189633800.0,2376661000.0,2192414700.0
2024.0,2138231000.0,2242578400.0,2106062000.0,2229884200.0,2160153600.0,2168286700.0,2241358800.0,2175933700.0,2156606200.0,2179823400.0,2168804400.0
2025.0,2127963900.0,2224696000.0,2049085200.0,2172991700.0,2187856000.0,2148269600.0,2190142000.0,2222122500.0,2135549200.0,2164867800.0,2128385200.0
2026.0,2135592400.0,2317207600.0,2013952800.0,2140147600.0,2110995500.0,2129990300.0,2222510300.0,2151478000.0,2115865200.0,2116285800.0,2116215400.0
2027.0,2076803100.0,2168563200.0,1986424700.0,2124422700.0,2081978000.0,2117390500.0,2174570800.0,2145346800.0,2065256300.0,2078212400.0,2099506300.0
2028.0,2038618200.0,2123369300.0,1921687900.0,2105073700.0,2111714400.0,2074911600.0,2211732500.0,2106517000.0,2046723700.0,2207520800.0,2132319600.0
2029.0,2007656800.0,2094786800.0,1870509800.0,2123059500.0,2006549400.0,2034324000.0,2133386800.0,2097986700.0,2015872500.0,2085996400.0,2051557800.0
