time,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0,2882533900000.0
2001.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0,2865905300000.0
2002.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0,2846266000000.0
2003.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0,2834000800000.0
2004.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0,2844200300000.0
2005.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0,2840838300000.0
2006.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0,2847630000000.0
2007.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0,2846337500000.0
2008.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0,2823548000000.0
2009.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0,2821906500000.0
2010.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0,2812574400000.0
2011.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0,2826203600000.0
2012.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0,2815774400000.0
2013.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0,2798656000000.0
2014.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0,2786356400000.0
2015.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0,2787170300000.0
2016.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0,2809785700000.0
2017.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0,2787470000000.0
2018.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0,2786664000000.0
2019.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0,2773815400000.0
2020.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0,2778681300000.0
2021.0,2740575800000.0,2763435800000.0,2756881400000.0,2733808800000.0,2765277400000.0
2022.0,2749118800000.0,2751121600000.0,2756663000000.0,2732004000000.0,2740292400000.0
2023.0,2735887000000.0,2703667200000.0,2766146600000.0,2707201200000.0,2715808000000.0
2024.0,2702981500000.0,2674077200000.0,2742715000000.0,2668328600000.0,2677080900000.0
2025.0,2676958400000.0,2649373300000.0,2725048500000.0,2641479300000.0,2636387000000.0
2026.0,2626510700000.0,2624500000000.0,2683311200000.0,2632657700000.0,2599159000000.0
2027.0,2592213800000.0,2572705600000.0,2650776800000.0,2618040500000.0,2558242300000.0
2028.0,2564387200000.0,2538308400000.0,2626255300000.0,2596963000000.0,2535970300000.0
2029.0,2542806800000.0,2521539500000.0,2582288300000.0,2596311000000.0,2500743000000.0
2030.0,2517038000000.0,2511900500000.0,2566508800000.0,2548776000000.0,2449028000000.0
2031.0,2536429800000.0,2486373700000.0,2551684500000.0,2534150500000.0,2418669500000.0
2032.0,2518780200000.0,2475402200000.0,2526297000000.0,2511720200000.0,2380761000000.0
2033.0,2498322200000.0,2432384000000.0,2500099300000.0,2484887600000.0,2335712200000.0
2034.0,2476983500000.0,2397002500000.0,2460882800000.0,2489936000000.0,2287776600000.0
2035.0,2472655000000.0,2370476700000.0,2422084200000.0,2450776700000.0,2251583400000.0
2036.0,2457886300000.0,2343668000000.0,2405235000000.0,2412663000000.0,2203621000000.0
2037.0,2436456000000.0,2313999000000.0,2392117200000.0,2387024800000.0,2150550600000.0
2038.0,2395305000000.0,2254961400000.0,2375749500000.0,2381022000000.0,2115731800000.0
2039.0,2384413300000.0,2204028600000.0,2334705300000.0,2332746000000.0,2085698700000.0
2040.0,2347863600000.0,2191328800000.0,2294060700000.0,2308347800000.0,2061560700000.0
2041.0,2310798300000.0,2151414100000.0,2240671600000.0,2275350700000.0,2032676800000.0
2042.0,2294200400000.0,2122154600000.0,2199568500000.0,2249766000000.0,1978284200000.0
2043.0,2271901400000.0,2096070700000.0,2159811600000.0,2213219000000.0,1911959300000.0
2044.0,2245892800000.0,2066061600000.0,2141929200000.0,2178662000000.0,1875334000000.0
2045.0,2215776400000.0,2024516500000.0,2100369400000.0,2168306800000.0,1826347200000.0
2046.0,2185090300000.0,1975801300000.0,2072612000000.0,2142504600000.0,1771166500000.0
2047.0,2153575500000.0,1934753700000.0,2032704000000.0,2116865900000.0,1727532600000.0
2048.0,2115019300000.0,1901901500000.0,1994405600000.0,2099811000000.0,1693533600000.0
2049.0,2082477700000.0,1853214400000.0,1962173700000.0,2086366200000.0,1653224900000.0
2050.0,2048828900000.0,1822331600000.0,1922832000000.0,2052912700000.0,1594697400000.0
2051.0,2004042800000.0,1792805200000.0,1866059000000.0,2017230200000.0,1538701300000.0
2052.0,1960067900000.0,1765353200000.0,1830151500000.0,1979434400000.0,1489600500000.0
2053.0,1915428900000.0,1708740200000.0,1784861300000.0,1939070400000.0,1427026600000.0
2054.0,1882898200000.0,1694787300000.0,1732041500000.0,1925877000000.0,1356985500000.0
2055.0,1871660600000.0,1643431500000.0,1688692000000.0,1888696100000.0,1298417500000.0
2056.0,1830840400000.0,1608823200000.0,1645676000000.0,1863398200000.0,1249607300000.0
2057.0,1793538900000.0,1580016200000.0,1615378900000.0,1834156600000.0,1199772300000.0
2058.0,1768837600000.0,1548369800000.0,1563474300000.0,1820031800000.0,1157744600000.0
2059.0,1750792400000.0,1514378100000.0,1513061900000.0,1762179000000.0,1102281000000.0
2060.0,1731802700000.0,1482839800000.0,1463975500000.0,1712934200000.0,1071795400000.0
2061.0,1717894000000.0,1449511700000.0,1440294900000.0,1665509500000.0,1039674100000.0
2062.0,1685435700000.0,1410590000000.0,1400026300000.0,1643484400000.0,1018105950000.0
2063.0,1647476900000.0,1372415500000.0,1366201100000.0,1627790500000.0,992323960000.0
2064.0,1616799200000.0,1318354400000.0,1331947100000.0,1597969300000.0,957093600000.0
2065.0,1567057000000.0,1302570700000.0,1288081100000.0,1580610200000.0,921507140000.0
2066.0,1558886500000.0,1286933600000.0,1250753900000.0,1562028400000.0,902826700000.0
2067.0,1539137600000.0,1253383700000.0,1229339000000.0,1538842400000.0,873277600000.0
2068.0,1510119800000.0,1214012200000.0,1194636700000.0,1494610300000.0,842410100000.0
2069.0,1498745100000.0,1197259000000.0,1167463500000.0,1453453500000.0,804632260000.0
2070.0,1478108000000.0,1178495200000.0,1131219900000.0,1428467900000.0,781724350000.0
2071.0,1460764000000.0,1143738200000.0,1100773200000.0,1398757100000.0,755369250000.0
2072.0,1419511600000.0,1119640400000.0,1074132300000.0,1384638600000.0,742176100000.0
2073.0,1388505900000.0,1113830000000.0,1041788400000.0,1358061500000.0,724074600000.0
2074.0,1367071800000.0,1104128000000.0,1014500900000.0,1339191900000.0,692972200000.0
2075.0,1325748200000.0,1074505800000.0,989439100000.0,1325019600000.0,655685060000.0
2076.0,1283962000000.0,1036685200000.0,958283600000.0,1293140100000.0,631067640000.0
2077.0,1251350000000.0,1015023200000.0,926798600000.0,1266147800000.0,601926140000.0
2078.0,1230688700000.0,985699840000.0,895164400000.0,1242246500000.0,587211100000.0
2079.0,1196328100000.0,951097560000.0,859667040000.0,1206548000000.0,559347500000.0
2080.0,1156935500000.0,928562500000.0,819020230000.0,1170668000000.0,537606260000.0
2081.0,1131511400000.0,913806070000.0,787152000000.0,1135432800000.0,507514300000.0
2082.0,1115069000000.0,891511050000.0,749308150000.0,1109332100000.0,485994760000.0
2083.0,1091442640000.0,883164250000.0,715865260000.0,1083801800000.0,464568800000.0
2084.0,1058591150000.0,847639740000.0,689985000000.0,1046955000000.0,446494770000.0
2085.0,1041432900000.0,832217000000.0,668221440000.0,1020215900000.0,427586620000.0
2086.0,1007531300000.0,807195050000.0,633937700000.0,992284600000.0,402137350000.0
2087.0,987942400000.0,788519800000.0,612984500000.0,967702740000.0,377787580000.0
2088.0,949766700000.0,773923300000.0,579692500000.0,937971800000.0,359102800000.0
2089.0,920196600000.0,757542200000.0,559074500000.0,912172840000.0,339686160000.0
2090.0,891609740000.0,741486100000.0,538971960000.0,889907400000.0,320739150000.0
2091.0,869579300000.0,724944160000.0,509153180000.0,865580200000.0,300410340000.0
2092.0,847728200000.0,709970170000.0,483302300000.0,847942840000.0,280224630000.0
2093.0,815120100000.0,691534800000.0,461994600000.0,820052950000.0,261962020000.0
2094.0,785823200000.0,671610100000.0,443307500000.0,786058200000.0,244908280000.0
2095.0,761578460000.0,654843250000.0,424213480000.0,776560100000.0,231639320000.0
2096.0,745376200000.0,631505700000.0,404267630000.0,765889600000.0,215351870000.0
2097.0,722902200000.0,614452000000.0,383474270000.0,741179600000.0,203169740000.0
2098.0,706499200000.0,589776500000.0,365465470000.0,708278400000.0,191893880000.0
2099.0,692448850000.0,568020400000.0,349108140000.0,682026200000.0,181878780000.0
2100.0,672677760000.0,551098000000.0,334447440000.0,656977360000.0,172257540000.0
