time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0,5145406500000.0
2001.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0,5145938000000.0
2002.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0,5143317700000.0
2003.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0,5151082400000.0
2004.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0,5150231500000.0
2005.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0,5104530000000.0
2006.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0,5084247000000.0
2007.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0,5064741000000.0
2008.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0,5047321000000.0
2009.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0,5001636000000.0
2010.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0,4980672600000.0
2011.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0,4967728000000.0
2012.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0,4927068300000.0
2013.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0,4902513300000.0
2014.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0,4868002000000.0
2015.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0,4866311000000.0
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4646319000000.0,4667224400000.0,4670154600000.0,4673135000000.0,4659518400000.0,4639683000000.0,4647696700000.0
2022.0,4619470000000.0,4623424300000.0,4643348000000.0,4646407000000.0,4640467000000.0,4598734000000.0,4614162000000.0
2023.0,4583039000000.0,4596941000000.0,4620267000000.0,4641196000000.0,4610589000000.0,4548349000000.0,4578193400000.0
2024.0,4548371000000.0,4584180300000.0,4603912000000.0,4605692000000.0,4574701700000.0,4540751400000.0,4533266700000.0
2025.0,4518627000000.0,4552659600000.0,4586361300000.0,4592499700000.0,4542219400000.0,4511528000000.0,4491991000000.0
2026.0,4509915400000.0,4520723600000.0,4544903000000.0,4569847000000.0,4533623700000.0,4471548000000.0,4458088500000.0
2027.0,4504239500000.0,4497059300000.0,4487541400000.0,4565128700000.0,4500066000000.0,4449068600000.0,4420080000000.0
2028.0,4474921000000.0,4455553600000.0,4465904600000.0,4547889600000.0,4471312600000.0,4436328400000.0,4397862500000.0
2029.0,4424154500000.0,4416399000000.0,4437424000000.0,4531858000000.0,4450903700000.0,4390900200000.0,4389728700000.0
2030.0,4388177600000.0,4383529500000.0,4404345000000.0,4509365400000.0,4390820200000.0,4356465000000.0,4381104400000.0
2031.0,4352667500000.0,4361855700000.0,4359445500000.0,4486778000000.0,4358506800000.0,4344588800000.0,4373088800000.0
2032.0,4333892000000.0,4323387000000.0,4339206200000.0,4455526300000.0,4327295200000.0,4299322600000.0,4356779800000.0
2033.0,4321005300000.0,4285139800000.0,4297422800000.0,4413304300000.0,4299668800000.0,4278259000000.0,4335665700000.0
2034.0,4303033000000.0,4274401800000.0,4263374000000.0,4390786200000.0,4261092800000.0,4261452200000.0,4299337500000.0
2035.0,4274746600000.0,4267277000000.0,4230742300000.0,4370349000000.0,4244261600000.0,4242774000000.0,4291051700000.0
2036.0,4242151000000.0,4238120300000.0,4240675000000.0,4361872700000.0,4223496000000.0,4218771700000.0,4256158200000.0
2037.0,4226974000000.0,4220264600000.0,4202208700000.0,4342445800000.0,4199461000000.0,4215076000000.0,4205977300000.0
2038.0,4212577000000.0,4205480500000.0,4165969000000.0,4329657000000.0,4158845400000.0,4201233800000.0,4163515200000.0
2039.0,4190201200000.0,4195501200000.0,4142901000000.0,4320820700000.0,4117438400000.0,4195010000000.0,4138544400000.0
2040.0,4159156500000.0,4174090300000.0,4110775500000.0,4308997800000.0,4103844100000.0,4152001000000.0,4125097000000.0
2041.0,4132326300000.0,4144395500000.0,4083622000000.0,4287679000000.0,4093959700000.0,4128439800000.0,4104230800000.0
2042.0,4108730800000.0,4125034500000.0,4054482700000.0,4266591000000.0,4070419000000.0,4071727300000.0,4082821500000.0
2043.0,4092825000000.0,4100220500000.0,4023678000000.0,4244953400000.0,4063416000000.0,4016644800000.0,4045298000000.0
2044.0,4075386000000.0,4078864200000.0,4010872100000.0,4225200000000.0,4050484500000.0,3980921000000.0,4018677000000.0
2045.0,4030099400000.0,4071867000000.0,3990885200000.0,4191862000000.0,4028829800000.0,3955964200000.0,4000991000000.0
2046.0,3989151400000.0,4056885200000.0,3964790400000.0,4170527000000.0,3992170500000.0,3952446300000.0,3975133500000.0
2047.0,3971376200000.0,4018814600000.0,3917027700000.0,4132142800000.0,3983678000000.0,3936754600000.0,3940721600000.0
2048.0,3957115000000.0,4001633700000.0,3870895400000.0,4094304500000.0,3947747900000.0,3903528600000.0,3909138500000.0
