time,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,MPI-ESM-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G,IPSL-CM5A-LR
2052.0,3539209000000.0,3762251400000.0,3419734000000.0,3685661800000.0,3668370300000.0,3842537200000.0,3891726600000.0,3795867400000.0,3882526400000.0,3758712200000.0
2053.0,3497314200000.0,3712181600000.0,3384367400000.0,3649275700000.0,3638101500000.0,3815921700000.0,3863271700000.0,3761374200000.0,3847308200000.0,3729804200000.0
2054.0,3454718000000.0,3687970800000.0,3328909200000.0,3623996600000.0,3613345700000.0,3784859000000.0,3833570000000.0,3736228900000.0,3832169000000.0,3700360200000.0
2055.0,3420317300000.0,3658475600000.0,3298512300000.0,3596411700000.0,3594783000000.0,3748629300000.0,3798719300000.0,3708329400000.0,3792362300000.0,3677771000000.0
2056.0,3380064300000.0,3626896700000.0,3229079000000.0,3579268600000.0,3557162200000.0,3722447200000.0,3762432500000.0,3683611300000.0,3769372200000.0,3651556900000.0
2057.0,3334579200000.0,3600926400000.0,3185498400000.0,3529519700000.0,3525805000000.0,3693745500000.0,3725008800000.0,3668608000000.0,3758605000000.0,3607112700000.0
2058.0,3292347500000.0,3574326400000.0,3142787500000.0,3474665000000.0,3483316000000.0,3683625700000.0,3689200700000.0,3642536800000.0,3735735200000.0,3571300400000.0
2059.0,3256709500000.0,3542943000000.0,3095107700000.0,3442845400000.0,3456875600000.0,3670822400000.0,3643246400000.0,3600319300000.0,3704655400000.0,3542431800000.0
2060.0,3216624600000.0,3507169800000.0,3056454600000.0,3396916000000.0,3436005600000.0,3651847800000.0,3627465800000.0,3604485500000.0,3687057700000.0,3514312000000.0
2061.0,3185878200000.0,3467538300000.0,3019952600000.0,3383091300000.0,3410386200000.0,3615930700000.0,3613245000000.0,3571688700000.0,3656098500000.0,3481004000000.0
2062.0,3136134000000.0,3427700600000.0,2989807600000.0,3325504000000.0,3368384000000.0,3580677600000.0,3587768600000.0,3538490500000.0,3646547600000.0,3450420600000.0
2063.0,3101779300000.0,3382361000000.0,2947549200000.0,3298499800000.0,3339744700000.0,3552641300000.0,3557764400000.0,3515752400000.0,3639131800000.0,3429407000000.0
2064.0,3052879500000.0,3336559000000.0,2901571800000.0,3273215200000.0,3298745000000.0,3516603800000.0,3524275700000.0,3500230000000.0,3620550000000.0,3401097700000.0
2065.0,3013478200000.0,3298137000000.0,2867151800000.0,3234570000000.0,3267156500000.0,3495446400000.0,3489391400000.0,3479409000000.0,3582979200000.0,3338878000000.0
2066.0,2985312000000.0,3272136000000.0,2838628000000.0,3214757000000.0,3210865800000.0,3461034800000.0,3457828300000.0,3452144000000.0,3556877300000.0,3300977000000.0
2067.0,2947016000000.0,3228662500000.0,2789086300000.0,3175287400000.0,3179299500000.0,3434382600000.0,3442072000000.0,3426417000000.0,3537998000000.0,3279222000000.0
2068.0,2908083200000.0,3197545700000.0,2740989700000.0,3143125400000.0,3145661000000.0,3406955800000.0,3410416600000.0,3395741800000.0,3511399700000.0,3247937200000.0
2069.0,2869710800000.0,3155643300000.0,2709159400000.0,3119518000000.0,3099522800000.0,3371580800000.0,3366109800000.0,3366157800000.0,3468370600000.0,3218456400000.0
2070.0,2827095400000.0,3120207200000.0,2654935200000.0,3098830700000.0,3065257400000.0,3352087000000.0,3341050000000.0,3342329700000.0,3437427700000.0,3202128800000.0
2071.0,2778978800000.0,3075482600000.0,2607632600000.0,3060960000000.0,3029881000000.0,3322381000000.0,3299264400000.0,3317545300000.0,3404378400000.0,3176499800000.0
2072.0,2734469200000.0,3046477700000.0,2565029200000.0,3037996300000.0,2974469600000.0,3296617800000.0,3271261400000.0,3287813500000.0,3376314000000.0,3134821800000.0
2073.0,2681021000000.0,3005946000000.0,2517064700000.0,3020656200000.0,2942619000000.0,3266711700000.0,3242707000000.0,3243966500000.0,3364658300000.0,3089598800000.0
2074.0,2644746000000.0,2983441700000.0,2489260700000.0,3006600300000.0,2908577000000.0,3221214700000.0,3205050100000.0,3202255400000.0,3347131400000.0,3053912900000.0
2075.0,2616952600000.0,2946870000000.0,2452316700000.0,2969042000000.0,2874616600000.0,3199243400000.0,3172283000000.0,3174498600000.0,3323582500000.0,3018750000000.0
2076.0,2583025200000.0,2894961000000.0,2407843200000.0,2927166000000.0,2825039000000.0,3177936800000.0,3136460000000.0,3147510800000.0,3303139700000.0,2987742500000.0
2077.0,2528070300000.0,2838883700000.0,2369911300000.0,2892569800000.0,2792769000000.0,3152115100000.0,3112565200000.0,3127193400000.0,3293849300000.0,2948482500000.0
2078.0,2477167500000.0,2794656000000.0,2326382500000.0,2843083000000.0,2763222000000.0,3119854400000.0,3080630800000.0,3093596700000.0,3281306300000.0,2918105500000.0
2079.0,2440500000000.0,2751413600000.0,2302022500000.0,2815362300000.0,2721275400000.0,3090751400000.0,3056401400000.0,3066509400000.0,3262375000000.0,2888591000000.0
2080.0,2403661000000.0,2720408300000.0,2262318700000.0,2796315700000.0,2667298000000.0,3058768300000.0,3029819500000.0,3042660800000.0,3232585200000.0,2835294000000.0
2081.0,2372273000000.0,2680138500000.0,2215102600000.0,2754159600000.0,2633944800000.0,3041511900000.0,2995225600000.0,3020051000000.0,3212258600000.0,2817858000000.0
2082.0,2336798000000.0,2637609000000.0,2182242800000.0,2730963000000.0,2598121800000.0,3026383500000.0,2960738200000.0,2995923500000.0,3189272500000.0,2794628600000.0
2083.0,2299710100000.0,2607223700000.0,2139950400000.0,2718278600000.0,2566093300000.0,2971717000000.0,2911216600000.0,2963098300000.0,3168977300000.0,2766097000000.0
2084.0,2270734300000.0,2569421700000.0,2112758000000.0,2697842700000.0,2520176400000.0,2924441000000.0,2856757200000.0,2947984400000.0,3134542800000.0,2745484700000.0
2085.0,2238192800000.0,2525164200000.0,2065544500000.0,2665672300000.0,2484245600000.0,2884826000000.0,2822544600000.0,2929081000000.0,3113798000000.0,2710551700000.0
2086.0,2192030300000.0,2489419800000.0,2037856700000.0,2629042700000.0,2443106000000.0,2863499800000.0,2789004800000.0,2901295200000.0,3083244100000.0,2679073000000.0
2087.0,2157260000000.0,2454827300000.0,1996641500000.0,2591705800000.0,2403724400000.0,2838877000000.0,2749620800000.0,2872316800000.0,3062542400000.0,2653023600000.0
2088.0,2127564100000.0,2417203300000.0,1950726900000.0,2544345500000.0,2355279200000.0,2808467200000.0,2719520000000.0,2843565600000.0,3028656600000.0,2630452500000.0
2089.0,2099016200000.0,2384053000000.0,1919399400000.0,2526548900000.0,2322185600000.0,2759332200000.0,2685094000000.0,2811968400000.0,2986566500000.0,2604583600000.0
2090.0,2053894800000.0,2349284500000.0,1878345000000.0,2504354700000.0,2291336700000.0,2727087000000.0,2653809300000.0,2780133900000.0,2980613500000.0,2583876000000.0
2091.0,2005935600000.0,2315520300000.0,1849609000000.0,2474705400000.0,2253558600000.0,2699886000000.0,2614341100000.0,2757775900000.0,2952124200000.0,2558694000000.0
2092.0,1972210800000.0,2287287100000.0,1813571800000.0,2442855700000.0,2207747700000.0,2673767000000.0,2588172600000.0,2730949600000.0,2917766300000.0,2538045000000.0
2093.0,1930308600000.0,2252437200000.0,1772511800000.0,2415701500000.0,2155164200000.0,2653284000000.0,2551313300000.0,2705763900000.0,2910133400000.0,2502766400000.0
2094.0,1893736400000.0,2220292600000.0,1732498700000.0,2382613400000.0,2123475700000.0,2622831200000.0,2516123400000.0,2679026200000.0,2888259300000.0,2470703300000.0
2095.0,1856949200000.0,2185959300000.0,1700168900000.0,2344880000000.0,2097519400000.0,2592639300000.0,2484410800000.0,2662563300000.0,2863058600000.0,2441670800000.0
2096.0,1808516300000.0,2154996800000.0,1669217900000.0,2310102800000.0,2068841900000.0,2572682300000.0,2452012000000.0,2636219700000.0,2834405300000.0,2420469000000.0
2097.0,1777714100000.0,2133549300000.0,1638478200000.0,2276054500000.0,2034226800000.0,2540410000000.0,2426301600000.0,2604327000000.0,2788989900000.0,2393557000000.0
2098.0,1753640100000.0,2096034700000.0,1603436000000.0,2250928800000.0,2004733000000.0,2504521200000.0,2401545000000.0,2573361000000.0,2785309000000.0,2364774800000.0
2099.0,1717937600000.0,2058044800000.0,1581656300000.0,2216810000000.0,1969204000000.0,2458603000000.0,2361282000000.0,2546891000000.0,2764216500000.0,2319042200000.0
2100.0,1670622900000.0,2017812200000.0,1561361300000.0,2200991200000.0,1948127600000.0,2430323400000.0,2305364900000.0,2528782300000.0,2738825700000.0,2289790600000.0
