time,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM5-0,CAMS-CSM1-0,GFDL-ESM4,FGOALS-F3-L,EC-EARTH3-VEG,CESM2-WACCM,NORESM2-MM,EC-EARTH3,INM-CM4-8
2000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0
2001.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0
2002.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0
2003.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0
2004.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0
2005.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0
2006.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0
2007.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0
2008.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0
2009.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0
2010.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0
