time,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG,INM-CM5-0,MRI-ESM2-0,CAMS-CSM1-0,CMCC-CM2-SR5,CESM2,BCC-CSM2-MR,MPI-ESM1-2-HR,INM-CM4-8,EC-EARTH3,CESM2-WACCM,NORESM2-MM
2000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0,41255590000.0
2001.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0,41137670000.0
2002.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0,41065693000.0
2003.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0,41084780000.0
2004.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0,40997306000.0
2005.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0,41033585000.0
2006.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0,41415670000.0
2007.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0,41197044000.0
2008.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0,40993833000.0
2009.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0,40893972000.0
2010.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0,40826990000.0
2011.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0,40770724000.0
2012.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0,40751840000.0
2013.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0,40739030000.0
2014.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0,40773260000.0
2015.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0,40663687000.0
2016.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0,40618150000.0
2017.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0,40577855000.0
2018.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0,40843534000.0
2019.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0,40717242000.0
2020.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0,40583963000.0
2021.0,40481903000.0,40472953000.0,40578466000.0,40538063000.0,40525214000.0,40497910000.0,40759992000.0,40493613000.0,40607450000.0,40457646000.0,40526430000.0,40477823000.0,40529367000.0,40530317000.0
2022.0,40408297000.0,40435347000.0,40512690000.0,40587305000.0,40447996000.0,40511100000.0,40601838000.0,40384960000.0,40508130000.0,40391090000.0,40532660000.0,40395035000.0,40452540000.0,40464933000.0
2023.0,40415547000.0,40386400000.0,40468840000.0,40460227000.0,40446450000.0,40381604000.0,40545948000.0,40336600000.0,40662372000.0,40363315000.0,40487047000.0,40345230000.0,40388194000.0,40415085000.0
2024.0,40364860000.0,40402653000.0,40412150000.0,40458826000.0,40376240000.0,40431220000.0,40565690000.0,40285106000.0,40505897000.0,40379335000.0,40398130000.0,40312490000.0,40322322000.0,40394370000.0
2025.0,40418284000.0,40440190000.0,40383934000.0,40596394000.0,40278960000.0,40390468000.0,40456827000.0,40223370000.0,40399790000.0,40411320000.0,40439150000.0,40282563000.0,40426370000.0,40363400000.0
2026.0,40342470000.0,40284710000.0,40305172000.0,40428954000.0,40248290000.0,40326988000.0,40402280000.0,40169580000.0,40418394000.0,40256140000.0,40324510000.0,40219984000.0,40251097000.0,40346964000.0
2027.0,40260882000.0,40217180000.0,40306080000.0,40413282000.0,40175632000.0,40260735000.0,40370266000.0,40091853000.0,40342983000.0,40251142000.0,40301232000.0,40159433000.0,40176830000.0,40289386000.0
2028.0,40237590000.0,40176865000.0,40203596000.0,40404136000.0,40131944000.0,40269767000.0,40365044000.0,40054845000.0,40270550000.0,40220856000.0,40203612000.0,40230200000.0,40132645000.0,40234914000.0
2029.0,40187572000.0,40129294000.0,40139140000.0,40319676000.0,40093962000.0,40174723000.0,40298148000.0,39989973000.0,40203457000.0,40100704000.0,40199070000.0,40128643000.0,40055575000.0,40256324000.0
2030.0,40186868000.0,40121565000.0,40212296000.0,40245297000.0,40044106000.0,40124314000.0,40257830000.0,39954227000.0,40150753000.0,40054520000.0,40105260000.0,40064730000.0,39965650000.0,40141566000.0
2031.0,40077760000.0,40101806000.0,40123960000.0,40215355000.0,39937466000.0,40129065000.0,40375263000.0,39885820000.0,40124568000.0,40050450000.0,40093610000.0,40015560000.0,39871762000.0,40116670000.0
2032.0,40058760000.0,39993713000.0,39990485000.0,40312934000.0,39859913000.0,40082727000.0,40237146000.0,39782640000.0,40032354000.0,39971705000.0,40020350000.0,39964676000.0,39810280000.0,40019874000.0
2033.0,40097460000.0,39966417000.0,39939690000.0,40160854000.0,39773450000.0,40049860000.0,40132133000.0,39689910000.0,40020620000.0,39899984000.0,39966302000.0,39898153000.0,39739834000.0,39960285000.0
2034.0,40195736000.0,39883973000.0,39869743000.0,40076337000.0,39713560000.0,40064983000.0,40068870000.0,39578670000.0,39913456000.0,40109590000.0,39871533000.0,39908390000.0,39659750000.0,39900983000.0
2035.0,40041705000.0,39823260000.0,39801876000.0,39997063000.0,39640097000.0,39918520000.0,40004890000.0,39472894000.0,39830127000.0,39867814000.0,39819350000.0,39732560000.0,39585000000.0,39940313000.0
2036.0,40036676000.0,39828247000.0,39722150000.0,40044007000.0,39548236000.0,39860818000.0,39926485000.0,39384773000.0,39776465000.0,39877448000.0,39748375000.0,39625798000.0,39504260000.0,39797584000.0
2037.0,39847600000.0,40011580000.0,39655480000.0,39950380000.0,39431074000.0,39866446000.0,39833666000.0,39273066000.0,39698084000.0,39747180000.0,39722443000.0,39500830000.0,39434842000.0,39712020000.0
2038.0,40243940000.0,39661634000.0,39583785000.0,39869750000.0,39279088000.0,39765240000.0,39746044000.0,39179035000.0,39622324000.0,39699700000.0,39614870000.0,39436420000.0,39325290000.0,39584936000.0
2039.0,39845490000.0,39581336000.0,39471415000.0,39804740000.0,39172590000.0,39728144000.0,39648248000.0,39112270000.0,39527060000.0,39571427000.0,39540390000.0,39345600000.0,39210550000.0,39515120000.0
2040.0,39713530000.0,39510532000.0,39389626000.0,39793304000.0,39081636000.0,39687918000.0,39558440000.0,39094460000.0,39475057000.0,39534227000.0,39460876000.0,39246910000.0,39105995000.0,39392862000.0
2041.0,39634950000.0,39414768000.0,39262884000.0,39672574000.0,38973067000.0,39684493000.0,39473246000.0,38927954000.0,39350256000.0,39530940000.0,39366083000.0,39114502000.0,39018380000.0,39305605000.0
2042.0,39599570000.0,39325893000.0,39156797000.0,39677910000.0,38845157000.0,39622975000.0,39373600000.0,38782247000.0,39256640000.0,39422878000.0,39264854000.0,38970634000.0,38920098000.0,39204704000.0
2043.0,39589057000.0,39243950000.0,39046873000.0,39529214000.0,38730744000.0,39741620000.0,39247170000.0,38666596000.0,39292350000.0,39298150000.0,39157720000.0,38849620000.0,38823860000.0,39101950000.0
2044.0,39468040000.0,39125893000.0,38907810000.0,39436354000.0,38598390000.0,39636226000.0,39127986000.0,38589890000.0,39112307000.0,39195087000.0,39044096000.0,38705484000.0,38739948000.0,38922977000.0
2045.0,39360710000.0,39131447000.0,38796680000.0,39369730000.0,38441914000.0,39432760000.0,39009930000.0,38479786000.0,39021023000.0,39086776000.0,38936980000.0,38568428000.0,38613017000.0,38841274000.0
2046.0,39288090000.0,39030820000.0,38689220000.0,39256785000.0,38291104000.0,39553250000.0,38847984000.0,38345626000.0,38880924000.0,39126950000.0,38834287000.0,38426640000.0,38472190000.0,38726975000.0
2047.0,39289328000.0,38956540000.0,38571454000.0,39173150000.0,38099060000.0,39375050000.0,38676150000.0,38238450000.0,38825066000.0,38961287000.0,38699717000.0,38306590000.0,38397383000.0,38600266000.0
2048.0,39130972000.0,38786548000.0,38467520000.0,39056114000.0,37899817000.0,39293770000.0,38513980000.0,38085310000.0,38725116000.0,38846880000.0,38568415000.0,38136025000.0,38209237000.0,38458393000.0
2049.0,39064306000.0,38672527000.0,38280507000.0,38955440000.0,37736083000.0,39206388000.0,38338060000.0,37891334000.0,38721024000.0,38852514000.0,38443990000.0,37902553000.0,38058914000.0,38310457000.0
2050.0,38990640000.0,38570990000.0,38115865000.0,38853970000.0,37556490000.0,39086313000.0,38163820000.0,37724980000.0,38546920000.0,38711693000.0,38313017000.0,37681660000.0,37893243000.0,38121040000.0
2051.0,38886190000.0,38505312000.0,37903802000.0,38713274000.0,37330360000.0,38973810000.0,37993570000.0,37585658000.0,38441005000.0,38632350000.0,38150263000.0,37431420000.0,37704364000.0,38006050000.0
2052.0,38807073000.0,38435107000.0,37695660000.0,38616412000.0,37091550000.0,38984320000.0,37785915000.0,37391385000.0,38253736000.0,38523482000.0,38040960000.0,37168763000.0,37516984000.0,37903913000.0
2053.0,38761580000.0,38306845000.0,37532443000.0,38490075000.0,36944040000.0,39019610000.0,37526286000.0,37225533000.0,38144885000.0,38378578000.0,37920575000.0,36996362000.0,37348610000.0,37731290000.0
2054.0,38607710000.0,38187024000.0,37442240000.0,38364537000.0,36750890000.0,38800990000.0,37302640000.0,37045076000.0,38039530000.0,38309687000.0,37733396000.0,36754153000.0,37155385000.0,37558010000.0
2055.0,38487904000.0,38067130000.0,37182783000.0,38367347000.0,36515110000.0,38681180000.0,37091700000.0,36802703000.0,37846864000.0,38289500000.0,37607680000.0,36508580000.0,36998623000.0,37389644000.0
2056.0,38467523000.0,37900380000.0,36957080000.0,38216620000.0,36268392000.0,38693640000.0,36829766000.0,36620816000.0,37819257000.0,38088974000.0,37438540000.0,36215603000.0,36795404000.0,37206385000.0
2057.0,38280598000.0,37953370000.0,36775810000.0,38056137000.0,36006310000.0,38481576000.0,36581843000.0,36443550000.0,37703365000.0,38031320000.0,37265180000.0,35930087000.0,36601680000.0,37074006000.0
2058.0,38183930000.0,37732143000.0,36494262000.0,37962520000.0,35694543000.0,38452390000.0,36290650000.0,36174397000.0,37534708000.0,37900270000.0,37070193000.0,35615425000.0,36403204000.0,36895800000.0
2059.0,38024413000.0,37591710000.0,36281770000.0,37899215000.0,35475180000.0,38265836000.0,36026630000.0,35964125000.0,37367750000.0,37793067000.0,36889084000.0,35329688000.0,36159860000.0,36762680000.0
2060.0,37879267000.0,37639455000.0,36020920000.0,37712433000.0,35268380000.0,38136873000.0,35719240000.0,35720147000.0,37270213000.0,37751490000.0,36699152000.0,35043693000.0,35897840000.0,36560440000.0
2061.0,37813785000.0,37575770000.0,35756190000.0,37595435000.0,35025506000.0,38025000000.0,35474514000.0,35490890000.0,37163622000.0,37610095000.0,36493060000.0,34753106000.0,35739790000.0,36281565000.0
2062.0,37620470000.0,37342134000.0,35493093000.0,37417870000.0,34765844000.0,37974820000.0,35195910000.0,35248070000.0,36984545000.0,37478707000.0,36291170000.0,34421895000.0,35476760000.0,36076290000.0
2063.0,37494972000.0,37168853000.0,35189510000.0,37390086000.0,34560086000.0,37925880000.0,34919070000.0,35013026000.0,36820607000.0,37324423000.0,36064800000.0,34096730000.0,35220443000.0,35837563000.0
2064.0,37421370000.0,37027684000.0,34892460000.0,37253780000.0,34295919000.0,37732377000.0,34621890000.0,34870936000.0,37027940000.0,37242340000.0,35861640000.0,33734824000.0,34977276000.0,35618963000.0
2065.0,37229388000.0,36896960000.0,34605666000.0,37090652000.0,33996564000.0,37834387000.0,34295146000.0,34565173000.0,36637344000.0,37095387000.0,35636683000.0,33398501000.0,34652480000.0,35341390000.0
2066.0,37081645000.0,36742898000.0,34326993000.0,36939284000.0,33813367000.0,37566636000.0,33955934000.0,34299260000.0,36336243000.0,36983240000.0,35462000000.0,33073414000.0,34438996000.0,35139092000.0
2067.0,36924047000.0,36590720000.0,34012666000.0,36844823000.0,33540444000.0,37611890000.0,33561717000.0,33942866000.0,36115436000.0,36877816000.0,35268180000.0,32820208000.0,34240879000.0,34903548000.0
2068.0,36742010000.0,36399190000.0,33674520000.0,36633750000.0,33349278000.0,37437710000.0,33173864000.0,33661303000.0,35903087000.0,36714460000.0,35084366000.0,32530600000.0,33965812000.0,34675393000.0
2069.0,36548747000.0,36294537000.0,33354613000.0,36479332000.0,33053602000.0,37290000000.0,32830396000.0,33415895000.0,35641696000.0,36588483000.0,34816786000.0,32111878000.0,33687499000.0,34456940000.0
2070.0,36344580000.0,36086596000.0,33004083000.0,36363220000.0,32777486000.0,37174150000.0,32386734000.0,33155324000.0,35454554000.0,36418750000.0,34581660000.0,31843756000.0,33346810000.0,34177001000.0
2071.0,36165520000.0,35923513000.0,32685986000.0,36164080000.0,32543971000.0,37103310000.0,32010287000.0,32892418000.0,35277115000.0,36234630000.0,34385064000.0,31529167000.0,33033441000.0,33935153000.0
2072.0,36033060000.0,35921010000.0,32429808000.0,35990147000.0,32212963000.0,36910014000.0,31542560000.0,32732477000.0,35157100000.0,36091613000.0,34177004000.0,31189381000.0,32778476000.0,33705780000.0
2073.0,35844166000.0,35629744000.0,32139000000.0,35859830000.0,31983469000.0,36863400000.0,31108160000.0,32345602000.0,34990120000.0,36032717000.0,33991602000.0,30828044000.0,32520920000.0,33413421000.0
2074.0,35663995000.0,35458200000.0,31853715000.0,35714413000.0,31736275000.0,36656402000.0,30649178000.0,32057960000.0,34849010000.0,35787174000.0,33708954000.0,30492221000.0,32215722000.0,33212422000.0
2075.0,35712020000.0,35277386000.0,31489090000.0,35543350000.0,31513223000.0,36492136000.0,30230456000.0,31619568000.0,34555445000.0,35615530000.0,33530888000.0,30143418000.0,31881675000.0,32965440000.0
2076.0,35442323000.0,35116937000.0,31136117000.0,35361220000.0,31299686000.0,36323914000.0,29830170000.0,31304760000.0,34365297000.0,35489657000.0,33326537000.0,29720263000.0,31597880000.0,32681960000.0
2077.0,35187696000.0,34893470000.0,30832919000.0,35150987000.0,30985746000.0,36310135000.0,29377034000.0,30948874000.0,34199683000.0,35415056000.0,33128274000.0,29299745000.0,31271053000.0,32412576000.0
2078.0,34998604000.0,34754930000.0,30388228000.0,34945323000.0,30694617000.0,36113027000.0,28861227000.0,30601744000.0,34081405000.0,35214940000.0,32932284000.0,28937724000.0,30989380000.0,32100980000.0
2079.0,34825732000.0,34546700000.0,30005062000.0,34777660000.0,30391722000.0,36020216000.0,28431176000.0,30356160000.0,33957343000.0,35047535000.0,32632179000.0,28562586000.0,30649491000.0,31822279000.0
2080.0,34655597000.0,34407410000.0,29668893000.0,34590888000.0,30058308000.0,35836130000.0,27910910000.0,30006282000.0,33722620000.0,34965190000.0,32318597000.0,28169828000.0,30332967000.0,31510475000.0
2081.0,34437153000.0,34197998000.0,29296867000.0,34419524000.0,29795875000.0,35643433000.0,27433697000.0,29855460000.0,33444594000.0,34836845000.0,32088982000.0,27794487000.0,30049200000.0,31260699000.0
2082.0,34220941000.0,34046239000.0,28949880000.0,34254008000.0,29605607000.0,35468816000.0,26949132000.0,29518987000.0,33225558000.0,34719097000.0,31856654000.0,27430877000.0,29708767000.0,30936228000.0
2083.0,34025853000.0,33858302000.0,28565359000.0,34232807000.0,29233684000.0,35299246000.0,26474854000.0,29204328000.0,32957790000.0,34475454000.0,31655387000.0,27156097000.0,29422125000.0,30697208000.0
2084.0,33846930000.0,33701409000.0,28252733000.0,33940533000.0,28913870000.0,35122053000.0,25986685000.0,28881285000.0,32638523000.0,34403410000.0,31409900000.0,26803340000.0,29160626000.0,30438578000.0
2085.0,33628117000.0,33480143000.0,27885849000.0,33712067000.0,28563032000.0,34990817000.0,25507725000.0,28513460000.0,32303337000.0,34293322000.0,31201546000.0,26504800000.0,28805499000.0,30118648000.0
