time,CNRM-ESM2-1,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,CANESM5
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1898497500.0,1903050500.0,1950507600.0,1898319900.0,1895875800.0
2022.0,1858382500.0,1862692400.0,1870697500.0,1905952300.0,1845277300.0
2023.0,1826394800.0,1839128700.0,1866339000.0,1863703200.0,1840642800.0
2024.0,1795954700.0,1797417700.0,1803087100.0,1828836900.0,1991027200.0
2025.0,1799210400.0,1754590000.0,1782306300.0,1774768100.0,1796247400.0
2026.0,1728949400.0,1703458000.0,1754712800.0,1732968800.0,1740768600.0
2027.0,1717837000.0,1657969900.0,1717739000.0,1652999000.0,1704064100.0
2028.0,1682985600.0,1602240300.0,1685205200.0,1631936900.0,1649549800.0
2029.0,1819743100.0,1551651000.0,1663948500.0,1567971100.0,1621156100.0
2030.0,1633690600.0,1519430000.0,1605550600.0,1491474800.0,1573539500.0
2031.0,1632216600.0,1409255700.0,1541359900.0,1418396800.0,1558858000.0
2032.0,1564448600.0,1354915800.0,1656139300.0,1360607900.0,1555711700.0
2033.0,1558741400.0,1281523300.0,1482354600.0,1293226400.0,1465996700.0
2034.0,1672969900.0,1243857900.0,1409339100.0,1244824600.0,1405793300.0
2035.0,1464113800.0,1194321400.0,1367811100.0,1190674000.0,1332128000.0
2036.0,1460727300.0,1134810900.0,1301587700.0,1103440500.0,1295406200.0
2037.0,1397155100.0,1047721800.0,1244824300.0,1049765100.0,1258102000.0
2038.0,1371337700.0,990324200.0,1215164900.0,989013800.0,1195253100.0
2039.0,1340093300.0,924351800.0,1149369500.0,945087360.0,1162767900.0
2040.0,1303569700.0,878673340.0,1110812800.0,879437900.0,1133510700.0
2041.0,1273047400.0,845550000.0,1063886100.0,812919740.0,1061507200.0
2042.0,1253826800.0,776362940.0,1094675300.0,777456100.0,1023789760.0
2043.0,1217952300.0,749224800.0,1031536500.0,707327550.0,985910660.0
2044.0,1198438800.0,714104960.0,991581250.0,666028860.0,949441100.0
2045.0,1166975400.0,682232100.0,944263700.0,601564540.0,891543040.0
2046.0,1142149900.0,651952300.0,914370400.0,548154200.0,843187800.0
2047.0,1115226100.0,629479940.0,845870700.0,498358940.0,795617600.0
2048.0,1092296800.0,600705000.0,841469440.0,464551650.0,737815500.0
2049.0,1066163140.0,569627400.0,774773500.0,407861400.0,690586200.0
2050.0,1029100860.0,538429400.0,723146300.0,369174620.0,626246400.0
2051.0,983705700.0,512892830.0,678152770.0,341169800.0,589069200.0
2052.0,957299100.0,486536160.0,632154200.0,297068160.0,573266700.0
2053.0,922090400.0,472055650.0,626700860.0,273819420.0,535397540.0
2054.0,899946400.0,434163500.0,581364740.0,254238860.0,497674500.0
2055.0,863627650.0,415203360.0,547454400.0,285974300.0,472725060.0
2056.0,826000100.0,386351740.0,518221000.0,232224530.0,447858800.0
2057.0,783454800.0,362376320.0,488468400.0,202189200.0,426208640.0
2058.0,764151800.0,347368320.0,460621630.0,190241000.0,399892500.0
2059.0,724251000.0,337256640.0,444781820.0,164986180.0,385086560.0
2060.0,680074750.0,327476060.0,408220540.0,141606530.0,361772400.0
2061.0,648143200.0,318676900.0,384581800.0,133983816.0,333751970.0
2062.0,609589700.0,309810660.0,364319000.0,119927970.0,312576420.0
2063.0,591542000.0,321509700.0,333860060.0,113772210.0,301926430.0
2064.0,582947800.0,313484450.0,314199780.0,95405100.0,283142000.0
2065.0,547199700.0,295240220.0,307932030.0,92784900.0,271600930.0
2066.0,518739230.0,297863840.0,286262750.0,91773800.0,249187840.0
2067.0,525950940.0,330508200.0,269096960.0,83380120.0,238814240.0
2068.0,479278620.0,282195420.0,267978500.0,80277810.0,232038100.0
2069.0,449790500.0,272037380.0,248802610.0,77874120.0,217477970.0
2070.0,454043970.0,328590980.0,243890160.0,74756310.0,214486370.0
2071.0,485150530.0,265480350.0,236631680.0,68963790.0,204466880.0
2072.0,421906400.0,352228160.0,240842690.0,68330990.0,195500640.0
2073.0,409263400.0,267346000.0,234965300.0,65968884.0,200334460.0
2074.0,393302180.0,322499550.0,223992300.0,65419004.0,188487070.0
2075.0,395242660.0,265370220.0,216654450.0,58706604.0,183609300.0
2076.0,392521860.0,262211260.0,200526610.0,57683400.0,178943980.0
2077.0,408356100.0,264168880.0,195794610.0,56735748.0,193896340.0
2078.0,364813150.0,251763280.0,192669710.0,55106340.0,177720560.0
2079.0,358240200.0,304434140.0,188167970.0,54207664.0,171702060.0
2080.0,409914800.0,280073280.0,180220320.0,52300844.0,165688380.0
2081.0,363721180.0,272302460.0,174594960.0,50943700.0,190389170.0
2082.0,342961120.0,261585300.0,297979520.0,49831664.0,163121150.0
2083.0,335263940.0,308624220.0,259933250.0,48177800.0,158718770.0
2084.0,344932100.0,281543650.0,201125800.0,45200988.0,159247840.0
2085.0,333436400.0,270481950.0,194599700.0,44276470.0,341619800.0
2086.0,327399070.0,261537900.0,178567420.0,44842150.0,163835360.0
2087.0,318108830.0,302721250.0,181811250.0,44063360.0,161588660.0
