time,GFDL-ESM4,CNRM-CM6-1,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,TAIESM1,MIROC6,MRI-ESM2-0,KACE-1-0-G
2000.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0,2126520700.0
2001.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0,2141004800.0
2002.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0,2131452500.0
2003.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0,2194573300.0
2004.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0,2105318500.0
2005.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0,2099516400.0
2006.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0,2086269300.0
2007.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0,2072913500.0
2008.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0,2075369900.0
2009.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0,2105645200.0
2010.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0,2066847500.0
2011.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0,2082860900.0
2012.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0,2045792500.0
2013.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0,2036584000.0
2014.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0,2039751800.0
2015.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0,2055320400.0
2016.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0,2006293200.0
2017.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0,1995090200.0
2018.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0,1974807400.0
2019.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0,1947963600.0
2020.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0,1932318300.0
2021.0,1897239600.0,1927245000.0,1882923800.0,1874833500.0,1891154000.0,1944476500.0,1930558100.0,1886928500.0,1921516400.0,1884990500.0,1909173000.0,1916276100.0,1906390300.0
2022.0,1864898800.0,1899222400.0,1880161700.0,1847366100.0,1850444900.0,1891834500.0,1883931900.0,1856806300.0,1957458600.0,1886149200.0,1891468700.0,1892677600.0,1866568100.0
2023.0,1845312900.0,1889469300.0,1900862500.0,1817585900.0,1821927200.0,1858332500.0,1863836200.0,1826806700.0,1888232400.0,1920800100.0,1870689300.0,1852110100.0,1818254300.0
2024.0,1807163100.0,1843176300.0,1827401200.0,1823129500.0,1771962600.0,1822994300.0,1812401800.0,1865622400.0,1831723300.0,1884156500.0,1827526800.0,1800531500.0,1764364900.0
2025.0,1783574900.0,1823714700.0,1771002100.0,1762490100.0,1725371400.0,1756560300.0,1763399600.0,1767101800.0,1804394800.0,1831512200.0,1846015600.0,1767314600.0,1711499100.0
2026.0,1774442000.0,1791090000.0,1802925800.0,1715609200.0,1688800800.0,1695605800.0,1726676600.0,1733340300.0,1774054100.0,1768360400.0,1780739000.0,1704400900.0,1599276700.0
2027.0,1744027800.0,1804440600.0,1715276400.0,1653110700.0,1648625000.0,1640640300.0,1661691100.0,1685581200.0,1752934700.0,1747551100.0,1758823000.0,1651372800.0,1539599000.0
2028.0,1703229800.0,1781163300.0,1673243000.0,1609834800.0,1581811200.0,1611416000.0,1604584300.0,1619840300.0,1702462200.0,1715566300.0,1725439600.0,1624783900.0,1455791900.0
2029.0,1667364400.0,1735834100.0,1801992600.0,1573201400.0,1522114000.0,1542836400.0,1580827400.0,1588623600.0,1657307500.0,1640416000.0,1711102000.0,1596585600.0,1333689200.0
2030.0,1636022100.0,1749137700.0,1695779800.0,1530804100.0,1454584400.0,1452483700.0,1520426400.0,1522342400.0,1605522300.0,1565529600.0,1659426400.0,1540256000.0,1266124800.0
2031.0,1622900600.0,1667314800.0,1580127400.0,1454911900.0,1381301500.0,1470757000.0,1473998600.0,1497884300.0,1565553300.0,1497301200.0,1613525900.0,1486854300.0,1197505200.0
2032.0,1566014500.0,1609679900.0,1537927300.0,1403259900.0,1310188900.0,1399806200.0,1434267500.0,1418038000.0,1509829100.0,1439047000.0,1576090200.0,1430651100.0,1134770700.0
2033.0,1541576600.0,1589517400.0,1485052500.0,1442604000.0,1217306000.0,1365675500.0,1349293200.0,1332931100.0,1466599600.0,1398397600.0,1526825100.0,1385210800.0,1072512060.0
2034.0,1508349700.0,1548788100.0,1437807100.0,1328236400.0,1131388000.0,1307616800.0,1292690600.0,1269963800.0,1433649300.0,1378974600.0,1486399600.0,1331907700.0,995988350.0
2035.0,1475647500.0,1519810300.0,1389383300.0,1292563000.0,1066838300.0,1259828900.0,1233137200.0,1210235100.0,1371231700.0,1332176900.0,1457917200.0,1300481700.0,918008260.0
2036.0,1438303600.0,1497480100.0,1373041200.0,1216982100.0,1008775900.0,1200589200.0,1200326500.0,1147662600.0,1367875800.0,1284353500.0,1422868500.0,1253989900.0,856280640.0
2037.0,1420925200.0,1560085200.0,1330913200.0,1162558800.0,956749000.0,1182560100.0,1170886400.0,1054526460.0,1328753900.0,1213468900.0,1380502900.0,1205139000.0,778379650.0
2038.0,1385664100.0,1450144400.0,1306550100.0,1102766000.0,900884350.0,1117928400.0,1110330400.0,1013388540.0,1262213100.0,1212659200.0,1345410200.0,1161647400.0,705347300.0
2039.0,1341697700.0,1431040800.0,1316434400.0,1209369600.0,854626300.0,1084301800.0,1071116500.0,972695900.0,1243796700.0,1160639900.0,1309602800.0,1107869600.0,657431500.0
2040.0,1306584800.0,1475151900.0,1424279200.0,1056235500.0,811132200.0,1024593200.0,1022833540.0,929497200.0,1219042400.0,1128034700.0,1275863000.0,1072871040.0,607771600.0
2041.0,1254826000.0,1384721900.0,1260814600.0,1035689660.0,761420350.0,981007040.0,957902300.0,849905500.0,1248275200.0,1106266600.0,1248449000.0,1017604000.0,557605900.0
2042.0,1234917000.0,1354918000.0,1212047200.0,1005870660.0,746262900.0,937243100.0,930324400.0,786027900.0,1151559200.0,1046140300.0,1233321900.0,976177600.0,520733820.0
2043.0,1217275000.0,1331493900.0,1187242400.0,980005950.0,707278460.0,905825860.0,906625100.0,765163140.0,1128214900.0,969601400.0,1211047000.0,934415100.0,486752160.0
2044.0,1162551300.0,1310949500.0,1157895800.0,943081600.0,661077500.0,873866000.0,855325600.0,714693100.0,1085239900.0,940893630.0,1175454100.0,899163300.0,458936160.0
2045.0,1147020000.0,1295835800.0,1137420400.0,917511500.0,608233600.0,843772100.0,814201400.0,664669200.0,1056776400.0,904271400.0,1138912600.0,881410240.0,426368770.0
2046.0,1116809600.0,1283143000.0,1115488300.0,885950460.0,576416600.0,796286460.0,784554100.0,619286000.0,1044695940.0,877396900.0,1132880800.0,854973100.0,390475940.0
2047.0,1094700200.0,1236433200.0,1084673000.0,851767040.0,551040300.0,818568060.0,758183300.0,575241600.0,1016376700.0,832694100.0,1083068300.0,832208200.0,356446720.0
2048.0,1066568800.0,1207861600.0,1050263360.0,822706940.0,527101630.0,757521000.0,723066560.0,535043900.0,1048775300.0,784539700.0,1051681500.0,795217150.0,342482370.0
2049.0,1033763600.0,1177341600.0,1045756500.0,788453300.0,508614940.0,718156860.0,694245500.0,546253100.0,979721500.0,734076860.0,1018846400.0,751604700.0,312674370.0
2050.0,1010350700.0,1140620400.0,1005506370.0,764728200.0,497170980.0,685574600.0,712104200.0,476588930.0,957426240.0,707196700.0,987931600.0,740256400.0,277298500.0
2051.0,980572160.0,1119321200.0,965858750.0,737057340.0,484626270.0,654752450.0,657608800.0,443689180.0,922168200.0,688020800.0,952145500.0,708250600.0,245734800.0
2052.0,958280800.0,1161231100.0,937099970.0,720354000.0,443285020.0,628344260.0,648907260.0,402859840.0,941818430.0,641288600.0,921308350.0,700408960.0,229937390.0
2053.0,910006100.0,1100614500.0,905663500.0,684106200.0,411008030.0,589355970.0,617169800.0,367148960.0,888772740.0,627770560.0,890431800.0,672169340.0,223645040.0
2054.0,892218900.0,1068892740.0,880624400.0,665431000.0,390425730.0,551819140.0,590030460.0,341349700.0,858119800.0,587702000.0,857899900.0,657545800.0,210550990.0
2055.0,863644000.0,1044218800.0,857773760.0,633856400.0,369043650.0,532178600.0,552405600.0,311385760.0,830789100.0,571784900.0,904785860.0,765027900.0,188599000.0
2056.0,839425150.0,1020704600.0,835763400.0,607061760.0,353628060.0,488834980.0,536552160.0,287919300.0,813604100.0,538127740.0,849888300.0,656737540.0,181162030.0
2057.0,793567740.0,968316500.0,928642050.0,580423550.0,343492220.0,461605020.0,512160030.0,253429980.0,836715140.0,495471260.0,819810800.0,621339300.0,186927940.0
