time,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33716530000.0,33674854000.0,33705380000.0,33699156000.0,33701892000.0
2022.0,33702935000.0,33625627000.0,33812640000.0,33696030000.0,33701452000.0
2023.0,33675192000.0,33564756000.0,33689682000.0,33680617000.0,33787460000.0
2024.0,33668110000.0,33481357000.0,33669564000.0,33672698000.0,33745780000.0
2025.0,33663324000.0,33412342000.0,33665710000.0,33643854000.0,33697264000.0
2026.0,33642680000.0,33289628000.0,33640978000.0,33646381000.0,33676194000.0
2027.0,33611450000.0,33155971000.0,33658096000.0,33612048000.0,33642346000.0
2028.0,33582166000.0,33014288000.0,33593256000.0,33621900000.0,33625145000.0
2029.0,33561637000.0,32802703000.0,33548340000.0,33566149000.0,33607934000.0
2030.0,33566196000.0,32608130000.0,33512681000.0,33558768000.0,33576546000.0
2031.0,33530070000.0,32353012000.0,33485398000.0,33521540000.0,33575832000.0
2032.0,33510095000.0,32069240000.0,33421822000.0,33546418000.0,33576643000.0
2033.0,33495882000.0,31821607000.0,33459294000.0,33520069000.0,33570712000.0
2034.0,33451590000.0,31409584000.0,33363950000.0,33478408000.0,33525697000.0
2035.0,33419825000.0,31044400000.0,33307085000.0,33379190000.0,33513361000.0
2036.0,33407050000.0,30716580000.0,33265283000.0,33324126000.0,33579410000.0
2037.0,33382232000.0,30255122000.0,33210014000.0,33260126000.0,33504504000.0
2038.0,33350791000.0,29861510000.0,33108190000.0,33158566000.0,33482705000.0
2039.0,33302434000.0,29387725000.0,33021161000.0,33083134000.0,33447330000.0
2040.0,33273082000.0,28949162000.0,32938856000.0,33017973000.0,33426156000.0
2041.0,33178016000.0,28539697000.0,32855462000.0,32916160000.0,33397205000.0
2042.0,33127965000.0,28116052000.0,32797270000.0,32872397000.0,33377382000.0
2043.0,33057423000.0,27719231000.0,32712325000.0,32807210000.0,33349851000.0
2044.0,33018829000.0,27283890000.0,32588685000.0,32721110000.0,33328087000.0
2045.0,32958160000.0,26807886000.0,32444260000.0,32588747000.0,33249053000.0
2046.0,32875702000.0,26337070000.0,32356743000.0,32521036000.0,33205797000.0
2047.0,32745695000.0,25811190000.0,32165206000.0,32426450000.0,33159480000.0
2048.0,32657471000.0,25360876000.0,32044102000.0,32218919000.0,33102033000.0
2049.0,32571652000.0,24893140000.0,31800308000.0,32022852000.0,33037365000.0
2050.0,32489187000.0,24347886000.0,31625134000.0,31928613000.0,33000456000.0
2051.0,32395557000.0,23747910000.0,31470496000.0,31849056000.0,32976945000.0
2052.0,32323172000.0,23171551000.0,31275037000.0,31724941000.0,32839315000.0
2053.0,32212847000.0,22469208000.0,31002081000.0,31642749000.0,32741884000.0
2054.0,32027986000.0,21683175000.0,30820450000.0,31452210000.0,32652648000.0
2055.0,31865290000.0,20950039000.0,30594712000.0,31273420000.0,32596929000.0
2056.0,31783810000.0,20038416000.0,30298585000.0,30968254000.0,32552354000.0
