time,MRI-ESM2-0,CANESM5,CESM2-WACCM,ACCESS-CM2,ACCESS-ESM1-5,IPSL-CM6A-LR
2000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0
2001.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0
2002.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0
2003.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0
2004.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0
2005.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0
2006.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0
2007.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0
2008.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0
2009.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0
2010.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0
2011.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0
2012.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0
2013.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0
2014.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0
2015.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0
2016.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0
2017.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0
2018.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0
2019.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0
2020.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0
2021.0,2759029000000.0,2751214600000.0,2748735300000.0,2760711600000.0,2745751300000.0,2753780000000.0
2022.0,2750127800000.0,2721353600000.0,2732146300000.0,2754413600000.0,2741129700000.0,2753038400000.0
2023.0,2719897400000.0,2684926800000.0,2711055000000.0,2732533000000.0,2709758400000.0,2757338300000.0
2024.0,2697441600000.0,2651941500000.0,2691273900000.0,2709734800000.0,2696085000000.0,2740153700000.0
2025.0,2682815000000.0,2616022000000.0,2671608300000.0,2701435900000.0,2675476500000.0,2723671700000.0
2026.0,2661538000000.0,2570202400000.0,2642882300000.0,2717572100000.0,2652173500000.0,2697111300000.0
2027.0,2627383000000.0,2569541800000.0,2628552000000.0,2704708200000.0,2633307500000.0,2678604000000.0
2028.0,2599542300000.0,2533985400000.0,2605616200000.0,2704855000000.0,2603134700000.0,2662821000000.0
2029.0,2581942800000.0,2500114300000.0,2598155300000.0,2683140600000.0,2582462000000.0,2635757500000.0
2030.0,2568559500000.0,2458318300000.0,2564516500000.0,2664706600000.0,2572601500000.0,2621516800000.0
2031.0,2545271000000.0,2413904800000.0,2553968300000.0,2650354000000.0,2557713000000.0,2607687400000.0
2032.0,2530354100000.0,2381324000000.0,2535077000000.0,2632648000000.0,2534254000000.0,2587163600000.0
