time,MPI-ESM-LR,NORESM1-M,GFDL-CM3,CANESM2,CNRM-CM5,IPSL-CM5A-LR,CESM1-CAM5,CSIRO-MK3-6-0,CCSM4,GISS-E2-R,GFDL-ESM2G
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0
2021.0,33699990000.0,33709100000.0,33679542000.0,33675645000.0,33702822000.0,33684128000.0,33684520000.0,33686080000.0,33695932000.0,33700454000.0,33688943000.0
2022.0,33692269000.0,33685922000.0,33669771000.0,33664586000.0,33684433000.0,33674084000.0,33667578000.0,33675729000.0,33686557000.0,33699040000.0,33676947000.0
2023.0,33677908000.0,33662792000.0,33642764000.0,33637400000.0,33659890000.0,33680474000.0,33640333000.0,33665663000.0,33742942000.0,33688054000.0,33672110000.0
2024.0,33688019000.0,33667762000.0,33606146000.0,33613142000.0,33653486000.0,33665260000.0,33612288000.0,33651722000.0,33748992000.0,33677726000.0,33663652000.0
2025.0,33655050000.0,33650192000.0,33577703000.0,33591780000.0,33641466000.0,33628574000.0,33598181000.0,33639602000.0,33730664000.0,33674684000.0,33659312000.0
2026.0,33640077000.0,33632910000.0,33540696000.0,33572923000.0,33619670000.0,33605112000.0,33568844000.0,33623419000.0,33725330000.0,33661123000.0,33642527000.0
2027.0,33640309000.0,33618196000.0,33477634000.0,33557092000.0,33605302000.0,33600776000.0,33522813000.0,33603277000.0,33740052000.0,33641853000.0,33610880000.0
2028.0,33613822000.0,33599236000.0,33391241000.0,33530538000.0,33579555000.0,33536104000.0,33476980000.0,33581246000.0,33689958000.0,33646287000.0,33617891000.0
2029.0,33595955000.0,33578957000.0,33329975000.0,33484770000.0,33537042000.0,33489310000.0,33440109000.0,33577155000.0,33702902000.0,33629684000.0,33601480000.0
2030.0,33564266000.0,33525144000.0,33275638000.0,33451130000.0,33518110000.0,33437213000.0,33380645000.0,33539803000.0,33676696000.0,33618809000.0,33561057000.0
2031.0,33550119000.0,33499587000.0,33186548000.0,33399273000.0,33495214000.0,33379412000.0,33285003000.0,33520220000.0,33657795000.0,33585742000.0,33534114000.0
2032.0,33531378000.0,33483284000.0,33117303000.0,33364930000.0,33464949000.0,33333561000.0,33226617000.0,33506023000.0,33650262000.0,33568600000.0,33520634000.0
2033.0,33493873000.0,33442984000.0,33074133000.0,33328407000.0,33419956000.0,33310575000.0,33179302000.0,33468666000.0,33636614000.0,33552765000.0,33485636000.0
2034.0,33455845000.0,33405975000.0,33027870000.0,33239468000.0,33389980000.0,33208697000.0,33051957000.0,33437458000.0,33627388000.0,33544202000.0,33481656000.0
2035.0,33411152000.0,33378533000.0,32972190000.0,33199583000.0,33346824000.0,33134380000.0,32997030000.0,33415856000.0,33619710000.0,33517310000.0,33495564000.0
2036.0,33381032000.0,33357940000.0,32877775000.0,33160077000.0,33317784000.0,33051785000.0,32910727000.0,33386858000.0,33587876000.0,33505104000.0,33438280000.0
2037.0,33339763000.0,33306665000.0,32812915000.0,33118327000.0,33288280000.0,32972046000.0,32832786000.0,33345827000.0,33568670000.0,33471461000.0,33422664000.0
2038.0,33257693000.0,33238870000.0,32735183000.0,33048353000.0,33190291000.0,32796275000.0,32673575000.0,33303433000.0,33514136000.0,33457721000.0,33396960000.0
2039.0,33213129000.0,33171046000.0,32685134000.0,32971510000.0,33149153000.0,32673602000.0,32535239000.0,33234788000.0,33435992000.0,33429332000.0,33377670000.0
2040.0,33178010000.0,33094468000.0,32625959000.0,32923677000.0,33045130000.0,32560194000.0,32399892000.0,33182980000.0,33412890000.0,33411450000.0,33305176000.0
2041.0,33130334000.0,33035045000.0,32510765000.0,32805558000.0,32967537000.0,32427766000.0,32242831000.0,33120707000.0,33361748000.0,33384942000.0,33281718000.0
2042.0,33041009000.0,32943675000.0,32395928000.0,32710255000.0,32847139000.0,32269103000.0,32116617000.0,33060592000.0,33333170000.0,33354250000.0,33244324000.0
2043.0,32989860000.0,32833247000.0,32283791000.0,32654506000.0,32712276000.0,32033390000.0,31953676000.0,32985143000.0,33282638000.0,33322414000.0,33188458000.0
2044.0,32864797000.0,32759808000.0,32214438000.0,32526020000.0,32581665000.0,31878460000.0,31669279000.0,32910369000.0,33173213000.0,33301092000.0,33129972000.0
2045.0,32800102000.0,32698698000.0,32057549000.0,32451002000.0,32439880000.0,31625861000.0,31414495000.0,32849123000.0,33106606000.0,33256294000.0,33082806000.0
2046.0,32734140000.0,32617318000.0,31901448000.0,32284869000.0,32329564000.0,31404775000.0,31276540000.0,32738961000.0,33055939000.0,33242305000.0,33048050000.0
2047.0,32680712000.0,32532828000.0,31826336000.0,32158755000.0,32191767000.0,31152534000.0,31054680000.0,32696179000.0,32981730000.0,33173207000.0,33012484000.0
2048.0,32620325000.0,32403186000.0,31733086000.0,32027173000.0,32049998000.0,30931331000.0,30772802000.0,32622553000.0,32914215000.0,33145481000.0,32953182000.0
2049.0,32531546000.0,32280928000.0,31630608000.0,31868338000.0,31830893000.0,30728184000.0,30548060000.0,32562792000.0,32858808000.0,33102651000.0,32843799000.0
2050.0,32478820000.0,32175600000.0,31531307000.0,31730067000.0,31629324000.0,30471193000.0,30318676000.0,32516104000.0,32798100000.0,33049129000.0,32790477000.0
2051.0,32400552000.0,32039475000.0,31444978000.0,31652354000.0,31485120000.0,30190195000.0,30037875000.0,32448379000.0,32699316000.0,33030267000.0,32735076000.0
2052.0,32286440000.0,31923094000.0,31346143000.0,31497153000.0,31258350000.0,29932306000.0,29645238000.0,32351551000.0,32615055000.0,32989792000.0,32677534000.0
2053.0,32205236000.0,31785785000.0,31275852000.0,31372001000.0,31016815000.0,29647514000.0,29386303000.0,32221993000.0,32527070000.0,32949215000.0,32617020000.0
2054.0,32073180000.0,31671767000.0,31107666000.0,31210332000.0,30747880000.0,29466880000.0,29171345000.0,32128840000.0,32475150000.0,32900872000.0,32553855000.0
2055.0,31991530000.0,31500610000.0,30960314000.0,31096656000.0,30435300000.0,29081030000.0,28888437000.0,32063703000.0,32414425000.0,32869760000.0,32460622000.0
2056.0,31918942000.0,31384850000.0,30815210000.0,30891870000.0,30183547000.0,28713904000.0,28560237000.0,31961872000.0,32348795000.0,32837515000.0,32413008000.0
2057.0,31843166000.0,31226794000.0,30560178000.0,30744738000.0,29928024000.0,28293876000.0,28264952000.0,31855180000.0,32273514000.0,32757475000.0,32377956000.0
2058.0,31690360000.0,31102925000.0,30359660000.0,30548945000.0,29652191000.0,27822223000.0,27983346000.0,31772518000.0,32095578000.0,32760633000.0,32277733000.0
2059.0,31574860000.0,30983143000.0,30213540000.0,30392748000.0,29368790000.0,27341339000.0,27666352000.0,31679717000.0,31995935000.0,32662618000.0,32240978000.0
2060.0,31409880000.0,30799098000.0,30031251000.0,30231640000.0,29105840000.0,26817374000.0,27331678000.0,31594090000.0,31907023000.0,32627112000.0,32145863000.0
2061.0,31309246000.0,30691987000.0,29825784000.0,30088987000.0,28920087000.0,26359888000.0,26923807000.0,31467210000.0,31817069000.0,32593730000.0,32077064000.0
2062.0,31222237000.0,30574449000.0,29565661000.0,29887965000.0,28633119000.0,25976543000.0,26533691000.0,31362845000.0,31755745000.0,32556003000.0,32021377000.0
2063.0,31091388000.0,30421475000.0,29373750000.0,29761905000.0,28261341000.0,25617607000.0,26188190000.0,31272370000.0,31624330000.0,32498080000.0,31998308000.0
2064.0,30964013000.0,30269657000.0,29193857000.0,29525641000.0,27881452000.0,25337582000.0,25905523000.0,31164234000.0,31480060000.0,32455980000.0,31940307000.0
2065.0,30795622000.0,30123588000.0,29017756000.0,29313696000.0,27667140000.0,24951624000.0,25618584000.0,31055580000.0,31367612000.0,32418621000.0,31866962000.0
2066.0,30716870000.0,29986042000.0,28868307000.0,29160250000.0,27385604000.0,24472613000.0,25327610000.0,30941810000.0,31233677000.0,32365700000.0,31804027000.0
2067.0,30545656000.0,29868005000.0,28683833000.0,28963086000.0,27137350000.0,24098533000.0,24901050000.0,30797580000.0,31130060000.0,32290806000.0,31722707000.0
2068.0,30431762000.0,29666724000.0,28494970000.0,28817785000.0,26945098000.0,23762790000.0,24367300000.0,30604192000.0,30932820000.0,32241986000.0,31671257000.0
2069.0,30344942000.0,29450736000.0,28309203000.0,28641657000.0,26726986000.0,23226415000.0,24025823000.0,30512610000.0,30836650000.0,32176775000.0,31585070000.0
2070.0,30172662000.0,29329558000.0,28049770000.0,28451883000.0,26459781000.0,22740150000.0,23607341000.0,30397657000.0,30741363000.0,32086084000.0,31493978000.0
2071.0,30087934000.0,29224706000.0,27763542000.0,28303077000.0,26100658000.0,22326374000.0,23152290000.0,30278423000.0,30580863000.0,32068740000.0,31434013000.0
2072.0,29915826000.0,29031145000.0,27477630000.0,28089958000.0,25800645000.0,21887630000.0,22657612000.0,30150978000.0,30485873000.0,32001575000.0,31359195000.0
2073.0,29876040000.0,28781124000.0,27231846000.0,27905421000.0,25413417000.0,21479051000.0,22299136000.0,30055740000.0,30373988000.0,31939584000.0,31280165000.0
2074.0,29778143000.0,28620585000.0,26989437000.0,27695163000.0,24967707000.0,21014106000.0,21781823000.0,29919779000.0,30190342000.0,31851198000.0,31146789000.0
2075.0,29680960000.0,28445237000.0,26733298000.0,27447288000.0,24502374000.0,20708487000.0,21293294000.0,29815226000.0,30097463000.0,31725396000.0,31078478000.0
2076.0,29562544000.0,28166066000.0,26507913000.0,27213820000.0,24054770000.0,20364577000.0,20782815000.0,29668150000.0,29951699000.0,31643214000.0,30970743000.0
2077.0,29445536000.0,27942023000.0,26242610000.0,26963272000.0,23720507000.0,19961629000.0,20343218000.0,29475576000.0,29815233000.0,31584537000.0,30889273000.0
2078.0,29251375000.0,27690965000.0,26044950000.0,26725933000.0,23339047000.0,19524917000.0,19846715000.0,29369600000.0,29704468000.0,31536622000.0,30799753000.0
2079.0,29155224000.0,27419384000.0,25766700000.0,26491759000.0,23031056000.0,18928613000.0,19322126000.0,29285140000.0,29497848000.0,31472382000.0,30721585000.0
2080.0,29041180000.0,27161336000.0,25609933000.0,26281560000.0,22693132000.0,18545740000.0,18936254000.0,29205686000.0,29273903000.0,31403364000.0,30552977000.0
2081.0,28852621000.0,26961120000.0,25403027000.0,26044817000.0,22310443000.0,18214922000.0,18540530000.0,29104360000.0,29009883000.0,31339756000.0,30435293000.0
2082.0,28697567000.0,26756702000.0,25222238000.0,25812005000.0,21881647000.0,17835231000.0,18125935000.0,28943460000.0,28789311000.0,31246709000.0,30298153000.0
2083.0,28551227000.0,26535600000.0,25025147000.0,25640894000.0,21544905000.0,17397530000.0,17524679000.0,28913211000.0,28587660000.0,31182037000.0,30228180000.0
2084.0,28322093000.0,26314193000.0,24807295000.0,25374163000.0,21155994000.0,17151159000.0,16945528000.0,28840288000.0,28463796000.0,31110060000.0,30121860000.0
2085.0,28214390000.0,26093912000.0,24482441000.0,25079265000.0,20853850000.0,16900636000.0,16425113000.0,28718960000.0,28220443000.0,31064189000.0,29985810000.0
2086.0,28023323000.0,25845380000.0,24208300000.0,24900580000.0,20525158000.0,16623244000.0,15858102000.0,28578010000.0,28086876000.0,31013150000.0,29886444000.0
2087.0,27869043000.0,25622997000.0,23904647000.0,24702302000.0,20018452000.0,16359467000.0,15337370000.0,28492055000.0,27921816000.0,30947205000.0,29757864000.0
2088.0,27680012000.0,25471894000.0,23563080000.0,24455719000.0,19516447000.0,16155353000.0,14944013000.0,28406108000.0,27754502000.0,30849830000.0,29583135000.0
2089.0,27506364000.0,25172340000.0,23295064000.0,24206213000.0,19178174000.0,15878689000.0,14522238000.0,28272410000.0,27601426000.0,30788354000.0,29477319000.0
2090.0,27373775000.0,24888656000.0,23110361000.0,23907940000.0,18683410000.0,15721841000.0,13906487000.0,28076580000.0,27426394000.0,30703186000.0,29346357000.0
2091.0,27227943000.0,24601268000.0,22894012000.0,23669119000.0,18373420000.0,15560728000.0,13457270000.0,27963585000.0,27241732000.0,30632325000.0,29237694000.0
2092.0,27054803000.0,24356758000.0,22631522000.0,23478307000.0,18071077000.0,15310302000.0,12954522000.0,27833514000.0,27068540000.0,30523232000.0,29100080000.0
2093.0,26858723000.0,24044138000.0,22445420000.0,23308500000.0,17745710000.0,15021890000.0,12497230000.0,27650157000.0,26898057000.0,30466740000.0,28994642000.0
2094.0,26667454000.0,23785316000.0,22182531000.0,23180968000.0,17444213000.0,14813788000.0,11928068000.0,27523906000.0,26728772000.0,30384270000.0,28845960000.0
2095.0,26511643000.0,23526476000.0,21857940000.0,22962733000.0,17228313000.0,14574304000.0,11483978000.0,27366742000.0,26536264000.0,30312751000.0,28757547000.0
2096.0,26396457000.0,23350491000.0,21600143000.0,22717643000.0,16925530000.0,14307860000.0,11078137000.0,27232096000.0,26349179000.0,30196836000.0,28664490000.0
2097.0,26207885000.0,23067599000.0,21350220000.0,22461284000.0,16582955000.0,14065675000.0,10599795000.0,27082672000.0,26182572000.0,30157441000.0,28584620000.0
2098.0,26048813000.0,22704372000.0,21079288000.0,22193877000.0,16205776000.0,13767933000.0,10284529000.0,26883025000.0,26034799000.0,30047656000.0,28461492000.0
2099.0,25869912000.0,22405940000.0,20819710000.0,21989040000.0,15837959000.0,13454013000.0,10012243000.0,26834980000.0,25841117000.0,29986107000.0,28392480000.0
2100.0,25703913000.0,22119975000.0,20517505000.0,21779060000.0,15520825000.0,13101405000.0,9730732000.0,26676244000.0,25646050000.0,29881973000.0,28262871000.0
