time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0,2403199700.0
2001.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0,2377094100.0
2002.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0,2357944000.0
2003.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0,2329112300.0
2004.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0,2306863900.0
2005.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0,2283690800.0
2006.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0,2269068500.0
2007.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0,2247905000.0
2008.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0,2246148600.0
2009.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0,2249374200.0
2010.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0,2224768000.0
2011.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0,2207457800.0
2012.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0,2212315400.0
2013.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0,2197355000.0
2014.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0,2193515000.0
2015.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0,2181454800.0
2016.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0,2156659500.0
2017.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0,2131148500.0
2018.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0,2112500100.0
2019.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0,2104002000.0
2020.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0,2075526900.0
2021.0,2024999600.0,2044724100.0,2037885400.0,2039763500.0,2020833500.0
2022.0,1973669600.0,1999807700.0,1995252100.0,1980541200.0,1966220900.0
2023.0,1911047200.0,1964586400.0,1943328100.0,1935666800.0,1884424600.0
2024.0,1809566800.0,1931016700.0,1912979100.0,1886480500.0,1810613900.0
2025.0,1718950500.0,1884159100.0,1868601700.0,1839896300.0,1722765800.0
2026.0,1623673200.0,1831837300.0,1812293600.0,1766305200.0,1628959500.0
2027.0,1496460500.0,1783784600.0,1753420900.0,1703049000.0,1517298700.0
2028.0,1401544400.0,1722429800.0,1684811600.0,1639657500.0,1373331300.0
2029.0,1315341200.0,1647991800.0,1627426800.0,1549365900.0,1274041500.0
2030.0,1241933600.0,1583061600.0,1576770600.0,1460286800.0,1210101600.0
2031.0,1179086000.0,1508486500.0,1487934700.0,1367256800.0,1136184600.0
2032.0,1105607800.0,1434442600.0,1395993200.0,1303648000.0,1055957300.0
2033.0,1039808600.0,1340632000.0,1336208900.0,1246314900.0,1006865600.0
2034.0,963676900.0,1277116800.0,1266672800.0,1197453300.0,929845800.0
2035.0,907902660.0,1235290100.0,1252437500.0,1136141000.0,856597300.0
2036.0,869826800.0,1170228200.0,1184839600.0,1095017900.0,802168100.0
2037.0,806986500.0,1102903200.0,1111185700.0,1039256450.0,760295100.0
2038.0,753402050.0,1040974700.0,1076688400.0,1000077100.0,718263550.0
2039.0,727309100.0,987968450.0,1016143900.0,950803260.0,658627000.0
2040.0,674514600.0,936116860.0,942375900.0,915231100.0,617698100.0
2041.0,627422800.0,878626800.0,886574400.0,888181700.0,567833340.0
2042.0,582813700.0,827035300.0,825421950.0,841831040.0,519639400.0
2043.0,550301600.0,791451650.0,824074600.0,789342400.0,478016500.0
2044.0,528445950.0,763681100.0,777679600.0,754884500.0,421510560.0
2045.0,493440580.0,726122200.0,715394400.0,705495550.0,392240740.0
2046.0,451343940.0,690349300.0,661986050.0,650675200.0,374802080.0
2047.0,438413200.0,661113900.0,648888260.0,601860030.0,362937280.0
2048.0,404791940.0,624770240.0,614567040.0,558979800.0,339310820.0
