time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR
2043.0,11123705000.0,10574348000.0,10034190000.0,8289937000.0,9811124000.0
2044.0,10985094000.0,10369795000.0,9810427000.0,8041043500.0,9795901000.0
2045.0,10782495000.0,10143913000.0,9626794000.0,7741645000.0,9390057000.0
2046.0,10637440000.0,9977210000.0,9388092000.0,7503344600.0,9212692000.0
2047.0,10472356000.0,9790623000.0,9409075000.0,7311942000.0,8935723000.0
2048.0,10323574000.0,9788182000.0,9063545000.0,7055305700.0,8673804000.0
2049.0,10174433000.0,9543522000.0,8878263000.0,6853924000.0,8449067500.0
2050.0,10037531000.0,9330035000.0,8653921000.0,6637912600.0,8223430700.0
2051.0,9888636000.0,9199536000.0,8533285400.0,6514458600.0,7848969000.0
2052.0,9752196000.0,9062228000.0,8330560500.0,6203919000.0,7863281700.0
2053.0,9570994000.0,8864421000.0,8083422700.0,6047118300.0,7489931000.0
2054.0,9421821000.0,8702639000.0,7910921000.0,5854357500.0,7090423000.0
2055.0,9221836000.0,8560732000.0,7724784000.0,5731751400.0,6863706600.0
2056.0,9053259000.0,8367451000.0,7603849700.0,5700076000.0,6642046000.0
2057.0,8827543000.0,8202773500.0,7472257000.0,5414325000.0,6415009300.0
2058.0,8601843000.0,8444749300.0,7311776300.0,5257555000.0,6135777300.0
2059.0,8428334000.0,7899895300.0,7162197500.0,5137254400.0,5929596400.0
2060.0,8183646000.0,7872592000.0,6976921000.0,4965974000.0,5733199000.0
2061.0,7925658000.0,7460090000.0,6808628000.0,4802880500.0,5560691700.0
2062.0,7810362000.0,7265471000.0,6844562000.0,4666519000.0,5440225300.0
2063.0,7586694000.0,7072728600.0,6548462000.0,4544909300.0,5399560000.0
2064.0,7388564500.0,6850478000.0,6375266300.0,4428743700.0,5160356400.0
2065.0,7173284400.0,6735642600.0,6227173400.0,4301134300.0,4959275500.0
2066.0,7093644000.0,6495668000.0,6042130000.0,4157887000.0,4761484300.0
2067.0,6887004000.0,6351688000.0,5845977600.0,3998963500.0,4599447600.0
2068.0,6794442000.0,6189118500.0,5710417400.0,3858816800.0,4442674700.0
2069.0,6592099300.0,6062737400.0,5579553300.0,3723535600.0,4410821000.0
2070.0,6380809700.0,5927024000.0,5484916700.0,3584060000.0,4239236600.0
2071.0,6207236000.0,5734223400.0,5278043000.0,3487842300.0,4115374000.0
2072.0,6067474400.0,5576930300.0,5159813000.0,3370745600.0,3991356200.0
2073.0,5923163600.0,5417915000.0,5017356000.0,3304643800.0,3853912000.0
2074.0,5778572000.0,5268785000.0,4844617000.0,3221355800.0,3732508700.0
2075.0,5610858000.0,5148337000.0,4723584000.0,3128596000.0,3598202600.0
2076.0,5517972500.0,4979900400.0,4624538600.0,3033939500.0,3494386200.0
2077.0,5363670500.0,4896921600.0,4501239300.0,2949611000.0,3406548700.0
2078.0,5296596000.0,4664779300.0,4399766500.0,2851817200.0,3281905200.0
2079.0,5131817000.0,4511357400.0,4322553000.0,2771572200.0,3121763600.0
2080.0,5021051400.0,4373722000.0,4191044000.0,2679627000.0,2978751000.0
2081.0,4923257300.0,4253587000.0,4069408500.0,2596786200.0,2890586000.0
2082.0,4793343500.0,4115062800.0,3995735300.0,2504107000.0,2772606500.0
2083.0,4809865000.0,3988557000.0,3876719400.0,2400360000.0,2645027600.0
2084.0,4664619500.0,3872954600.0,3765191200.0,2310088200.0,2542989800.0
2085.0,4579660300.0,3742439000.0,3691288800.0,2223823400.0,2421591800.0
2086.0,4469341000.0,3712673800.0,3600090400.0,2129357700.0,2321885200.0
2087.0,4320225300.0,3554607900.0,3507355400.0,2036503900.0,2208693000.0
2088.0,4224100400.0,3438684700.0,3394641700.0,1965708700.0,2118620700.0
2089.0,4185142000.0,3342089200.0,3309357300.0,1873084800.0,1999336100.0
2090.0,4236731400.0,3249156900.0,3238111500.0,1796704300.0,1928453600.0
2091.0,4066030600.0,3272705000.0,3213890000.0,1733146200.0,1773752200.0
2092.0,3982838300.0,3113288000.0,3128319500.0,1664939400.0,1653046900.0
2093.0,3919405600.0,3024267800.0,3068831200.0,1590632000.0,1566079100.0
2094.0,3832250400.0,3012860200.0,2971250200.0,1542047000.0,1492085000.0
2095.0,3775975200.0,2907523800.0,3018097000.0,1525268100.0,1460405200.0
2096.0,3696968400.0,2850666500.0,2923884300.0,1450228500.0,1394825200.0
2097.0,3837819600.0,2784307000.0,2860627700.0,1412386000.0,1395171500.0
2098.0,3596147700.0,2707073000.0,2789752300.0,1378747800.0,1333645700.0
2099.0,3508476000.0,2662985700.0,2708749800.0,1365033300.0,1290409600.0
2100.0,3529361200.0,2599449600.0,2744004600.0,1305789200.0,1229336300.0
