time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33697650000.0,33699443000.0,33689680000.0,33695556000.0,33764481000.0,33705210000.0,33698984000.0,33691306000.0,33712525000.0,33688090000.0,33697964000.0,33797591000.0,33700750000.0,33688668000.0
2022.0,33671272000.0,33679176000.0,33668717000.0,33691177000.0,33724975000.0,33693590000.0,33688670000.0,33687920000.0,33699873000.0,33675147000.0,33680974000.0,33720599000.0,33688852000.0,33661862000.0
2023.0,33648749000.0,33672810000.0,33652767000.0,33685082000.0,33713392000.0,33667834000.0,33670679000.0,33659533000.0,33687517000.0,33659423000.0,33665546000.0,33698724000.0,33675606000.0,33643512000.0
2024.0,33614887000.0,33675813000.0,33635127000.0,33681986000.0,33698410000.0,33654634000.0,33669302000.0,33647608000.0,33673722000.0,33641898000.0,33650113000.0,33690704000.0,33678547000.0,33638533000.0
2025.0,33585310000.0,33672337000.0,33605437000.0,33673270000.0,33688502000.0,33629830000.0,33649777000.0,33618524000.0,33657164000.0,33617265000.0,33628258000.0,33682135000.0,33646000000.0,33613220000.0
2026.0,33574769000.0,33645541000.0,33580694000.0,33663603000.0,33666740000.0,33612370000.0,33628240000.0,33614460000.0,33628965000.0,33602347000.0,33608933000.0,33669063000.0,33629794000.0,33587306000.0
2027.0,33549860000.0,33631525000.0,33561205000.0,33657776000.0,33644444000.0,33592381000.0,33606494000.0,33603566000.0,33600030000.0,33588980000.0,33583735000.0,33649664000.0,33632600000.0,33552157000.0
2028.0,33532370000.0,33624460000.0,33537110000.0,33652412000.0,33625338000.0,33552929000.0,33602028000.0,33583800000.0,33584812000.0,33573163000.0,33561997000.0,33623579000.0,33602087000.0,33516362000.0
2029.0,33481216000.0,33604092000.0,33489190000.0,33640565000.0,33605073000.0,33517865000.0,33566548000.0,33548792000.0,33545705000.0,33538566000.0,33525236000.0,33612808000.0,33571342000.0,33487413000.0
2030.0,33458553000.0,33568244000.0,33474580000.0,33644319000.0,33588310000.0,33488015000.0,33546190000.0,33570210000.0,33519143000.0,33506292000.0,33510146000.0,33602600000.0,33542795000.0,33445188000.0
2031.0,33419825000.0,33560860000.0,33455321000.0,33625200000.0,33587227000.0,33465539000.0,33522549000.0,33515133000.0,33513492000.0,33495822000.0,33494972000.0,33585934000.0,33531600000.0,33405684000.0
2032.0,33369768000.0,33543346000.0,33429844000.0,33604160000.0,33589748000.0,33460480000.0,33484136000.0,33497137000.0,33485074000.0,33462727000.0,33455389000.0,33579958000.0,33509583000.0,33367063000.0
2033.0,33364863000.0,33514476000.0,33414312000.0,33591319000.0,33551374000.0,33424680000.0,33465766000.0,33501098000.0,33467376000.0,33435420000.0,33430153000.0,33552091000.0,33495437000.0,33330932000.0
2034.0,33324913000.0,33495454000.0,33384192000.0,33569915000.0,33521768000.0,33358248000.0,33444694000.0,33574375000.0,33443582000.0,33397207000.0,33411078000.0,33529272000.0,33472050000.0,33306382000.0
2035.0,33245477000.0,33463804000.0,33334725000.0,33550313000.0,33500893000.0,33286566000.0,33406319000.0,33456134000.0,33433897000.0,33377862000.0,33383264000.0,33511367000.0,33451866000.0,33217606000.0
2036.0,33208881000.0,33447879000.0,33287455000.0,33532754000.0,33492357000.0,33235294000.0,33398716000.0,33394153000.0,33403970000.0,33340047000.0,33313227000.0,33487247000.0,33428808000.0,33175138000.0
2037.0,33165703000.0,33412202000.0,33240750000.0,33518240000.0,33461664000.0,33201689000.0,33326873000.0,33386332000.0,33368058000.0,33316606000.0,33232472000.0,33506562000.0,33407607000.0,33118935000.0
2038.0,33134960000.0,33392517000.0,33181506000.0,33504152000.0,33406202000.0,33143319000.0,33238364000.0,33348743000.0,33341587000.0,33242616000.0,33213925000.0,33441788000.0,33379013000.0,33068046000.0
2039.0,33082229000.0,33386346000.0,33150048000.0,33482646000.0,33377870000.0,33120618000.0,33204610000.0,33283800000.0,33292868000.0,33176994000.0,33162195000.0,33419310000.0,33348934000.0,33022861000.0
2040.0,33015940000.0,33348678000.0,33099086000.0,33465117000.0,33356446000.0,33101009000.0,33154034000.0,33232886000.0,33243224000.0,33114022000.0,33121671000.0,33416557000.0,33335384000.0,32938887000.0
2041.0,32921336000.0,33313921000.0,33045856000.0,33453060000.0,33366565000.0,33054452000.0,33095678000.0,33205768000.0,33181870000.0,33067067000.0,33076974000.0,33368814000.0,33325030000.0,32829346000.0
2042.0,32870605000.0,33299204000.0,32933478000.0,33422914000.0,33301096000.0,33006787000.0,32996660000.0,33154064000.0,33084630000.0,33011368000.0,33029052000.0,33343658000.0,33317431000.0,32750017000.0
2043.0,32837740000.0,33273420000.0,32837566000.0,33377382000.0,33262606000.0,33019148000.0,32873824000.0,33121563000.0,33004218000.0,32920476000.0,32992410000.0,33385243000.0,33271448000.0,32645265000.0
2044.0,32777456000.0,33242462000.0,32757131000.0,33380755000.0,33209571000.0,32957268000.0,32758262000.0,33104728000.0,32939057000.0,32841222000.0,32970172000.0,33284880000.0,33191410000.0,32532644000.0
2045.0,32727048000.0,33185735000.0,32653101000.0,33356945000.0,33157362000.0,32916183000.0,32626287000.0,33018833000.0,32852840000.0,32791589000.0,32848757000.0,33221167000.0,33154038000.0,32385190000.0
2046.0,32653339000.0,33115159000.0,32498729000.0,33313590000.0,33108730000.0,32859447000.0,32575044000.0,32943688000.0,32735478000.0,32681670000.0,32791890000.0,33184805000.0,33127156000.0,32244791000.0
2047.0,32610620000.0,33085217000.0,32254030000.0,33254478000.0,33036110000.0,32810955000.0,32497242000.0,32882328000.0,32573766000.0,32623161000.0,32728734000.0,33117284000.0,33091623000.0,32103203000.0
2048.0,32575267000.0,33044077000.0,32094886000.0,33230030000.0,32973644000.0,32742201000.0,32317182000.0,32918563000.0,32457810000.0,32549941000.0,32650086000.0,33069814000.0,33046503000.0,31919050000.0
2049.0,32490370000.0,33006842000.0,31970560000.0,33240703000.0,32917928000.0,32695036000.0,32127482000.0,32823970000.0,32356317000.0,32482440000.0,32567908000.0,33003987000.0,33011487000.0,31773470000.0
2050.0,32434264000.0,32974963000.0,31775255000.0,33134400000.0,32830112000.0,32603080000.0,31981201000.0,32756152000.0,32225925000.0,32404828000.0,32501912000.0,32933691000.0,32997984000.0,31531952000.0
2051.0,32343490000.0,32938265000.0,31516084000.0,33086350000.0,32754946000.0,32491667000.0,31874623000.0,32678270000.0,32088578000.0,32328583000.0,32419099000.0,32871735000.0,32960231000.0,31335848000.0
2052.0,32306598000.0,32878653000.0,31235428000.0,33045012000.0,32645554000.0,32394033000.0,31718078000.0,32553816000.0,31943848000.0,32219079000.0,32363297000.0,32767930000.0,32908919000.0,31155622000.0
2053.0,32228088000.0,32825467000.0,30970937000.0,32981318000.0,32489038000.0,32314579000.0,31620827000.0,32473258000.0,31704375000.0,32071152000.0,32237496000.0,32690377000.0,32815055000.0,30911460000.0
2054.0,32186425000.0,32785093000.0,30699272000.0,32937996000.0,32401705000.0,32258148000.0,31525016000.0,32429600000.0,31481740000.0,31943514000.0,32153414000.0,32639050000.0,32782377000.0,30652627000.0
2055.0,32104083000.0,32703089000.0,30430327000.0,32876470000.0,32232956000.0,32126056000.0,31288492000.0,32350984000.0,31264979000.0,31791706000.0,32080940000.0,32595313000.0,32726080000.0,30359032000.0
2056.0,32053651000.0,32600470000.0,30103749000.0,32821800000.0,32128700000.0,32016190000.0,31143737000.0,32319527000.0,30993308000.0,31679370000.0,32016574000.0,32523570000.0,32660472000.0,30075144000.0
2057.0,31986645000.0,32503364000.0,29807251000.0,32703803000.0,31977386000.0,31897295000.0,31110087000.0,32230642000.0,30814030000.0,31521330000.0,31931798000.0,32394303000.0,32614234000.0,29715872000.0
2058.0,31945812000.0,32482408000.0,29470325000.0,32667896000.0,31756753000.0,31785490000.0,30937975000.0,32138810000.0,30561796000.0,31428307000.0,31884630000.0,32342735000.0,32519965000.0,29447516000.0
2059.0,31858825000.0,32410479000.0,29134430000.0,32594153000.0,31582032000.0,31690371000.0,30792851000.0,31959080000.0,30409980000.0,31260365000.0,31753347000.0,32237646000.0,32449390000.0,29092610000.0
2060.0,31803603000.0,32336950000.0,28859668000.0,32539140000.0,31414903000.0,31547318000.0,30633839000.0,31890127000.0,30176055000.0,31189190000.0,31667192000.0,32159556000.0,32413854000.0,28847237000.0
2061.0,31676154000.0,32290992000.0,28487834000.0,32479455000.0,31215810000.0,31407139000.0,30425467000.0,31802978000.0,29878411000.0,31023782000.0,31529642000.0,32084167000.0,32321987000.0,28604307000.0
2062.0,31588958000.0,32227635000.0,28183003000.0,32369953000.0,31031510000.0,31342643000.0,30261398000.0,31708500000.0,29611150000.0,30842368000.0,31466267000.0,32011635000.0,32270901000.0,28345057000.0
2063.0,31489458000.0,32080124000.0,27818758000.0,32309637000.0,30827868000.0,31228322000.0,30091706000.0,31626360000.0,29405161000.0,30727550000.0,31384130000.0,31924136000.0,32215548000.0,28040161000.0
2064.0,31376878000.0,31953881000.0,27548226000.0,32205510000.0,30613946000.0,31116083000.0,29911593000.0,31547154000.0,29118724000.0,30536753000.0,31313312000.0,31814193000.0,32092953000.0,27666598000.0
2065.0,31278088000.0,31878800000.0,27195744000.0,32147833000.0,30363025000.0,30963618000.0,29694423000.0,31461956000.0,28789710000.0,30338144000.0,31217711000.0,31728280000.0,32029348000.0,27251403000.0
2066.0,31105470000.0,31828312000.0,26889148000.0,32013883000.0,30132785000.0,30811353000.0,29471340000.0,31375400000.0,28545247000.0,30218074000.0,31134296000.0,31607738000.0,31960406000.0,26922689000.0
2067.0,30964417000.0,31766166000.0,26481520000.0,31943213000.0,29934160000.0,30709533000.0,29292902000.0,31171020000.0,28272282000.0,30038831000.0,31037580000.0,31487359000.0,31871932000.0,26628390000.0
2068.0,30880422000.0,31686767000.0,26120987000.0,31842260000.0,29691548000.0,30547085000.0,29116264000.0,31029875000.0,27962997000.0,29878645000.0,30916577000.0,31395109000.0,31764072000.0,26270953000.0
2069.0,30694627000.0,31591172000.0,25754208000.0,31764060000.0,29381898000.0,30416787000.0,28998334000.0,30922336000.0,27693290000.0,29702520000.0,30811052000.0,31302552000.0,31703566000.0,25847282000.0
2070.0,30533106000.0,31460635000.0,25434444000.0,31650781000.0,29151470000.0,30232230000.0,28782815000.0,30811445000.0,27255083000.0,29547538000.0,30784342000.0,31163073000.0,31653048000.0,25472547000.0
2071.0,30390714000.0,31398713000.0,25127725000.0,31573060000.0,28959986000.0,30017882000.0,28609065000.0,30633386000.0,26869463000.0,29387490000.0,30709938000.0,31053089000.0,31529986000.0,25140896000.0
2072.0,30186592000.0,31259056000.0,24723399000.0,31421518000.0,28582406000.0,29845310000.0,28492057000.0,30405624000.0,26590312000.0,29245060000.0,30590073000.0,30943433000.0,31431377000.0,24732131000.0
2073.0,30048481000.0,31048632000.0,24435530000.0,31307231000.0,28264480000.0,29654400000.0,28377723000.0,30251076000.0,26272610000.0,29090103000.0,30495705000.0,30745717000.0,31338230000.0,24315212000.0
2074.0,29864088000.0,30933445000.0,24144693000.0,31178795000.0,27909710000.0,29539811000.0,28215206000.0,30163917000.0,25938889000.0,28922337000.0,30341136000.0,30573650000.0,31277949000.0,23844310000.0
2075.0,29662747000.0,30838376000.0,23779846000.0,31058710000.0,27634532000.0,29381782000.0,28026352000.0,30023610000.0,25545202000.0,28730055000.0,30224232000.0,30463244000.0,31205659000.0,23451546000.0
2076.0,29501907000.0,30723074000.0,23412228000.0,30904977000.0,27282903000.0,29200850000.0,27911100000.0,29876118000.0,25103410000.0,28623704000.0,30099102000.0,30334126000.0,31026233000.0,23034930000.0
2077.0,29351932000.0,30647180000.0,23085502000.0,30823047000.0,26940180000.0,29053925000.0,27779166000.0,29757624000.0,24789250000.0,28466740000.0,30005289000.0,30227268000.0,30918642000.0,22667432000.0
