time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2000.0,33893410000.0,33893410000.0,33893410000.0,33893410000.0
2001.0,33927487000.0,33927487000.0,33927487000.0,33927487000.0
2002.0,33902645000.0,33902645000.0,33902645000.0,33902645000.0
2003.0,33882184000.0,33882184000.0,33882184000.0,33882184000.0
2004.0,33875892000.0,33875892000.0,33875892000.0,33875892000.0
2005.0,33864671000.0,33864671000.0,33864671000.0,33864671000.0
2006.0,33850233000.0,33850233000.0,33850233000.0,33850233000.0
2007.0,33844380000.0,33844380000.0,33844380000.0,33844380000.0
2008.0,33835747000.0,33835747000.0,33835747000.0,33835747000.0
2009.0,33826460000.0,33826460000.0,33826460000.0,33826460000.0
2010.0,33819498000.0,33819498000.0,33819498000.0,33819498000.0
2011.0,33791295000.0,33791295000.0,33791295000.0,33791295000.0
2012.0,33766679000.0,33766679000.0,33766679000.0,33766679000.0
2013.0,33791175000.0,33791175000.0,33791175000.0,33791175000.0
2014.0,33743743000.0,33743743000.0,33743743000.0,33743743000.0
2015.0,33746754000.0,33746754000.0,33746754000.0,33746754000.0
2016.0,33743130000.0,33743130000.0,33743130000.0,33743130000.0
2017.0,33737015000.0,33737015000.0,33737015000.0,33737015000.0
2018.0,33723025000.0,33723025000.0,33723025000.0,33723025000.0
2019.0,33755607000.0,33755607000.0,33755607000.0,33755607000.0
2020.0,33708114000.0,33708114000.0,33708114000.0,33708114000.0
2021.0,33709146000.0,33692254000.0,33719200000.0,33691159000.0
2022.0,33697327000.0,33674428000.0,33699410000.0,33695816000.0
2023.0,33677763000.0,33646744000.0,33683660000.0,33666583000.0
2024.0,33669972000.0,33634769000.0,33675604000.0,33665044000.0
2025.0,33671369000.0,33595095000.0,33663433000.0,33645083000.0
2026.0,33632119000.0,33564455000.0,33640980000.0,33630310000.0
2027.0,33609150000.0,33525586000.0,33624044000.0,33607295000.0
2028.0,33588154000.0,33472664000.0,33602826000.0,33591228000.0
2029.0,33544724000.0,33413913000.0,33562845000.0,33547295000.0
2030.0,33514676000.0,33379109000.0,33555239000.0,33542093000.0
2031.0,33484757000.0,33343517000.0,33521670000.0,33514355000.0
2032.0,33460558000.0,33311551000.0,33489480000.0,33499939000.0
2033.0,33436981000.0,33222890000.0,33463155000.0,33483410000.0
2034.0,33384178000.0,33185993000.0,33422273000.0,33462190000.0
2035.0,33355192000.0,33136335000.0,33368770000.0,33443633000.0
2036.0,33288133000.0,33100536000.0,33339316000.0,33408444000.0
2037.0,33269109000.0,33037302000.0,33283844000.0,33373958000.0
2038.0,33237058000.0,32931916000.0,33252815000.0,33346340000.0
2039.0,33139657000.0,32846158000.0,33222283000.0,33321769000.0
2040.0,33089327000.0,32782322000.0,33168226000.0,33252526000.0
2041.0,33040746000.0,32697820000.0,33120690000.0,33210305000.0
2042.0,32991058000.0,32634230000.0,33086583000.0,33167702000.0
2043.0,32919658000.0,32572844000.0,33045645000.0,33132732000.0
2044.0,32833726000.0,32444572000.0,33022419000.0,33101550000.0
2045.0,32769490000.0,32389323000.0,32974805000.0,33063748000.0
2046.0,32695489000.0,32263698000.0,32880017000.0,33020332000.0
2047.0,32607834000.0,32158579000.0,32829317000.0,32975266000.0
2048.0,32477022000.0,32078090000.0,32783745000.0,32938467000.0
2049.0,32417067000.0,31989625000.0,32716407000.0,32881607000.0
2050.0,32309187000.0,31800975000.0,32663312000.0,32814326000.0
2051.0,32191877000.0,31694975000.0,32631405000.0,32784232000.0
2052.0,32112988000.0,31480678000.0,32582800000.0,32726245000.0
2053.0,32047102000.0,31277634000.0,32471855000.0,32691323000.0
2054.0,31895750000.0,31052505000.0,32364750000.0,32624669000.0
2055.0,31769608000.0,30786832000.0,32307882000.0,32595775000.0
2056.0,31643292000.0,30566603000.0,32291617000.0,32542317000.0
2057.0,31565124000.0,30254858000.0,32207426000.0,32570497000.0
2058.0,31422347000.0,29971190000.0,32099850000.0,32497097000.0
2059.0,31321532000.0,29787270000.0,32011262000.0,32434205000.0
2060.0,31155194000.0,29563216000.0,31933256000.0,32455758000.0
2061.0,30967437000.0,29298745000.0,31843891000.0,32370678000.0
2062.0,30799802000.0,29008032000.0,31701020000.0,32306293000.0
2063.0,30640062000.0,28710627000.0,31624600000.0,32246990000.0
2064.0,30403432000.0,28469715000.0,31537398000.0,32182240000.0
2065.0,30186998000.0,28167170000.0,31451533000.0,32128248000.0
2066.0,29976113000.0,27893692000.0,31355693000.0,32068114000.0
2067.0,29916920000.0,27622054000.0,31270859000.0,32049470000.0
2068.0,29657686000.0,27350686000.0,31129123000.0,32005796000.0
2069.0,29518432000.0,27125017000.0,31069463000.0,31917496000.0
2070.0,29333420000.0,26850509000.0,30989703000.0,31940297000.0
2071.0,29078598000.0,26538488000.0,30900648000.0,31842970000.0
2072.0,28909945000.0,26230934000.0,30832914000.0,31779402000.0
2073.0,28736647000.0,25933930000.0,30777948000.0,31724335000.0
2074.0,28524464000.0,25698683000.0,30682497000.0,31675621000.0
2075.0,28342020000.0,25457687000.0,30548996000.0,31604963000.0
2076.0,28095556000.0,25182880000.0,30415274000.0,31598447000.0
