time,MIROC6,TAIESM1,KACE-1-0-G,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR,CANESM5,IITM-ESM,EC-EARTH3,CESM2-WACCM,CNRM-CM6-1,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0,127065145000.0
2001.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0,126542480000.0
2002.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0,125868830000.0
2003.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0,126748290000.0
2004.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0,121769820000.0
2005.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0,120217060000.0
2006.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0,117579430000.0
2007.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0,114318750000.0
2008.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0,113476395000.0
2009.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0,113544266000.0
2010.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0,110951514000.0
2011.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0,110260280000.0
2012.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0,107345535000.0
2013.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0,105678140000.0
2014.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0,104593650000.0
2015.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0,103956636000.0
2016.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0,100382550000.0
2017.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0,98459750000.0
2018.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0,95581360000.0
2019.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0,92084986000.0
2020.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0,89732640000.0
2021.0,89522586000.0,87426605000.0,84820220000.0,88306794000.0,88303610000.0,88128810000.0,87665350000.0,89340160000.0,88645690000.0,86153990000.0,86249010000.0,88693790000.0,85881180000.0,88854086000.0
2022.0,86916284000.0,85316260000.0,80250490000.0,85173720000.0,87495524000.0,85536510000.0,84744544000.0,85396250000.0,88770120000.0,82974530000.0,85304450000.0,87415270000.0,83179225000.0,86693540000.0
2023.0,84784865000.0,81746630000.0,82458080000.0,81386020000.0,85516220000.0,82639930000.0,80652850000.0,84572955000.0,89706730000.0,78808040000.0,82687830000.0,86200295000.0,80778480000.0,85030140000.0
2024.0,81491080000.0,79261430000.0,75839700000.0,76594086000.0,84054300000.0,76410750000.0,77532060000.0,79899140000.0,89142215000.0,74107580000.0,80404620000.0,85645860000.0,78002150000.0,81281590000.0
2025.0,78905230000.0,76192375000.0,70594710000.0,73033900000.0,80845290000.0,75083360000.0,75486830000.0,78230405000.0,89321190000.0,70039765000.0,79510990000.0,84041340000.0,76810715000.0,75896690000.0
2026.0,76441125000.0,72967880000.0,65826623000.0,70718990000.0,79190420000.0,70559800000.0,75670590000.0,74348950000.0,85311360000.0,68430717000.0,77346080000.0,81910970000.0,73096930000.0,73753700000.0
2027.0,72700620000.0,71393970000.0,62725550000.0,67298222000.0,77199260000.0,66013060000.0,73509224000.0,71738900000.0,85924940000.0,61826564000.0,75244724000.0,80321520000.0,70810290000.0,72237810000.0
2028.0,71852560000.0,71262660000.0,56523743000.0,65117270000.0,74878570000.0,64668897000.0,71725830000.0,68765120000.0,84795510000.0,60135240000.0,74340380000.0,76869030000.0,70258750000.0,69672165000.0
2029.0,67785576000.0,67776470000.0,54228582000.0,60795300000.0,68841520000.0,62866903000.0,67992556000.0,66640740000.0,83995886000.0,58503377000.0,72562380000.0,73216870000.0,70861850000.0,68025690000.0
2030.0,65973498000.0,64952110000.0,47123386000.0,57897636000.0,67475450000.0,59320324000.0,67608120000.0,64135184000.0,83512230000.0,58712433000.0,72260910000.0,71646680000.0,69439080000.0,65587732000.0
2031.0,60038795000.0,63740080000.0,43610010000.0,53313094000.0,66079310000.0,57129240000.0,65980800000.0,62015210000.0,81529184000.0,57377206000.0,67870503000.0,70994840000.0,70392150000.0,62567318000.0
2032.0,57426567000.0,61310270000.0,41033020000.0,50212390000.0,63451984000.0,54882652000.0,64798118000.0,62649692000.0,80081600000.0,54196613000.0,66954236000.0,71854520000.0,71018110000.0,60876624000.0
2033.0,56554220000.0,59362550000.0,37364790000.0,48305897000.0,62212407000.0,53395096000.0,63592894000.0,61608632000.0,80357700000.0,52040510000.0,64614306000.0,70043080000.0,71685030000.0,58945868000.0
2034.0,52538438000.0,56921240000.0,36553896000.0,46159843000.0,59651277000.0,49958625000.0,61251760000.0,58040330000.0,79405260000.0,49269916000.0,61720297000.0,69115020000.0,71731410000.0,57727582000.0
2035.0,51221840000.0,56430076000.0,34160394000.0,45243773000.0,57158740000.0,46097130000.0,56705655000.0,57481626000.0,78513120000.0,48069657000.0,58276860000.0,66791522000.0,70906350000.0,57085493000.0
2036.0,51180000000.0,54925550000.0,30362274000.0,42741290000.0,53547430000.0,42062790000.0,52548055000.0,56607130000.0,78274290000.0,45413100000.0,56021330000.0,64922542000.0,70204320000.0,52886010000.0
2037.0,48584786000.0,51854782000.0,26382166000.0,41184092000.0,51769690000.0,40023900000.0,51470488000.0,52430623000.0,79416295000.0,42905186000.0,55093723000.0,60292186000.0,68050182000.0,50626793000.0
2038.0,45759558000.0,50320347000.0,24308548000.0,39562027000.0,50297295000.0,36910744000.0,49739588000.0,50093036000.0,80777910000.0,40588374000.0,54177976000.0,58902577000.0,66228593000.0,49742960000.0
2039.0,43405800000.0,49415934000.0,22898051000.0,37505585000.0,47562710000.0,31172788000.0,48022670000.0,47603057000.0,81021490000.0,37950607000.0,51763016000.0,56613230000.0,63547610000.0,48876687000.0
2040.0,41595134000.0,45802635000.0,21259317000.0,35886195000.0,45115933000.0,28899013000.0,45648572000.0,45035307000.0,81509966000.0,36386450000.0,49145390000.0,58718840000.0,62142804000.0,46934843000.0
2041.0,40403810000.0,42328228000.0,20662692000.0,34929283000.0,45162553000.0,25978247000.0,44018840000.0,44521775000.0,80885620000.0,33820223000.0,47290958000.0,57672030000.0,60340724000.0,45385703000.0
